PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, ASKY
Station name, Astrup_Kystland 
Begin Date, 2007-08-20
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, ASKY.cwu.nam14.pos
Offset from source file, -4.36 mm North, -17.48 mm East, 99.74 mm Vertical
Reference position, 75.7261286070 North Latitude, -58.257348695 East Longitude, 687.36811 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-08-20,0.00, 0.00, 0.00, 2, 1.53, 9.87, repro,
2007-08-21,1.82, -0.63, -2.30, 2.02, 1.53, 9.82, repro,
2007-08-22,-0.98, 0.33, -3.36, 2.01, 1.54, 9.82, repro,
2007-08-23,-0.35, -1.54, -4.23, 1.97, 1.51, 9.6, repro,
2007-08-24,-0.76, -1.11, -1.18, 2.05, 1.57, 10.15, repro,
2007-08-25,0.51, -1.13, -0.36, 2.01, 1.53, 9.89, repro,
2007-08-26,0.69, -0.76, -1.98, 2.11, 1.59, 10.4, repro,
2007-08-27,-0.65, -0.25, -4.54, 2.13, 1.61, 10.62, repro,
2007-08-28,0.92, 1.48, -5.04, 2.04, 1.56, 10.17, repro,
2007-08-29,0.78, -2.32, -3.05, 2.05, 1.55, 10.24, repro,
2007-08-30,-0.22, 0.73, 1.67, 2.06, 1.61, 10.05, repro,
2007-08-31,-1.46, 0.18, 3.21, 2, 1.53, 10.02, repro,
2007-09-01,1.22, -0.05, -6.86, 2.01, 1.53, 9.97, repro,
2007-09-02,1.11, 0.46, -9.04, 2.08, 1.58, 10.45, repro,
2007-09-03,1.68, -1.80, 1.62, 2.06, 1.56, 10.27, repro,
2007-09-04,-0.82, -1.15, 9.06, 2.01, 1.52, 9.92, repro,
2007-09-05,-0.48, 0.51, 1.64, 2.06, 1.58, 10.17, repro,
2007-09-06,0.42, -0.67, 1.11, 2.03, 1.56, 10.12, repro,
2007-09-07,0.80, -1.52, 4.45, 2.03, 1.53, 10, repro,
2007-09-08,0.93, -1.25, 6.60, 2.08, 1.57, 10.24, repro,
2007-09-09,-0.64, -0.04, 4.01, 2.05, 1.54, 10.08, repro,
2007-09-10,-0.34, -0.45, 4.49, 2.02, 1.52, 10, repro,
2007-09-11,0.01, 1.06, -0.63, 2.02, 1.53, 10.08, repro,
2007-09-12,0.85, -0.06, 2.28, 1.99, 1.54, 9.86, repro,
2007-09-13,0.98, 1.07, 1.11, 2, 1.53, 9.93, repro,
2007-09-14,-0.35, -0.61, 0.36, 2.01, 1.53, 9.92, repro,
2007-09-15,-0.25, -0.65, 4.77, 2.06, 1.56, 10.48, repro,
2007-09-16,1.44, -0.28, 2.10, 2.03, 1.54, 10.05, repro,
2007-09-17,-0.28, -1.36, 9.22, 2, 1.55, 9.94, repro,
2007-09-18,0.17, -1.16, 4.36, 2.01, 1.49, 9.89, repro,
2007-09-19,0.62, -1.90, 7.44, 1.99, 1.49, 9.72, repro,
2007-09-20,0.06, -0.84, 5.44, 2.03, 1.53, 9.75, repro,
2007-09-21,0.15, -0.69, 0.13, 2.03, 1.5, 9.9, repro,
2007-09-22,0.62, -0.23, 0.58, 2.02, 1.56, 10.03, repro,
2007-09-23,0.94, 0.75, 1.37, 2.03, 1.54, 10.05, repro,
2007-09-24,2.18, -1.64, -2.05, 2.12, 1.58, 10.37, repro,
2007-09-25,0.81, -0.05, 1.42, 2.02, 1.53, 9.94, repro,
2007-09-26,0.15, -1.69, 6.42, 1.96, 1.48, 9.56, repro,
2007-09-27,-0.03, -1.31, 1.74, 2.03, 1.52, 9.88, repro,
2007-09-28,-0.58, -1.54, 0.11, 2, 1.51, 9.75, repro,
2007-09-29,-0.97, -0.60, -2.15, 1.98, 1.48, 9.64, repro,
2007-09-30,-0.38, -0.99, 6.69, 2.15, 1.6, 10.35, repro,
2007-10-01,-0.26, -2.32, 4.14, 2, 1.5, 9.75, repro,
2007-10-02,-2.92, -2.37, 8.40, 2.11, 1.56, 10.54, repro,
2007-10-03,0.34, -2.13, -1.15, 2.02, 1.52, 9.78, repro,
2007-10-04,-0.43, 0.03, -3.90, 2.08, 1.54, 10.05, repro,
2007-10-05,-1.32, -0.91, 1.29, 2, 1.51, 9.84, repro,
2007-10-06,-1.96, -0.34, -0.69, 2.02, 1.5, 9.81, repro,
2007-10-07,-2.08, -0.88, -0.51, 1.99, 1.5, 9.82, repro,
2007-10-08,-1.98, 0.09, -12.60, 2.13, 1.59, 10.66, repro,
2007-10-09,1.63, -0.16, -1.90, 2.21, 1.69, 10.9, repro,
2007-10-10,-0.03, -1.01, -0.91, 2.12, 1.64, 10.7, repro,
2007-10-11,-1.33, -2.03, -2.68, 2.04, 1.53, 10.05, repro,
2007-10-12,-0.41, -2.58, -1.56, 2.08, 1.63, 10.34, repro,
2007-10-13,-0.09, -1.12, 2.10, 2.03, 1.54, 9.91, repro,
2007-10-14,-1.23, -1.89, 2.24, 1.99, 1.51, 9.77, repro,
2007-10-15,-3.99, -0.82, 6.21, 2.08, 1.63, 10.44, repro,
2007-10-16,-0.25, -2.32, 0.96, 2.02, 1.52, 9.93, repro,
2007-10-17,-1.75, -2.12, 1.18, 2.03, 1.54, 9.92, repro,
2007-10-18,-1.28, -2.38, 4.98, 2.1, 1.61, 10.29, repro,
2007-10-19,-2.22, -2.13, 3.38, 2.13, 1.56, 10.4, repro,
2007-10-20,0.56, -1.89, 3.18, 2.01, 1.5, 9.88, repro,
2007-10-21,-1.19, -1.39, 1.88, 1.99, 1.49, 9.75, repro,
2007-10-22,-1.30, -1.69, 4.35, 2.05, 1.55, 9.88, repro,
2007-10-23,2.00, -2.70, 6.98, 2.01, 1.55, 9.93, repro,
2007-10-24,0.61, -1.24, 2.17, 2.01, 1.52, 9.91, repro,
