PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, BLAS
Station name, Blaasor         
Begin Date, 2008-07-08
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, BLAS.cwu.nam14.pos
Offset from source file, 0.88 mm North, -15.28 mm East, 37.17 mm Vertical
Reference position, 79.5386074267 North Latitude, -22.9747195642 East Longitude, 484.05114 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-07-08,0.00, 0.00, 0.00, 1.91, 1.59, 10.91, repro,
2008-07-09,0.30, 0.73, -8.95, 1.93, 1.59, 11.11, repro,
2008-07-10,1.84, -0.15, -13.82, 2.03, 1.7, 11.66, repro,
2008-07-11,-0.48, 0.64, -16.57, 1.99, 1.6, 11.33, repro,
2008-07-12,0.11, 0.73, -10.42, 1.98, 1.62, 11.41, repro,
2008-07-13,-1.59, 2.54, -10.11, 2.02, 1.74, 11.75, repro,
2008-07-14,-1.86, 2.39, -10.29, 2.14, 1.71, 12.77, repro,
2008-07-15,-1.61, 2.89, -9.44, 2.03, 1.71, 12.01, repro,
2008-07-16,-0.06, 1.43, -6.01, 2.05, 1.67, 11.85, repro,
2008-07-17,-0.69, 0.27, -4.31, 2.01, 1.69, 11.62, repro,
2008-07-18,1.65, 1.06, -6.94, 2.01, 1.66, 11.48, repro,
2008-07-19,-0.19, 1.01, -3.58, 1.96, 1.62, 11.22, repro,
2008-07-20,0.54, 1.25, -0.71, 1.89, 1.57, 10.83, repro,
2008-07-21,-0.38, 1.35, -6.64, 1.98, 1.62, 11.38, repro,
2008-07-22,-1.26, 1.16, -11.18, 1.99, 1.64, 11.54, repro,
2008-07-23,-1.37, 2.88, -0.73, 2.06, 1.68, 11.8, repro,
2008-07-24,0.19, 0.12, -2.75, 2.03, 1.65, 11.69, repro,
2008-07-25,-0.22, -0.28, -0.75, 1.99, 1.64, 11.68, repro,
2008-07-26,-0.98, 0.65, -2.63, 1.94, 1.62, 11.24, repro,
2008-07-27,1.39, 0.63, -10.51, 2.03, 1.66, 11.36, repro,
2008-07-28,0.03, 0.07, -5.82, 1.98, 1.61, 11.25, repro,
2008-07-29,1.06, 0.66, -14.43, 1.94, 1.59, 10.92, repro,
2008-07-30,1.64, -0.07, -15.46, 2.07, 1.72, 11.24, repro,
2008-07-31,-1.26, 0.18, -9.21, 1.92, 1.62, 11.2, repro,
2008-08-01,-0.77, 0.12, -10.54, 1.98, 1.63, 11.26, repro,
2008-08-02,-0.53, -0.02, -12.28, 1.91, 1.58, 10.92, repro,
2008-08-03,-1.94, -0.20, -5.13, 2, 1.67, 11.58, repro,
2008-08-04,0.63, -0.43, -8.94, 2.02, 1.68, 11.24, repro,
2008-08-05,-0.98, 0.59, -12.20, 1.92, 1.59, 10.96, repro,
2008-08-06,-2.13, -0.12, -7.75, 1.98, 1.64, 11.35, repro,
2008-08-07,-1.35, -0.50, -6.83, 2.06, 1.7, 11.66, repro,
2008-08-08,2.24, -1.01, 3.32, 2, 1.66, 11.33, repro,
2008-08-09,-1.31, 1.22, -5.91, 2.12, 1.75, 12.43, repro,
2008-08-10,-1.14, -0.08, -3.66, 2.04, 1.66, 11.73, repro,
2008-08-11,-1.26, 1.96, -0.32, 2.15, 1.79, 12.53, repro,
2008-08-12,-0.04, 0.21, -8.86, 2.1, 1.77, 11.89, repro,
2008-08-13,-2.18, 0.51, 9.26, 2.06, 1.7, 11.31, repro,
2008-08-14,-2.04, 0.18, 1.77, 1.98, 1.6, 11.35, repro,
2008-08-15,-0.86, 0.93, -0.33, 2.06, 1.71, 11.58, repro,
2008-08-16,-2.08, 1.02, -2.67, 1.91, 1.58, 10.98, repro,
2008-08-17,-2.20, 1.10, -0.06, 2.03, 1.66, 11.41, repro,
2008-08-18,-2.44, 0.28, 6.05, 2, 1.65, 11.48, repro,
2008-08-19,-2.57, 0.94, 2.82, 2.05, 1.65, 11.75, repro,
2008-08-20,-2.60, 0.50, 8.48, 2, 1.61, 11.49, repro,
2008-08-21,-1.75, -0.78, 2.99, 2.02, 1.63, 11.54, repro,
2008-08-22,-3.97, 0.83, 1.39, 2.01, 1.63, 11.63, repro,
2008-08-23,-1.95, -0.17, 8.85, 1.97, 1.59, 11.2, repro,
2008-08-24,-3.26, -0.07, 10.21, 1.99, 1.61, 11.31, repro,
2008-08-25,-1.56, -1.08, 0.71, 1.96, 1.58, 11.18, repro,
2008-08-26,-3.22, -0.62, -3.34, 1.95, 1.59, 11.18, repro,
2008-08-27,-4.03, -1.32, -3.71, 1.97, 1.62, 11.33, repro,
2008-08-28,-4.73, -2.29, -2.06, 2, 1.65, 11.43, repro,
2008-08-29,-3.07, -2.34, -0.91, 1.95, 1.62, 11.12, repro,
