PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, GROK
Station name, Gronne_Nunatak  
Begin Date, 2008-07-08
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, GROK.cwu.nam14.pos
Offset from source file, -4.31 mm North, -19.02 mm East, 53.90 mm Vertical
Reference position, 78.4426981683 North Latitude, -22.9037619947 East Longitude, 1045.90985 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-07-08,0.00, 0.00, 0.00, 1.95, 1.58, 10.61, repro,
2008-07-09,0.50, 2.39, 7.82, 2, 1.61, 10.84, repro,
2008-07-10,1.25, 1.47, 14.88, 1.97, 1.63, 10.84, repro,
2008-07-11,1.90, 1.08, 6.51, 2.02, 1.65, 11.08, repro,
2008-07-12,1.41, 1.96, 7.59, 2.08, 1.69, 11.56, repro,
2008-07-13,-0.50, 3.24, -0.06, 2.15, 1.81, 11.71, repro,
2008-07-14,0.00, 2.07, 9.58, 2.91, 2.39, 17.14, repro,
2008-07-15,-0.90, 2.54, 6.72, 2.07, 1.78, 11.77, repro,
2008-07-16,1.14, 2.23, 8.08, 2, 1.67, 11.03, repro,
2008-07-17,3.17, 1.12, 7.46, 2.02, 1.68, 11.12, repro,
2008-07-18,1.16, 1.35, 1.88, 2.02, 1.64, 10.94, repro,
2008-07-19,-0.15, -0.15, 7.02, 2.11, 1.67, 11.37, repro,
2008-07-20,1.31, -0.43, 9.96, 1.99, 1.63, 10.68, repro,
2008-07-21,0.44, 1.11, 9.76, 2.01, 1.64, 10.98, repro,
2008-07-22,0.21, 1.48, 8.11, 2.05, 1.69, 11.21, repro,
2008-07-23,-0.57, 2.19, 6.66, 2.11, 1.69, 11.54, repro,
2008-07-24,1.83, 0.36, 14.34, 2.07, 1.65, 11.29, repro,
2008-07-25,-2.35, -0.22, 3.35, 1.99, 1.61, 10.88, repro,
2008-07-26,-2.30, 0.28, -0.48, 2.02, 1.6, 10.97, repro,
2008-07-27,1.67, -0.54, 7.10, 2.11, 1.74, 11.68, repro,
2008-07-28,1.07, 1.76, -1.65, 2.03, 1.66, 11.06, repro,
