PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, HEL2
Station name, Helheim_Glacier 
Begin Date, 2007-08-25
End Date, 2020-01-01
Release Date, 2020-06-11
Source file, HEL2.cwu.nam14.pos
Offset from source file, -2.68 mm North, -25.81 mm East, 85.52 mm Vertical
Reference position, 66.4011568623 North Latitude, -38.2157045418 East Longitude, 424.85943 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-08-25,0.00, 0.00, 0.00, 2.4, 1.67, 8.87, repro,
2007-08-26,-1.66, -0.16, -5.27, 2.68, 1.87, 10.18, repro,
2007-08-27,-3.55, 0.48, -5.49, 2.6, 1.79, 9.67, repro,
2007-08-28,-3.18, 0.99, -5.23, 2.31, 1.61, 8.5, repro,
2007-08-29,0.15, -0.51, -1.83, 2.37, 1.68, 8.82, repro,
2007-08-30,-2.01, 1.42, -9.35, 2.37, 1.7, 8.65, repro,
2007-08-31,-4.56, 0.90, -2.63, 2.28, 1.63, 8.59, repro,
2007-09-01,-2.97, 1.32, -2.43, 2.39, 1.7, 9.27, repro,
2007-09-02,-3.20, 1.49, -5.93, 2.73, 1.9, 10, repro,
2007-09-03,-3.86, 2.14, -8.72, 2.35, 1.66, 8.7, repro,
2007-09-04,-4.94, 1.52, 6.25, 2.29, 1.6, 8.41, repro,
2007-09-05,-4.39, -0.08, 3.41, 2.33, 1.64, 8.61, repro,
2007-09-06,-5.38, 0.70, -0.29, 2.54, 1.82, 9.53, repro,
2007-09-07,-2.85, -0.18, 2.01, 2.3, 1.62, 8.47, repro,
2007-09-08,-2.31, 0.30, -2.79, 2.39, 1.66, 8.91, repro,
2007-09-09,-5.33, 1.32, -1.71, 2.29, 1.61, 8.65, repro,
2007-09-10,-7.82, 1.89, 8.04, 2.31, 1.64, 8.61, repro,
2007-09-11,-2.90, -0.69, 5.57, 2.28, 1.62, 8.56, repro,
2007-09-12,-2.77, 0.78, 0.99, 2.31, 1.62, 8.59, repro,
2007-09-13,-1.94, 0.66, -0.65, 2.26, 1.59, 8.38, repro,
2007-09-14,-3.08, 0.62, 8.75, 2.34, 1.67, 8.98, repro,
2007-09-15,-4.04, -0.10, 0.21, 2.37, 1.64, 8.84, repro,
2007-09-16,-2.10, 2.27, -1.35, 2.3, 1.64, 8.54, repro,
2007-09-17,-3.94, 0.14, 4.66, 2.25, 1.59, 8.27, repro,
2007-09-18,-4.75, 1.81, 5.22, 2.27, 1.6, 8.67, repro,
2007-09-19,-4.29, -0.02, 11.52, 2.21, 1.55, 7.89, repro,
2007-09-20,-2.30, 0.66, 8.38, 2.34, 1.62, 8.57, repro,
2007-09-21,-1.99, 1.03, 2.35, 2.29, 1.6, 8.3, repro,
2007-09-22,-4.60, 0.93, 0.52, 2.32, 1.67, 8.37, repro,
2007-09-23,-2.41, 1.38, 2.27, 2.3, 1.58, 8.28, repro,
2007-09-24,-1.84, 2.66, -3.78, 2.57, 1.86, 9.66, repro,
2007-09-25,-5.73, 1.97, -4.67, 2.28, 1.58, 8.17, repro,
2007-09-26,-1.21, 0.36, 4.59, 2.25, 1.55, 8.05, repro,
2007-09-27,-5.35, 0.99, -0.04, 2.36, 1.67, 8.37, repro,
2007-09-28,-7.07, -0.12, -8.27, 2.41, 1.67, 8.61, repro,
2007-09-29,-4.93, 0.48, 4.61, 2.65, 1.87, 9.55, repro,
2007-09-30,-4.69, 0.56, 6.41, 2.37, 1.62, 8.38, repro,
2007-10-01,-3.40, 0.37, 5.97, 2.47, 1.69, 8.88, repro,
2007-10-02,-6.29, -1.28, 6.27, 2.32, 1.63, 8.71, repro,
2007-10-03,-6.04, -0.66, 5.17, 2.49, 1.72, 8.72, repro,
2007-10-04,-3.98, -0.41, -1.50, 2.29, 1.59, 8.07, repro,
2007-10-05,-4.89, -0.08, -1.69, 2.38, 1.67, 8.61, repro,
2007-10-06,-3.92, -0.56, -0.81, 2.34, 1.66, 8.79, repro,
2007-10-07,-2.99, -0.22, -6.86, 2.23, 1.56, 8.11, repro,
2007-10-08,-4.05, 0.41, -2.15, 2.5, 1.72, 9.64, repro,
2007-10-09,-3.37, -0.08, -7.07, 2.42, 1.72, 9.04, repro,
2007-10-10,-3.53, -0.10, -5.41, 2.37, 1.67, 8.94, repro,
2007-10-11,-4.87, -1.24, -2.02, 2.28, 1.61, 8.19, repro,
2007-10-12,-4.20, -0.13, 6.49, 2.27, 1.57, 8.26, repro,
2007-10-13,-5.08, 0.93, 9.73, 2.24, 1.56, 8.13, repro,
2007-10-14,-5.77, -0.06, 7.44, 2.27, 1.6, 8.32, repro,
2007-10-15,-6.93, -1.90, 5.43, 2.23, 1.57, 8.12, repro,
2007-10-16,-4.09, -0.91, 7.19, 2.22, 1.57, 8.07, repro,
2007-10-17,-6.51, -0.68, 0.62, 2.26, 1.57, 8.28, repro,
2007-10-18,-5.84, -0.66, 3.36, 2.44, 1.7, 9.18, repro,
2007-10-19,-4.47, -0.28, 0.56, 2.52, 1.76, 9.05, repro,
2007-10-20,-3.58, 0.20, 2.12, 2.35, 1.61, 8.34, repro,
2007-10-21,-7.07, 1.02, 7.25, 2.23, 1.59, 8.21, repro,
2007-10-22,-8.64, 1.19, 9.95, 2.26, 1.58, 8.03, repro,
2007-10-23,-4.90, 1.34, 16.84, 2.29, 1.63, 8.72, repro,
2007-10-24,-5.86, 1.74, 9.47, 2.35, 1.67, 8.76, repro,
2007-10-25,-6.77, 1.90, 14.19, 2.42, 1.72, 8.91, repro,
2007-10-26,-3.01, 3.77, 7.73, 2.6, 1.82, 9.09, repro,
2007-10-27,-3.87, 2.44, 11.30, 2.32, 1.64, 8.37, repro,
2007-10-28,-2.15, 2.43, 6.46, 2.26, 1.57, 8.08, repro,
2007-10-29,-3.68, 2.83, 4.36, 2.39, 1.67, 8.66, repro,
2007-10-30,-4.56, 1.72, 1.36, 2.3, 1.63, 8.43, repro,
2007-10-31,-3.76, 1.85, -4.20, 2.24, 1.58, 8.13, repro,
2007-11-01,-2.34, 1.69, -2.42, 2.24, 1.58, 7.98, repro,
2007-11-02,-2.92, 0.61, -0.64, 2.17, 1.51, 7.81, repro,
2007-11-03,-4.68, 0.89, 5.42, 2.2, 1.57, 8.02, repro,
2007-11-04,-6.00, 3.86, 6.18, 2.2, 1.55, 7.97, repro,
2007-11-05,-2.15, 1.19, -2.53, 2.16, 1.5, 7.81, repro,
2007-11-06,-3.61, 1.31, 3.02, 2.21, 1.56, 7.96, repro,
2007-11-07,-2.42, 0.42, -2.39, 2.25, 1.57, 7.94, repro,
2007-11-08,-3.37, 1.70, 2.01, 2.24, 1.59, 8.13, repro,
2007-11-09,-3.36, 1.20, -1.11, 2.27, 1.57, 8.2, repro,
2007-11-10,-3.92, -0.83, -0.33, 2.21, 1.54, 7.92, repro,
2007-11-11,-2.52, 1.10, -1.11, 2.57, 1.83, 9.1, repro,
2007-11-12,-3.24, 0.97, 9.14, 2.19, 1.55, 7.84, repro,
2007-11-13,-4.56, -0.76, 9.23, 2.35, 1.59, 8.27, repro,
2007-11-14,-1.65, 0.65, 3.70, 2.31, 1.61, 8.25, repro,
2007-11-15,-1.45, -0.37, 5.87, 2.37, 1.69, 8.5, repro,
2007-11-16,-3.32, -0.78, 6.86, 2.26, 1.62, 8.18, repro,
2007-11-17,-3.32, -0.35, -0.62, 2.2, 1.53, 7.83, repro,
2007-11-18,-2.55, 0.39, 5.14, 2.43, 1.76, 8.6, repro,
2007-11-19,-4.35, 0.65, 3.61, 2.26, 1.61, 8.08, repro,
2007-11-20,-6.38, 0.17, 16.31, 2.76, 1.92, 9.56, repro,
2007-11-21,-5.26, -0.34, -7.14, 2.45, 1.69, 8.92, repro,
2007-11-22,-1.79, 2.73, -2.02, 2.59, 1.78, 9.32, repro,
2007-11-23,-2.52, 2.52, 1.57, 2.42, 1.69, 8.62, repro,
2007-11-24,-4.64, 1.21, 5.89, 2.44, 1.68, 8.73, repro,
2007-11-25,-4.15, 2.03, 0.36, 2.3, 1.62, 8.34, repro,
2007-11-26,-3.48, 0.16, 9.10, 2.29, 1.62, 8.15, repro,
2007-11-27,-7.31, 1.58, 6.63, 2.29, 1.6, 8.27, repro,
2007-11-28,-7.78, 3.41, 1.29, 2.31, 1.62, 8.43, repro,
2007-11-29,-4.40, 2.00, 6.29, 2.26, 1.58, 8.2, repro,
2007-11-30,-3.28, 2.20, 1.39, 2.29, 1.62, 8.31, repro,
2007-12-01,-2.44, 0.31, -4.85, 2.32, 1.65, 8.46, repro,
2007-12-02,-1.43, 1.91, -5.52, 2.22, 1.55, 7.86, repro,
2007-12-03,-3.66, -0.24, 0.18, 2.36, 1.66, 8.16, repro,
2007-12-04,-3.15, 1.41, 7.22, 2.31, 1.62, 8.43, repro,
2007-12-05,-2.80, 1.11, 7.92, 2.36, 1.65, 8.52, repro,
2007-12-06,-1.97, 0.43, -1.22, 2.29, 1.63, 8.19, repro,
2007-12-07,-3.55, 0.22, 0.34, 2.34, 1.65, 8.48, repro,
2007-12-08,-2.47, -0.23, -5.90, 2.29, 1.61, 8.22, repro,
2007-12-09,-1.25, 1.19, -5.38, 2.42, 1.72, 8.94, repro,
2007-12-10,0.88, 1.24, -5.17, 2.4, 1.68, 8.6, repro,
2007-12-11,-3.94, 0.52, -1.87, 2.5, 1.82, 9.11, repro,
2007-12-12,-3.72, -0.42, 8.83, 2.51, 1.79, 8.85, repro,
2007-12-13,-3.96, -0.04, -3.95, 2.35, 1.68, 8.36, repro,
2007-12-14,-2.50, 1.35, 3.99, 2.3, 1.64, 8.16, repro,
2007-12-15,-2.04, 1.62, 9.56, 2.29, 1.64, 8.18, repro,
2007-12-16,-4.45, 0.55, 5.36, 2.35, 1.67, 8.24, repro,
2007-12-17,-2.22, 2.74, 7.64, 2.45, 1.74, 8.86, repro,
2007-12-18,-4.14, 0.45, -1.29, 2.47, 1.8, 8.8, repro,
2007-12-19,-5.73, 0.49, 8.07, 2.45, 1.73, 8.82, repro,
2007-12-20,-3.95, -0.04, 6.62, 2.37, 1.67, 8.28, repro,
2007-12-21,-5.45, -0.47, 5.84, 2.33, 1.65, 8.23, repro,
