PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, HJOR
Station name, Hjornefjeldet   
Begin Date, 2007-08-14
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, HJOR.cwu.nam14.pos
Offset from source file, -3.18 mm North, -9.28 mm East, 46.44 mm Vertical
Reference position, 63.4182094736 North Latitude, -41.1478677134 East Longitude, 762.68260 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-08-14,0.00, 0.00, 0.00, 2.41, 1.62, 8.17, repro,
2007-08-15,-3.08, -0.75, 4.43, 2.49, 1.71, 8.53, repro,
2007-08-16,-2.98, 0.00, 6.66, 2.49, 1.73, 8.39, repro,
2007-08-17,-0.33, 0.13, 6.11, 2.35, 1.6, 7.84, repro,
2007-08-18,-2.31, 1.29, 1.65, 2.32, 1.59, 8.07, repro,
2007-08-19,-1.29, 0.43, 7.46, 2.33, 1.58, 8.08, repro,
2007-08-20,-2.29, 0.20, 6.27, 2.4, 1.62, 8.13, repro,
2007-08-21,0.34, 0.85, 3.97, 2.32, 1.58, 7.8, repro,
2007-08-22,-3.27, 0.08, 10.33, 2.32, 1.61, 8.29, repro,
2007-08-23,-3.77, -1.06, 7.83, 2.32, 1.57, 7.72, repro,
2007-08-24,-3.18, -0.25, 14.82, 2.32, 1.6, 8.01, repro,
2007-08-25,-0.48, 0.25, 8.23, 2.38, 1.62, 8.18, repro,
2007-08-26,-1.68, 0.59, 7.76, 2.44, 1.7, 8.64, repro,
2007-08-27,-1.82, 0.43, 10.34, 2.56, 1.83, 9.33, repro,
2007-08-28,-2.71, 0.66, -3.04, 2.32, 1.59, 8.05, repro,
2007-08-29,-1.87, 0.54, 4.02, 2.3, 1.6, 8.01, repro,
2007-08-30,-3.34, 2.95, 4.09, 2.37, 1.65, 8.11, repro,
2007-08-31,-3.78, 0.46, 8.79, 2.38, 1.64, 8.27, repro,
2007-09-01,-5.13, 1.85, 9.78, 2.46, 1.75, 8.78, repro,
2007-09-02,-1.35, 1.33, 10.04, 2.47, 1.67, 8.55, repro,
2007-09-03,-2.80, 2.75, 14.85, 2.35, 1.6, 8.08, repro,
2007-09-04,-2.89, -0.15, 18.07, 2.42, 1.66, 8.5, repro,
2007-09-05,-4.38, 2.24, 8.27, 2.38, 1.65, 8.37, repro,
2007-09-06,-3.26, 0.33, 2.81, 2.41, 1.68, 8.45, repro,
2007-09-07,-1.06, -0.14, 12.45, 2.37, 1.61, 8.1, repro,
2007-09-08,-2.24, -0.53, 8.40, 2.37, 1.62, 8.18, repro,
2007-09-09,-3.04, 0.21, 3.55, 2.31, 1.61, 8.11, repro,
2007-09-10,-3.22, 0.15, 10.89, 2.34, 1.6, 8.07, repro,
2007-09-11,-2.33, 0.39, 12.09, 2.31, 1.58, 8, repro,
2007-09-12,-2.57, 0.13, 7.10, 2.35, 1.58, 8.04, repro,
2007-09-13,-1.49, 0.74, 7.10, 2.31, 1.59, 7.96, repro,
2007-09-14,-1.57, 0.67, 13.73, 2.32, 1.59, 8, repro,
2007-09-15,-3.16, 0.90, 10.84, 2.42, 1.65, 8.36, repro,
2007-09-16,-0.72, 1.59, 6.37, 2.35, 1.6, 8.12, repro,
2007-09-17,-2.92, 0.11, 10.65, 2.32, 1.59, 8.03, repro,
2007-09-18,-3.35, 1.02, 13.97, 2.3, 1.55, 7.93, repro,
2007-09-19,-2.21, -0.39, 12.31, 2.26, 1.54, 7.54, repro,
2007-09-20,-0.32, 0.24, 16.01, 2.48, 1.67, 8.17, repro,
2007-09-21,-1.64, 0.25, 8.87, 2.34, 1.58, 7.73, repro,
2007-09-22,-3.06, 0.12, 10.92, 2.36, 1.59, 7.86, repro,
2007-09-23,-1.82, 1.42, 5.22, 2.38, 1.64, 8.26, repro,
2007-09-24,0.90, 0.53, 0.62, 2.45, 1.65, 8.21, repro,
2007-09-25,-2.99, 2.14, 5.94, 2.29, 1.57, 7.67, repro,
2007-09-26,-1.39, -1.99, 16.98, 2.3, 1.56, 7.81, repro,
2007-09-27,-5.29, -1.94, 15.20, 2.45, 1.64, 8.09, repro,
2007-09-28,-2.66, 0.59, 10.85, 2.46, 1.69, 8.39, repro,
2007-09-29,-3.07, 0.40, 11.51, 2.56, 1.71, 8.54, repro,
2007-09-30,-4.17, -0.40, 8.29, 2.4, 1.65, 8.05, repro,
2007-10-01,-4.24, 1.33, 8.53, 2.37, 1.6, 8.1, repro,
2007-10-02,-3.89, 0.14, 14.29, 2.39, 1.66, 8.3, repro,
2007-10-03,-3.46, -0.58, 13.17, 2.41, 1.61, 8.02, repro,
2007-10-04,-1.92, 0.59, 4.32, 2.39, 1.65, 7.99, repro,
2007-10-05,-1.47, -0.65, 5.07, 2.42, 1.66, 8.4, repro,
2007-10-06,-1.83, -1.06, 5.97, 2.34, 1.58, 8.04, repro,
2007-10-07,0.27, -0.93, 4.97, 2.34, 1.59, 8.02, repro,
2007-10-08,-5.15, -0.65, 7.91, 2.52, 1.67, 8.87, repro,
2007-10-09,-2.92, -0.72, -1.82, 2.46, 1.69, 8.5, repro,
2007-10-10,-2.66, -0.14, 3.18, 2.47, 1.68, 8.63, repro,
2007-10-11,-3.12, -0.96, 7.42, 2.33, 1.57, 8.04, repro,
2007-10-12,-1.96, -0.62, 13.83, 2.34, 1.6, 7.86, repro,
2007-10-13,-4.13, -0.02, 11.50, 2.32, 1.56, 7.75, repro,
2007-10-14,-4.95, 0.31, 9.28, 2.29, 1.55, 7.72, repro,
