PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, KAGA
Station name, KangiaNorthGrenL
Begin Date, 2006-05-24
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, KAGA.cwu.nam14.pos
Offset from source file, -11.21 mm North, -29.68 mm East, 139.96 mm Vertical
Reference position, 69.2223010990 North Latitude, -49.8146285775 East Longitude, 149.91394 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-05-24,0.00, 0.00, 0.00, 6.63, 5.1, 28.36, repro,
2006-05-25,-3.98, -1.23, -7.44, 2.35, 1.66, 8.77, repro,
2006-05-26,-3.88, -1.27, -5.04, 2.42, 1.66, 8.98, repro,
2006-05-27,-4.42, -0.53, -10.20, 2.26, 1.59, 8.62, repro,
2006-05-28,-4.51, -0.88, -19.38, 2.3, 1.61, 8.68, repro,
2006-05-29,-3.76, -1.22, -15.09, 2.34, 1.61, 8.73, repro,
2006-05-30,-4.34, -0.75, -6.06, 2.27, 1.59, 8.64, repro,
2006-05-31,-3.77, -0.31, -11.29, 2.29, 1.6, 8.86, repro,
2006-06-01,-5.08, -0.46, -4.23, 2.44, 1.71, 9.18, repro,
2006-06-02,-4.64, -0.97, -12.92, 2.36, 1.66, 8.91, repro,
2006-06-03,-5.17, 0.38, -12.03, 2.37, 1.65, 8.91, repro,
2006-06-04,-5.91, -0.34, -4.21, 2.3, 1.6, 8.66, repro,
2006-06-05,-5.21, -0.64, -2.04, 2.3, 1.62, 8.78, repro,
2006-06-06,-6.18, 0.23, -0.93, 2.45, 1.71, 9.44, repro,
2006-06-07,-6.30, 0.65, 1.07, 2.67, 1.96, 10.43, repro,
2006-06-08,-6.33, -0.43, -6.76, 2.53, 1.87, 9.82, repro,
2006-06-09,-3.74, 1.14, -15.10, 2.65, 1.78, 10.04, repro,
2006-06-10,-4.97, -0.46, -18.86, 2.43, 1.65, 9.03, repro,
2006-06-11,-5.55, -0.07, -7.68, 2.43, 1.67, 9.21, repro,
2006-06-12,-4.26, 1.18, 1.79, 2.25, 1.59, 8.58, repro,
2006-06-13,-4.83, -0.30, 2.04, 2.26, 1.58, 8.66, repro,
2006-06-14,-4.94, -1.82, -2.02, 2.32, 1.65, 8.84, repro,
2006-06-15,-6.82, 1.76, -22.65, 2.78, 1.89, 10.24, repro,
2006-06-16,-5.42, 0.17, -6.16, 2.38, 1.68, 9.16, repro,
2006-06-17,-6.65, 1.18, 1.78, 2.41, 1.7, 9.23, repro,
2006-06-18,-7.34, 0.43, -7.12, 2.3, 1.62, 8.81, repro,
2006-06-19,-5.61, -0.10, 0.02, 2.31, 1.61, 8.76, repro,
