PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, LBIB
Station name, L._Bistrup_Is_Br
Begin Date, 2009-08-15
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, LBIB.cwu.nam14.pos
Offset from source file, -2.83 mm North, -15.34 mm East, 14.79 mm Vertical
Reference position, 75.8938076693 North Latitude, -23.8529416318 East Longitude, 1483.49582 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2009-08-15,0.00, 0.00, 0.00, 2.04, 1.54, 9.85, repro,
2009-08-16,0.59, -1.05, -1.55, 2, 1.54, 9.75, repro,
2009-08-17,-0.39, -1.41, 4.67, 2.01, 1.53, 9.7, repro,
2009-08-18,0.88, -1.14, 3.81, 2.02, 1.53, 9.73, repro,
2009-08-19,0.06, -1.88, 0.67, 2.04, 1.54, 9.93, repro,
2009-08-20,0.71, 0.02, 0.07, 2.12, 1.59, 10.3, repro,
2009-08-21,0.79, 0.17, 5.16, 2.09, 1.59, 10.03, repro,
2009-08-22,0.16, 0.28, 9.53, 2.04, 1.58, 9.89, repro,
2009-08-23,-0.21, 0.40, 0.18, 2.04, 1.59, 9.94, repro,
2009-08-24,-1.83, 0.30, -2.83, 2.06, 1.56, 9.93, repro,
2009-08-25,0.30, 0.09, -3.47, 2.1, 1.61, 10.21, repro,
2009-08-26,-2.19, -0.25, -6.03, 2.07, 1.57, 9.97, repro,
2009-08-27,0.74, -1.24, -4.97, 2.05, 1.6, 10.1, repro,
2009-08-28,-0.09, -1.44, -2.28, 2.02, 1.58, 9.73, repro,
2009-08-29,-1.65, -0.58, -1.08, 2.02, 1.55, 9.68, repro,
2009-08-30,-1.05, -1.17, -1.90, 2.04, 1.6, 9.83, repro,
2009-08-31,-0.39, 0.19, 1.56, 2.09, 1.59, 10.15, repro,
2009-09-01,-2.99, 0.85, 3.96, 2, 1.56, 9.57, repro,
2009-09-02,-2.48, 0.17, 5.02, 2.06, 1.64, 9.91, repro,
2009-09-03,-2.57, -0.57, 0.34, 2.04, 1.57, 9.85, repro,
2009-09-04,-0.66, 0.15, 4.03, 2.07, 1.62, 10.08, repro,
2009-09-05,-1.19, 0.01, 5.03, 2.06, 1.57, 9.89, repro,
2009-09-06,-1.91, 0.44, 6.83, 2.04, 1.57, 9.82, repro,
2009-09-07,-1.37, 0.71, 1.63, 2.01, 1.55, 9.59, repro,
2009-09-08,-4.26, 1.27, 3.96, 2, 1.56, 9.69, repro,
2009-09-09,-5.73, 1.65, 1.03, 2.02, 1.56, 9.71, repro,
2009-09-10,-2.68, 1.19, -5.80, 2.07, 1.59, 10.03, repro,
2009-09-11,-3.65, 1.73, 1.65, 2.04, 1.6, 10.01, repro,
2009-09-12,-2.73, 1.65, -2.60, 2.02, 1.6, 9.82, repro,
2009-09-13,-1.38, 0.51, 2.72, 2.05, 1.63, 10.05, repro,
2009-09-14,-0.61, 1.08, -2.79, 2, 1.57, 9.7, repro,
2009-09-15,-3.62, 0.77, -10.20, 2.08, 1.6, 10.12, repro,
2009-09-16,-2.15, 1.50, -7.88, 2.04, 1.57, 9.9, repro,
2009-09-17,-1.22, 1.80, 8.00, 2.03, 1.59, 9.93, repro,
2009-09-18,-1.61, 0.34, 5.95, 2.05, 1.61, 9.8, repro,
2009-09-19,-1.00, 0.87, 5.23, 1.99, 1.55, 9.63, repro,
2009-09-20,-2.11, 1.91, 4.02, 2.02, 1.56, 9.78, repro,
2009-09-21,-2.66, 1.35, 2.92, 2.06, 1.61, 10.02, repro,
2009-09-22,-0.95, 0.33, 9.75, 2.18, 1.69, 10.54, repro,
2009-09-23,-1.49, 0.90, 5.13, 2.08, 1.66, 10.01, repro,
2009-09-24,-1.73, 1.77, 5.93, 1.98, 1.55, 9.62, repro,
2009-09-25,-0.52, 0.48, 8.01, 2.02, 1.58, 9.85, repro,
2009-09-26,-0.36, 0.96, 3.27, 2.02, 1.58, 9.85, repro,
2009-09-27,0.66, 1.88, 1.18, 2.17, 1.66, 10.94, repro,
2009-09-28,-2.40, 1.69, -8.71, 2.06, 1.62, 10.22, repro,
2009-09-29,-1.69, 0.50, -6.36, 2.05, 1.58, 9.92, repro,
2009-09-30,-1.07, 0.18, -7.41, 2.03, 1.58, 9.79, repro,
2009-10-01,-2.67, 0.41, -6.06, 2.02, 1.56, 9.74, repro,
