PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, MARG
Station name, Marie_Gletscher 
Begin Date, 2007-08-31
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, MARG.cwu.nam14.pos
Offset from source file, -8.52 mm North, -9.79 mm East, 55.33 mm Vertical
Reference position, 77.1870370532 North Latitude, -65.6946223529 East Longitude, 670.61773 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-08-31,0.00, 0.00, 0.00, 1.95, 1.51, 10.17, repro,
2007-09-01,1.77, -0.39, 0.94, 1.96, 1.52, 10.24, repro,
2007-09-02,1.23, 1.18, 3.45, 2, 1.52, 10.43, repro,
2007-09-03,2.73, -1.19, 1.15, 1.98, 1.54, 10.42, repro,
2007-09-04,0.80, -0.60, 7.23, 2.01, 1.58, 10.68, repro,
2007-09-05,0.55, -0.14, 0.53, 1.97, 1.54, 10.27, repro,
2007-09-06,1.37, -0.10, 1.18, 1.95, 1.54, 10.29, repro,
2007-09-07,0.52, -1.57, 5.63, 1.97, 1.52, 10.31, repro,
2007-09-08,1.27, -1.49, 10.54, 2.01, 1.55, 10.53, repro,
2007-09-09,2.13, 0.54, 11.93, 2, 1.54, 10.52, repro,
2007-09-10,0.85, -0.25, 5.47, 1.93, 1.52, 10.14, repro,
2007-09-11,0.74, -0.47, -1.12, 1.93, 1.51, 10.15, repro,
2007-09-12,3.37, -2.70, 6.59, 2.03, 1.57, 10.42, repro,
2007-09-13,1.88, 0.21, 5.67, 1.95, 1.51, 10.21, repro,
2007-09-14,1.88, -0.16, 4.90, 1.96, 1.53, 10.34, repro,
2007-09-15,0.81, 0.11, 7.33, 2.01, 1.55, 10.72, repro,
2007-09-16,1.52, -0.09, 1.57, 1.99, 1.56, 10.56, repro,
2007-09-17,0.97, -1.49, 9.01, 1.94, 1.52, 10.14, repro,
2007-09-18,1.31, -1.03, 8.53, 1.93, 1.49, 10.08, repro,
2007-09-19,1.66, -1.65, 11.51, 1.92, 1.48, 9.98, repro,
2007-09-20,1.26, -0.16, 12.47, 1.94, 1.48, 10.02, repro,
2007-09-21,1.56, -0.45, 4.44, 1.91, 1.46, 9.99, repro,
2007-09-22,0.46, -0.05, 0.06, 1.93, 1.49, 10.12, repro,
2007-09-23,2.46, -0.50, 2.14, 1.91, 1.48, 9.96, repro,
2007-09-24,2.58, -0.54, 2.04, 1.96, 1.51, 10.18, repro,
2007-09-25,2.57, 0.80, 10.78, 2.12, 1.6, 10.69, repro,
2007-09-26,2.16, -1.27, 13.05, 1.9, 1.48, 9.89, repro,
2007-09-27,0.66, -1.12, 5.69, 1.95, 1.5, 10.15, repro,
2007-09-28,1.12, -1.45, 2.07, 1.93, 1.5, 10.04, repro,
2007-09-29,0.79, -0.10, 3.22, 1.89, 1.47, 9.88, repro,
2007-09-30,1.20, -0.45, 7.64, 1.92, 1.47, 9.98, repro,
2007-10-01,0.60, -1.13, 11.50, 1.93, 1.49, 10.04, repro,
2007-10-02,-1.57, -0.62, 13.42, 2.01, 1.51, 10.38, repro,
2007-10-03,0.32, -1.78, 2.44, 1.96, 1.49, 10.17, repro,
2007-10-04,0.94, -0.09, -2.12, 1.93, 1.47, 9.97, repro,
2007-10-05,-0.20, -0.16, 0.25, 1.94, 1.5, 10.16, repro,
