PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, MIK2
Station name, Mikis_Fjord     
Begin Date, 2009-08-08
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, MIK2.cwu.nam14.pos
Offset from source file, -2.43 mm North, -12.72 mm East, 76.60 mm Vertical
Reference position, 68.1402797944 North Latitude, -31.451820822 East Longitude, 815.78664 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2009-08-08,0.00, 0.00, 0.00, 2.32, 1.59, 8.45, repro,
2009-08-09,2.51, 0.00, -0.37, 2.35, 1.59, 8.44, repro,
2009-08-10,0.89, -1.37, 3.82, 2.29, 1.58, 8.41, repro,
2009-08-11,2.25, -0.04, 1.07, 2.29, 1.6, 8.45, repro,
2009-08-12,0.96, 0.81, 0.87, 2.54, 1.74, 9.68, repro,
2009-08-13,1.26, 0.38, 2.36, 2.24, 1.56, 8.29, repro,
2009-08-14,1.96, 0.34, 14.07, 2.24, 1.56, 8.18, repro,
2009-08-15,1.91, -0.67, 8.74, 2.26, 1.57, 8.58, repro,
2009-08-16,3.46, -1.69, 10.88, 2.32, 1.64, 9, repro,
2009-08-17,2.99, -1.49, 13.96, 2.3, 1.6, 8.74, repro,
2009-08-18,4.58, -1.28, 15.23, 2.24, 1.56, 8.3, repro,
2009-08-19,3.46, -1.57, 11.33, 2.32, 1.6, 8.33, repro,
2009-08-20,2.52, -0.24, 8.65, 2.27, 1.57, 8.31, repro,
2009-08-21,4.11, 0.61, 10.35, 2.31, 1.62, 8.43, repro,
2009-08-22,1.72, 0.12, 9.83, 2.31, 1.6, 8.42, repro,
2009-08-23,1.57, -0.02, 11.48, 2.31, 1.62, 8.46, repro,
2009-08-24,2.11, 0.18, 11.93, 2.25, 1.58, 8.3, repro,
2009-08-25,4.65, -0.53, 10.47, 2.3, 1.62, 8.4, repro,
2009-08-26,0.63, -0.50, 14.02, 2.31, 1.61, 8.38, repro,
2009-08-27,2.68, -1.20, -1.56, 2.49, 1.75, 9.03, repro,
2009-08-28,2.20, -1.22, 7.86, 2.26, 1.59, 8.13, repro,
2009-08-29,2.94, -0.70, 3.37, 2.25, 1.58, 8.42, repro,
2009-08-30,1.34, -1.00, 11.16, 2.46, 1.71, 8.87, repro,
2009-08-31,3.17, -0.32, 13.68, 2.23, 1.58, 8.05, repro,
2009-09-01,0.26, 0.50, 14.69, 2.2, 1.56, 7.96, repro,
