PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, MSVG
Station name, Mestersvig      
Begin Date, 2009-08-11
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, MSVG.cwu.nam14.pos
Offset from source file, 0.21 mm North, -10.21 mm East, 21.68 mm Vertical
Reference position, 72.2408215337 North Latitude, -23.9128618516 East Longitude, 88.17638 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2009-08-11,0.00, 0.00, 0.00, 2.18, 1.6, 9.07, repro,
2009-08-12,-0.36, -0.03, 0.03, 2.17, 1.56, 8.98, repro,
2009-08-13,-1.07, -0.03, -4.26, 2.13, 1.56, 8.88, repro,
2009-08-14,-0.15, 0.29, 3.94, 2.15, 1.55, 8.93, repro,
2009-08-15,-0.83, -0.14, -7.18, 2.13, 1.55, 8.91, repro,
2009-08-16,0.46, -0.46, -8.42, 2.14, 1.56, 8.91, repro,
2009-08-17,1.00, -1.33, 2.54, 2.15, 1.56, 8.96, repro,
2009-08-18,2.29, -1.32, 3.93, 2.13, 1.56, 8.88, repro,
2009-08-19,0.31, -1.90, 1.96, 2.2, 1.61, 9.23, repro,
2009-08-20,0.67, -0.07, -5.66, 2.23, 1.61, 9.2, repro,
2009-08-21,0.60, 1.37, 2.55, 2.25, 1.66, 9.3, repro,
2009-08-22,1.09, 1.49, 3.82, 2.18, 1.59, 9.05, repro,
2009-08-23,-1.19, 0.56, -4.88, 2.2, 1.6, 9.14, repro,
2009-08-24,-2.03, 0.36, -4.56, 2.15, 1.58, 8.95, repro,
2009-08-25,0.00, -0.98, 1.32, 2.21, 1.61, 9.19, repro,
2009-08-26,-2.14, -1.34, -7.67, 2.21, 1.63, 9.29, repro,
2009-08-27,1.34, -1.92, -7.76, 2.32, 1.74, 10, repro,
2009-08-28,0.09, -1.66, -3.45, 2.17, 1.59, 8.81, repro,
2009-08-29,-0.04, -0.33, -1.21, 2.11, 1.57, 8.72, repro,
2009-08-30,-0.29, -2.15, 0.15, 2.27, 1.63, 9.35, repro,
2009-08-31,0.96, -0.64, 0.23, 2.14, 1.6, 8.81, repro,
2009-09-01,-1.93, 0.38, -4.36, 2.11, 1.57, 8.72, repro,
2009-09-02,-2.77, 0.45, 0.96, 2.22, 1.69, 9.19, repro,
2009-09-03,-2.38, -0.43, 3.24, 2.19, 1.62, 9.05, repro,
2009-09-04,-1.36, 0.75, 1.60, 2.2, 1.64, 9.08, repro,
2009-09-05,-0.58, -0.50, 7.43, 2.17, 1.59, 9.06, repro,
