PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, DGJG
Station name, Daugaard-Jensen 
Begin Date, 2009-08-12
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, DGJG.cwu.nam14.pos
Offset from source file, 3.27 mm North, -14.32 mm East, 32.12 mm Vertical
Reference position, 71.7865328248 North Latitude, -29.8502044134 East Longitude, 1494.15755 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2009-08-12,0.00, 0.00, 0.00, 2.12, 1.54, 8.81, repro,
2009-08-13,0.51, 0.57, -2.27, 2.16, 1.56, 8.83, repro,
2009-08-14,2.58, -0.28, 10.04, 2.16, 1.53, 8.83, repro,
2009-08-15,1.54, -0.15, -0.30, 2.18, 1.54, 8.93, repro,
2009-08-16,2.37, -1.37, 4.08, 2.16, 1.55, 8.85, repro,
2009-08-17,1.82, -1.16, 3.87, 2.15, 1.55, 8.79, repro,
2009-08-18,2.55, -1.18, 8.67, 2.13, 1.54, 8.69, repro,
2009-08-19,2.12, -1.54, 7.88, 2.23, 1.58, 9.08, repro,
2009-08-20,1.75, 0.42, 2.01, 2.27, 1.58, 9.12, repro,
2009-08-21,2.31, 1.00, 6.02, 2.27, 1.63, 9.08, repro,
2009-08-22,1.03, 0.93, 6.62, 2.17, 1.61, 8.99, repro,
2009-08-23,-0.06, 0.66, -1.18, 2.2, 1.6, 8.96, repro,
2009-08-24,0.35, 0.30, 2.18, 2.17, 1.58, 8.9, repro,
2009-08-25,2.82, 0.11, 2.30, 2.23, 1.6, 9.04, repro,
2009-08-26,-2.00, -0.89, -1.77, 2.23, 1.62, 9.21, repro,
2009-08-27,2.06, -1.25, 3.51, 2.33, 1.74, 9.75, repro,
2009-08-28,1.35, -0.84, 0.55, 2.18, 1.58, 8.78, repro,
2009-08-29,1.29, -0.62, 2.03, 2.12, 1.57, 8.61, repro,
2009-08-30,2.89, -0.32, 4.33, 2.32, 1.63, 9.41, repro,
2009-08-31,1.95, 0.05, 7.71, 2.17, 1.59, 8.82, repro,
2009-09-01,-1.07, 0.92, 7.55, 2.15, 1.56, 8.67, repro,
2009-09-02,-1.72, -0.05, 10.15, 2.26, 1.68, 9.13, repro,
2009-09-03,-0.78, -0.22, 4.05, 2.21, 1.62, 9.01, repro,
2009-09-04,0.30, -0.01, 8.53, 2.21, 1.6, 8.93, repro,
2009-09-05,1.19, 0.01, 11.68, 2.19, 1.58, 8.97, repro,
2009-09-06,-0.54, -0.30, 11.90, 2.17, 1.58, 8.91, repro,
2009-09-07,-1.10, 1.18, 6.67, 2.12, 1.56, 8.63, repro,
2009-09-08,-2.52, 2.47, 4.69, 2.15, 1.58, 8.74, repro,
2009-09-09,-4.60, 1.36, 3.50, 2.19, 1.58, 8.88, repro,
2009-09-10,0.02, 0.77, 3.59, 2.2, 1.6, 8.85, repro,
2009-09-11,-2.47, -0.58, 1.24, 2.24, 1.65, 9.13, repro,
2009-09-12,-0.43, 1.14, 2.94, 2.13, 1.56, 8.65, repro,
2009-09-13,-0.33, -0.35, 0.39, 2.26, 1.68, 9.23, repro,
2009-09-14,1.68, 0.76, 1.16, 2.22, 1.63, 9.18, repro,
2009-09-15,-2.62, 1.43, -2.13, 2.21, 1.62, 8.89, repro,
2009-09-16,0.18, 0.81, 5.91, 2.12, 1.58, 8.82, repro,
2009-09-17,0.35, 1.75, 11.70, 2.15, 1.59, 8.83, repro,
2009-09-18,-1.45, 0.41, 11.69, 2.16, 1.61, 8.81, repro,
2009-09-19,0.37, 1.17, 13.75, 2.13, 1.56, 8.71, repro,
2009-09-20,0.00, 1.44, 14.10, 2.17, 1.58, 8.91, repro,
2009-09-21,-0.30, 1.96, 15.27, 2.18, 1.6, 9.13, repro,
2009-09-22,1.26, 0.21, 13.15, 2.17, 1.63, 9.03, repro,
2009-09-23,-0.52, 0.73, 13.58, 2.15, 1.61, 8.89, repro,
2009-09-24,-1.41, 2.12, 13.25, 2.11, 1.55, 8.65, repro,
2009-09-25,-1.23, 0.39, 17.05, 2.15, 1.57, 8.84, repro,
2009-09-26,1.27, 0.28, 16.57, 2.2, 1.62, 9.12, repro,
2009-09-27,-1.07, 1.38, 11.82, 2.36, 1.71, 9.76, repro,
2009-09-28,-1.73, 1.46, 1.78, 2.25, 1.65, 9.21, repro,
2009-09-29,0.79, 0.27, 4.33, 2.17, 1.58, 8.9, repro,
2009-09-30,-0.42, 0.14, -0.79, 2.17, 1.56, 8.79, repro,
2009-10-01,-1.61, 0.62, 6.62, 2.16, 1.59, 9.09, repro,
2009-10-02,-0.20, 0.61, 1.47, 2.19, 1.58, 8.95, repro,
2009-10-03,0.78, -0.82, 2.24, 2.12, 1.58, 8.66, repro,
2009-10-04,1.54, 0.30, 4.09, 2.19, 1.58, 8.96, repro,
2009-10-05,-0.68, 1.18, 3.92, 2.14, 1.55, 8.75, repro,
2009-10-06,0.16, 1.97, 0.18, 2.22, 1.62, 9.02, repro,
2009-10-07,0.68, 1.60, -1.31, 2.16, 1.58, 8.85, repro,
2009-10-08,0.76, 2.84, -2.26, 2.24, 1.66, 9.33, repro,
2009-10-09,1.44, 1.90, -6.21, 2.15, 1.58, 8.65, repro,
2009-10-10,1.65, 3.31, -8.18, 2.17, 1.64, 9.04, repro,
2009-10-11,1.71, 3.79, -4.13, 2.21, 1.6, 8.95, repro,
2009-10-12,-0.95, 2.89, -3.24, 2.15, 1.57, 8.81, repro,
2009-10-13,0.35, 1.96, 2.12, 2.19, 1.6, 8.93, repro,
2009-10-14,1.69, 3.08, -2.41, 2.13, 1.57, 8.7, repro,
2009-10-15,2.06, 1.39, 6.06, 2.24, 1.65, 8.97, repro,
2009-10-16,3.70, 3.58, 1.09, 2.19, 1.64, 8.91, repro,
2009-10-17,0.15, 2.58, 5.81, 2.18, 1.64, 8.92, repro,
2009-10-18,3.04, 3.21, 2.17, 2.23, 1.65, 9.1, repro,
2009-10-19,1.60, 1.85, 0.95, 2.23, 1.64, 9, repro,
2009-10-20,2.49, 0.74, 4.48, 2.19, 1.62, 8.89, repro,
2009-10-21,1.14, 0.49, -1.05, 2.19, 1.63, 8.93, repro,
2009-10-22,4.28, 2.06, 3.39, 2.59, 1.86, 10.77, repro,
2009-10-23,1.28, 1.80, -1.38, 2.29, 1.67, 9.32, repro,
2009-10-24,-0.47, 1.34, -4.57, 2.3, 1.75, 9.31, repro,
