PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, DKSG
Station name, Doecker_Smith_Gl
Begin Date, 2007-08-22
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, DKSG.cwu.nam14.pos
Offset from source file, -4.71 mm North, -10.32 mm East, 94.08 mm Vertical
Reference position, 76.3516206291 North Latitude, -61.6776685191 East Longitude, 609.69591 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-08-22,0.00, 0.00, 0.00, 1.99, 1.54, 10.02, repro,
2007-08-23,-0.82, -0.62, -2.66, 2.06, 1.59, 10.35, repro,
2007-08-24,0.32, 0.37, 1.24, 2, 1.56, 10.05, repro,
2007-08-25,-0.07, -0.27, -5.78, 2.02, 1.53, 10.14, repro,
2007-08-26,0.82, 0.34, -4.93, 2.12, 1.59, 10.67, repro,
2007-08-27,1.27, 0.87, 2.45, 2.07, 1.59, 10.66, repro,
2007-08-28,1.38, 1.98, -3.51, 2.02, 1.55, 10.29, repro,
2007-08-29,1.20, -0.19, -3.20, 2.07, 1.58, 10.51, repro,
2007-08-30,1.09, 1.61, -4.25, 2.03, 1.6, 10.07, repro,
2007-08-31,-1.14, 1.91, -1.34, 2.02, 1.53, 10.21, repro,
2007-09-01,1.10, 1.18, -9.40, 2.06, 1.57, 10.43, repro,
2007-09-02,1.33, 1.71, -10.10, 2.06, 1.58, 10.54, repro,
2007-09-03,2.01, -0.61, -3.55, 2, 1.55, 10.21, repro,
2007-09-04,0.97, 0.58, 5.28, 1.97, 1.52, 9.94, repro,
2007-09-05,-0.18, 0.38, 3.14, 2.45, 1.83, 12.32, repro,
2007-09-06,2.30, 1.33, 0.58, 4.89, 3.94, 26.66, repro,
2007-09-07,0.38, -0.43, 7.62, 1.99, 1.54, 10.15, repro,
2007-09-08,0.86, 0.12, 8.72, 2.03, 1.56, 10.26, repro,
2007-09-09,1.15, 1.38, 3.29, 2.02, 1.54, 10.21, repro,
2007-09-10,-0.13, 0.80, 4.55, 1.98, 1.5, 9.89, repro,
2007-09-11,0.81, 1.71, 0.86, 2, 1.52, 10.11, repro,
2007-09-12,1.27, 0.59, 4.53, 1.99, 1.53, 10.08, repro,
2007-09-13,0.80, 1.80, 4.16, 1.96, 1.53, 10, repro,
2007-09-14,0.57, 0.80, 5.52, 1.98, 1.53, 9.96, repro,
2007-09-15,-0.46, 1.01, 1.06, 2.03, 1.54, 10.35, repro,
2007-09-16,0.84, 0.88, -3.72, 2.01, 1.53, 10.1, repro,
2007-09-17,-0.98, -0.22, 10.21, 2.02, 1.54, 10.21, repro,
2007-09-18,0.36, -0.59, 8.84, 1.98, 1.5, 10.06, repro,
2007-09-19,-0.04, -0.24, 6.29, 1.95, 1.49, 9.78, repro,
2007-09-20,0.54, 1.09, 2.78, 1.94, 1.5, 9.78, repro,
2007-09-21,1.04, 0.84, -1.14, 1.97, 1.49, 9.82, repro,
2007-09-22,0.45, 0.95, 2.55, 1.99, 1.51, 9.95, repro,
2007-09-23,0.78, 0.50, 3.37, 2, 1.51, 10.03, repro,
2007-09-24,1.25, 0.64, -0.65, 2.01, 1.53, 10.06, repro,
2007-09-25,0.34, 1.58, -0.26, 1.95, 1.52, 9.83, repro,
2007-09-26,1.21, -0.52, 7.58, 1.93, 1.47, 9.68, repro,
2007-09-27,0.97, 0.19, 3.00, 2.08, 1.55, 10.24, repro,
2007-09-28,0.69, -0.18, 3.91, 2.02, 1.52, 9.92, repro,
2007-09-29,-0.65, 1.14, 0.36, 1.96, 1.48, 9.77, repro,
2007-09-30,0.01, 0.61, 4.66, 2.01, 1.51, 9.93, repro,
2007-10-01,-0.45, -0.43, 4.09, 1.98, 1.51, 10.02, repro,
2007-10-02,-2.12, -0.26, 3.84, 2.22, 1.64, 10.89, repro,
2007-10-03,-0.05, -0.94, 4.19, 2.01, 1.51, 10.06, repro,
2007-10-04,-0.61, 0.83, -1.37, 2.05, 1.53, 10.26, repro,
2007-10-05,-0.92, 0.36, 0.65, 1.95, 1.51, 9.82, repro,
2007-10-06,-0.60, 1.00, -0.35, 1.97, 1.52, 9.96, repro,
2007-10-07,1.26, 1.00, -0.12, 1.97, 1.5, 9.9, repro,
2007-10-08,-0.23, 2.04, -1.34, 2.11, 1.6, 10.84, repro,
2007-10-09,1.32, 1.48, -4.75, 2.16, 1.62, 10.92, repro,
2007-10-10,0.21, 0.11, -5.95, 2.04, 1.58, 10.39, repro,
2007-10-11,-1.32, -1.04, -3.51, 1.96, 1.5, 9.88, repro,
2007-10-12,0.67, -1.20, 2.15, 2.02, 1.56, 10.36, repro,
2007-10-13,0.69, 1.23, -1.37, 1.99, 1.54, 10.06, repro,
2007-10-14,-0.20, 0.67, 6.51, 1.99, 1.52, 10.02, repro,
2007-10-15,-3.12, 1.97, 8.08, 2.1, 1.59, 10.36, repro,
2007-10-16,-0.14, 1.00, 3.72, 1.94, 1.47, 9.71, repro,
2007-10-17,-1.17, 0.23, 1.94, 1.98, 1.52, 10.03, repro,
2007-10-18,-0.30, -1.65, 5.77, 2.07, 1.61, 10.56, repro,
2007-10-19,-0.42, -1.05, 6.42, 2.04, 1.52, 10.07, repro,
2007-10-20,1.74, -0.56, 7.33, 1.97, 1.49, 9.83, repro,
2007-10-21,-1.88, 0.51, 6.50, 1.96, 1.47, 9.77, repro,
2007-10-22,-0.65, 0.37, 2.64, 1.97, 1.53, 9.99, repro,
2007-10-23,1.32, -1.37, 7.70, 1.98, 1.53, 10.04, repro,
2007-10-24,1.48, -0.20, 10.80, 1.98, 1.53, 10.06, repro,
2007-10-25,1.30, 1.30, 1.17, 2.05, 1.54, 10.22, repro,
2007-10-26,2.88, -0.17, 5.24, 2.04, 1.55, 10.08, repro,
2007-10-27,0.33, 0.12, 5.40, 1.99, 1.5, 9.91, repro,
2007-10-28,2.37, -0.18, 3.13, 1.97, 1.52, 9.96, repro,
2007-10-29,0.93, 1.62, 0.05, 2.02, 1.53, 10.16, repro,
2007-10-30,0.98, 0.73, 0.22, 1.99, 1.51, 10.01, repro,
2007-10-31,1.35, 0.57, -0.49, 1.96, 1.49, 9.82, repro,
2007-11-01,0.58, 0.39, -0.06, 1.96, 1.47, 9.72, repro,
2007-11-02,0.26, -0.28, -1.97, 1.95, 1.48, 9.74, repro,
2007-11-03,0.01, 0.20, 3.78, 1.95, 1.48, 9.81, repro,
2007-11-04,0.49, -0.10, -0.70, 1.95, 1.49, 9.84, repro,
2007-11-05,-0.22, -1.33, -2.22, 1.98, 1.52, 9.9, repro,
2007-11-06,-0.49, -0.76, 0.74, 1.98, 1.52, 9.83, repro,
2007-11-07,-0.26, -0.50, -2.73, 1.94, 1.47, 9.68, repro,
2007-11-08,0.18, 1.08, 2.43, 1.98, 1.51, 9.96, repro,
2007-11-09,-0.55, 1.62, 3.49, 1.97, 1.53, 10.04, repro,
2007-11-10,-0.95, 1.04, 0.48, 2.03, 1.52, 10.15, repro,
2007-11-11,0.51, 0.86, 6.12, 1.94, 1.47, 9.69, repro,
2007-11-12,-0.43, 0.57, 8.00, 1.95, 1.49, 9.75, repro,
2007-11-13,-1.14, 0.52, 4.11, 2, 1.51, 10.02, repro,
2007-11-14,-0.59, 0.24, 6.28, 1.96, 1.49, 9.81, repro,
2007-11-15,-1.79, -0.29, 3.25, 1.94, 1.49, 9.78, repro,
2007-11-16,-1.26, -0.22, 2.60, 1.95, 1.48, 9.77, repro,
2007-11-17,-1.95, 0.57, -0.52, 1.93, 1.5, 9.71, repro,
2007-11-18,-2.47, 0.25, 6.50, 1.94, 1.5, 9.75, repro,
2007-11-19,-2.36, 0.67, 7.36, 1.96, 1.49, 9.79, repro,
2007-11-20,-2.11, 0.48, 2.13, 2.04, 1.52, 10.1, repro,
2007-11-21,-3.06, 0.31, 0.30, 1.95, 1.49, 9.78, repro,
2007-11-22,0.72, -0.79, -4.16, 1.98, 1.53, 9.86, repro,
2007-11-23,0.89, -1.35, 4.62, 2.04, 1.57, 10.08, repro,
2007-11-24,-1.83, 0.68, -0.66, 2.06, 1.57, 10.14, repro,
2007-11-25,-0.86, 0.87, 2.18, 2.07, 1.58, 10.29, repro,
2007-11-26,0.64, 0.61, 9.11, 2.05, 1.58, 10.34, repro,
2007-11-27,-0.37, 0.35, 6.68, 1.98, 1.55, 9.96, repro,
2007-11-28,-1.41, 1.40, 1.12, 1.98, 1.54, 9.91, repro,
