PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, GMMA
Station name, Gamma_O         
Begin Date, 2009-08-20
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, GMMA.cwu.nam14.pos
Offset from source file, -2.82 mm North, -11.06 mm East, 28.60 mm Vertical
Reference position, 77.8094246908 North Latitude, -19.6521155161 East Longitude, 521.82652 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2009-08-20,0.00, 0.00, 0.00, 2.05, 1.61, 11.1, repro,
2009-08-21,-0.71, 0.89, 2.31, 2, 1.59, 10.7, repro,
2009-08-22,-17.56, 1.05, 36.34, 2.06, 1.65, 11.13, repro,
2009-08-23,-8.12, 7.33, 31.76, 2.02, 1.61, 10.87, repro,
2009-08-24,-2.63, -0.43, 1.11, 1.99, 1.57, 10.56, repro,
2009-08-25,-1.07, -0.11, 4.32, 2.02, 1.61, 10.78, repro,
2009-08-26,-3.32, -1.90, -4.48, 1.98, 1.57, 10.5, repro,
2009-08-27,-1.01, -1.81, 3.98, 1.98, 1.58, 10.59, repro,
2009-08-28,-1.10, -1.93, 0.60, 1.95, 1.56, 10.29, repro,
2009-08-29,-2.52, -1.05, 0.00, 1.93, 1.55, 10.19, repro,
2009-08-30,-1.22, -2.10, 7.14, 1.95, 1.6, 10.44, repro,
2009-08-31,-1.51, -0.03, 6.54, 1.99, 1.59, 10.55, repro,
2009-09-01,-4.74, 0.43, 5.88, 1.95, 1.57, 10.41, repro,
2009-09-02,-2.99, -0.51, 11.10, 2, 1.64, 10.53, repro,
2009-09-03,-2.89, -0.59, 4.75, 1.97, 1.56, 10.39, repro,
2009-09-04,-1.54, 0.35, 8.86, 2.03, 1.64, 10.96, repro,
2009-09-05,-1.28, -0.35, 12.63, 1.99, 1.57, 10.51, repro,
2009-09-06,-2.88, -0.42, 9.95, 1.98, 1.58, 10.49, repro,
2009-09-07,-2.74, 0.60, 6.37, 1.94, 1.55, 10.23, repro,
2009-09-08,-4.79, 1.17, 4.05, 1.94, 1.55, 10.25, repro,
2009-09-09,-6.15, 1.88, 4.35, 1.93, 1.55, 10.22, repro,
2009-09-10,-4.17, 1.05, -1.91, 1.97, 1.56, 10.47, repro,
2009-09-11,-5.31, 0.38, 4.01, 1.98, 1.57, 10.44, repro,
2009-09-12,-2.71, -0.73, 8.35, 1.92, 1.55, 10.19, repro,
2009-09-13,-2.52, -1.70, 8.95, 2.01, 1.62, 10.66, repro,
2009-09-14,-1.57, 0.34, 0.89, 1.95, 1.57, 10.41, repro,
2009-09-15,-3.76, 0.59, -6.10, 1.97, 1.57, 10.49, repro,
2009-09-16,-2.29, 1.19, -2.58, 1.97, 1.58, 10.54, repro,
2009-09-17,-1.85, 1.62, 2.91, 1.98, 1.59, 10.51, repro,
2009-09-18,-2.98, 1.37, 10.44, 1.99, 1.62, 10.55, repro,
2009-09-19,-2.67, 3.13, 9.75, 1.95, 1.56, 10.4, repro,
2009-09-20,-2.45, 2.55, 6.37, 1.96, 1.55, 10.44, repro,
2009-09-21,-6.78, 3.50, -2.46, 1.98, 1.57, 10.54, repro,
2009-09-22,-7.83, 4.87, -3.46, 2.08, 1.63, 11.03, repro,
2009-09-23,-9.68, 5.28, -6.25, 2.01, 1.65, 10.62, repro,
2009-09-24,-8.68, 5.51, -10.66, 1.93, 1.55, 10.29, repro,
2009-09-25,-8.08, 5.24, -0.89, 1.97, 1.58, 10.47, repro,
2009-09-26,-9.99, 5.35, -6.18, 1.96, 1.57, 10.37, repro,
2009-09-27,-10.90, 7.60, -7.38, 2.05, 1.62, 11.11, repro,
