PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, HMBG
Station name, Hamburg_Gletshce
Begin Date, 2009-08-13
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, HMBG.cwu.nam14.pos
Offset from source file, 2.79 mm North, -11.73 mm East, 20.41 mm Vertical
Reference position, 73.6759811957 North Latitude, -28.1290688195 East Longitude, 1322.92340 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2009-08-13,0.00, 0.00, 0.00, 2.12, 1.57, 9.48, repro,
2009-08-14,1.12, -0.46, 11.09, 2.12, 1.55, 9.5, repro,
2009-08-15,2.00, -1.06, 7.21, 2.71, 2.08, 11.92, repro,
2009-08-16,2.37, -1.68, 4.64, 2.12, 1.54, 9.36, repro,
2009-08-17,1.64, -0.92, 8.15, 2.11, 1.54, 9.37, repro,
2009-08-18,2.29, -1.51, 8.13, 2.09, 1.53, 9.24, repro,
2009-08-19,1.47, -2.08, 8.35, 2.11, 1.56, 9.46, repro,
2009-08-20,1.51, -0.14, 6.95, 2.22, 1.59, 9.7, repro,
2009-08-21,1.94, -0.36, 7.31, 2.26, 1.66, 9.88, repro,
2009-08-22,1.95, 0.20, 5.99, 2.15, 1.6, 9.45, repro,
2009-08-23,1.05, -0.19, 8.21, 2.12, 1.58, 9.32, repro,
2009-08-24,-0.83, -0.57, 1.81, 2.12, 1.57, 9.29, repro,
2009-08-25,0.77, -0.87, 4.77, 2.14, 1.59, 9.47, repro,
2009-08-26,-0.54, -0.87, 1.94, 2.21, 1.61, 9.89, repro,
2009-08-27,2.36, -1.97, 3.09, 2.23, 1.65, 9.82, repro,
2009-08-28,0.48, -2.06, -0.32, 2.13, 1.57, 9.23, repro,
2009-08-29,-0.32, -1.59, 2.58, 2.07, 1.56, 9.06, repro,
2009-08-30,-0.06, -1.66, 8.02, 2.14, 1.58, 9.26, repro,
2009-08-31,0.58, -1.18, 4.67, 2.15, 1.61, 9.57, repro,
2009-09-01,-0.89, 0.48, 11.83, 2.1, 1.57, 9.22, repro,
2009-09-02,-0.86, -1.20, 10.88, 2.19, 1.6, 9.55, repro,
2009-09-03,-0.02, -1.19, 9.02, 2.17, 1.59, 9.44, repro,
2009-09-04,0.82, -1.11, 10.57, 2.15, 1.6, 9.37, repro,
2009-09-05,-1.19, -1.39, 10.82, 2.14, 1.58, 9.5, repro,
2009-09-06,-1.12, -1.20, 11.90, 2.14, 1.59, 9.46, repro,
2009-09-07,-0.38, -0.06, 9.48, 2.11, 1.56, 9.18, repro,
2009-09-08,-2.87, -0.11, 8.95, 2.1, 1.56, 9.15, repro,
2009-09-09,-3.76, -0.14, 14.13, 2.13, 1.57, 9.32, repro,
2009-09-10,-2.29, -0.16, 2.71, 2.16, 1.59, 9.57, repro,
2009-09-11,-2.52, -0.06, 8.41, 2.14, 1.62, 9.48, repro,
2009-09-12,-1.08, -1.11, 7.86, 2.11, 1.58, 9.21, repro,
2009-09-13,-0.06, -0.10, 10.01, 2.17, 1.66, 9.48, repro,
2009-09-14,0.33, -0.48, 1.46, 2.16, 1.6, 9.53, repro,
2009-09-15,-3.97, 0.09, -1.93, 2.21, 1.64, 9.71, repro,
2009-09-16,-2.12, 0.42, -0.56, 2.09, 1.57, 9.24, repro,
2009-09-17,-0.41, 1.18, 9.64, 2.16, 1.6, 9.58, repro,
2009-09-18,-1.59, 0.06, 14.75, 2.14, 1.61, 9.32, repro,
2009-09-19,-0.26, 0.33, 13.54, 2.05, 1.56, 9.06, repro,
2009-09-20,-1.37, 0.96, 13.86, 2.17, 1.6, 9.58, repro,
2009-09-21,-1.67, 0.68, 14.44, 2.13, 1.6, 9.41, repro,
2009-09-22,-1.75, -0.38, 13.09, 2.23, 1.68, 9.8, repro,
2009-09-23,-1.39, 0.46, 11.94, 2.25, 1.7, 9.96, repro,
2009-09-24,-2.30, 1.28, 11.49, 2.11, 1.58, 9.37, repro,
2009-09-25,-1.28, -0.33, 19.80, 2.11, 1.58, 9.38, repro,
2009-09-26,0.67, -0.17, 16.80, 2.15, 1.61, 9.56, repro,
2009-09-27,-1.94, -0.06, 12.43, 2.24, 1.72, 9.97, repro,
2009-09-28,-2.44, 0.93, 1.53, 2.23, 1.65, 9.72, repro,
2009-09-29,-1.93, -0.52, 2.63, 2.11, 1.59, 9.33, repro,
2009-09-30,-1.10, 0.58, 4.64, 2.11, 1.57, 9.29, repro,
2009-10-01,-1.14, -0.42, 4.44, 2.11, 1.57, 9.28, repro,
2009-10-02,0.01, 0.07, 7.09, 2.08, 1.55, 9.2, repro,
2009-10-03,-0.56, -1.49, -2.24, 2.09, 1.57, 9.27, repro,
2009-10-04,1.67, -0.67, 3.05, 2.17, 1.59, 9.43, repro,
2009-10-05,-1.66, -0.10, 6.42, 2.08, 1.56, 9.22, repro,
2009-10-06,0.16, 1.14, 4.81, 2.14, 1.58, 9.4, repro,
2009-10-07,-0.25, 0.41, -1.12, 2.1, 1.55, 9.19, repro,
2009-10-08,-1.47, 1.57, -6.03, 2.14, 1.61, 9.52, repro,
2009-10-09,-0.22, 1.61, -11.24, 2.13, 1.62, 9.39, repro,
2009-10-10,0.51, 3.05, -4.80, 2.21, 1.62, 9.65, repro,
2009-10-11,0.84, 2.43, -0.53, 2.13, 1.58, 9.37, repro,
