PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, HRDG
Station name, Harder_Gletscher
Begin Date, 2008-07-11
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, HRDG.cwu.nam14.pos
Offset from source file, -8.37 mm North, -13.33 mm East, 48.64 mm Vertical
Reference position, 81.8798314505 North Latitude, -44.5173703227 East Longitude, 718.38698 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-07-11,0.00, 0.00, 0.00, 1.89, 1.58, 12.12, repro,
2008-07-12,1.24, 0.06, 3.86, 1.81, 1.54, 11.56, repro,
2008-07-13,-0.71, 1.35, 3.58, 1.82, 1.6, 11.67, repro,
2008-07-14,-0.38, 2.89, 11.72, 1.81, 1.54, 11.59, repro,
2008-07-15,0.02, 2.15, 10.21, 1.84, 1.55, 11.86, repro,
2008-07-16,1.04, 0.87, 0.65, 1.81, 1.52, 11.47, repro,
2008-07-17,-0.30, 0.72, 8.25, 1.86, 1.57, 11.89, repro,
2008-07-18,3.62, 0.41, 10.53, 1.86, 1.6, 11.79, repro,
2008-07-19,-0.70, 1.03, -6.51, 1.87, 1.61, 11.92, repro,
2008-07-20,2.05, -0.01, 3.68, 1.83, 1.57, 11.75, repro,
2008-07-21,-0.77, 0.62, 1.45, 1.83, 1.54, 11.66, repro,
2008-07-22,-0.13, 1.95, 0.64, 1.83, 1.54, 11.7, repro,
2008-07-23,0.54, 1.73, 7.46, 1.85, 1.58, 11.89, repro,
2008-07-24,-0.33, 0.14, 4.59, 1.82, 1.54, 11.63, repro,
2008-07-25,-0.97, 0.38, 13.66, 1.84, 1.55, 11.78, repro,
2008-07-26,-0.73, 0.00, 6.72, 1.81, 1.53, 11.55, repro,
2008-07-27,-0.23, -0.51, 8.77, 1.88, 1.61, 11.79, repro,
2008-07-28,-0.48, -0.96, -3.98, 1.88, 1.57, 12.01, repro,
2008-07-29,0.24, -0.50, -5.34, 1.88, 1.59, 12.09, repro,
2008-07-30,1.44, 0.41, 3.88, 1.96, 1.68, 12.11, repro,
2008-07-31,-0.47, -0.57, -5.30, 1.88, 1.57, 12.17, repro,
2008-08-01,0.72, 0.12, 5.64, 1.82, 1.54, 11.6, repro,
2008-08-02,-0.56, 0.12, -5.09, 1.82, 1.55, 11.63, repro,
2008-08-03,-0.99, -0.83, -0.90, 1.85, 1.61, 11.81, repro,
2008-08-04,-0.35, -1.19, 2.23, 1.91, 1.63, 11.89, repro,
2008-08-05,-1.91, 0.12, -3.20, 1.86, 1.58, 11.81, repro,
2008-08-06,-3.94, 0.11, 5.25, 1.85, 1.56, 11.76, repro,
2008-08-07,-2.55, -0.53, 11.46, 1.89, 1.64, 12.05, repro,
2008-08-08,0.45, -1.89, 4.22, 1.89, 1.62, 11.98, repro,
2008-08-09,-3.08, 0.62, -3.10, 1.9, 1.61, 12.19, repro,
2008-08-10,-1.23, -1.19, -1.39, 1.87, 1.57, 11.97, repro,
2008-08-11,-1.23, -1.68, 1.08, 1.88, 1.58, 12, repro,
2008-08-12,-2.49, -2.05, -1.65, 1.89, 1.65, 11.8, repro,
2008-08-13,-1.16, 0.05, 12.13, 1.89, 1.65, 11.78, repro,
2008-08-14,-2.20, -0.66, 8.48, 1.83, 1.58, 11.77, repro,
2008-08-15,-2.49, -0.70, 12.72, 1.92, 1.65, 11.9, repro,
2008-08-16,-1.34, 0.35, 19.35, 1.86, 1.57, 11.9, repro,
2008-08-17,-1.93, 0.19, 15.79, 1.86, 1.6, 11.68, repro,
2008-08-18,-2.83, 0.11, 14.61, 1.84, 1.58, 11.61, repro,
2008-08-19,-2.56, 0.47, 13.12, 1.84, 1.59, 11.88, repro,
2008-08-20,-1.98, 0.58, 22.26, 1.85, 1.57, 11.88, repro,
2008-08-21,-2.09, -1.44, 9.76, 1.88, 1.57, 12.06, repro,
2008-08-22,-2.67, -0.84, 14.89, 1.88, 1.56, 11.91, repro,
2008-08-23,-3.69, -0.76, 14.97, 1.84, 1.56, 11.67, repro,
