PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, JGBL
Station name, Jrgen_Brnlund   
Begin Date, 2008-07-11
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, JGBL.cwu.nam14.pos
Offset from source file, -1.60 mm North, -14.23 mm East, 31.06 mm Vertical
Reference position, 82.2087576709 North Latitude, -31.0041999392 East Longitude, 753.24715 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-07-11,0.00, 0.00, 0.00, 1.81, 1.55, 11.73, repro,
2008-07-12,3.17, -0.53, -0.62, 1.79, 1.57, 11.8, repro,
2008-07-13,0.09, 0.99, -1.29, 1.81, 1.58, 11.78, repro,
2008-07-14,0.55, 1.63, 0.66, 1.79, 1.56, 11.72, repro,
2008-07-15,-0.17, 1.65, -4.51, 1.82, 1.57, 11.91, repro,
2008-07-16,1.06, -0.40, -5.03, 1.79, 1.54, 11.53, repro,
2008-07-17,1.32, -0.13, 0.03, 1.79, 1.54, 11.64, repro,
2008-07-18,2.68, -0.65, -1.77, 1.84, 1.59, 11.85, repro,
2008-07-19,0.73, -0.99, -6.97, 1.93, 1.63, 12.42, repro,
2008-07-20,1.33, -0.11, -3.99, 1.79, 1.54, 11.69, repro,
2008-07-21,0.54, 0.17, -7.50, 1.84, 1.58, 12, repro,
2008-07-22,0.74, 0.66, -6.75, 1.8, 1.55, 11.63, repro,
2008-07-23,0.09, 2.06, -2.90, 1.83, 1.58, 11.86, repro,
2008-07-24,1.78, -1.09, -0.63, 1.78, 1.54, 11.64, repro,
2008-07-25,0.66, -0.34, -2.58, 1.81, 1.56, 11.84, repro,
2008-07-26,-0.06, -0.71, -8.78, 1.8, 1.54, 11.74, repro,
2008-07-27,1.59, -0.27, -8.91, 1.91, 1.63, 12.03, repro,
2008-07-28,1.15, -0.89, -4.53, 1.83, 1.57, 11.86, repro,
2008-07-29,2.01, -1.10, -13.27, 1.84, 1.57, 11.79, repro,
2008-07-30,1.90, -0.39, -12.18, 1.94, 1.7, 11.99, repro,
2008-07-31,-0.10, -0.52, -10.34, 1.81, 1.57, 11.84, repro,
2008-08-01,0.23, -0.94, -14.54, 1.8, 1.54, 11.69, repro,
2008-08-02,0.57, -2.72, -18.73, 1.79, 1.54, 11.65, repro,
2008-08-03,0.70, -1.97, -11.98, 1.81, 1.6, 11.82, repro,
2008-08-04,1.62, -1.26, -9.86, 1.85, 1.63, 11.64, repro,
2008-08-05,-1.58, -1.01, -1.78, 1.8, 1.55, 11.63, repro,
2008-08-06,-1.92, -1.18, -8.03, 1.87, 1.58, 12.19, repro,
2008-08-07,-1.40, 1.01, -4.09, 1.89, 1.67, 12.31, repro,
2008-08-08,-2.81, 2.38, 1.54, 1.86, 1.64, 12.06, repro,
2008-08-09,-0.35, 0.44, 5.32, 1.83, 1.59, 11.99, repro,
2008-08-10,-0.92, -2.88, -1.88, 1.82, 1.57, 11.85, repro,
2008-08-11,2.19, -2.10, 0.23, 1.85, 1.59, 12.04, repro,
2008-08-12,1.21, -1.65, -1.21, 1.91, 1.65, 12.01, repro,
2008-08-13,-0.90, -0.09, 6.82, 1.91, 1.68, 12.03, repro,
2008-08-14,0.87, -2.48, -1.44, 1.81, 1.58, 11.91, repro,
2008-08-15,1.22, -0.68, 4.72, 1.94, 1.68, 11.94, repro,
2008-08-16,0.38, -1.29, 3.88, 1.81, 1.56, 11.76, repro,
2008-08-17,-0.46, -0.39, 3.02, 1.9, 1.61, 12.14, repro,
2008-08-18,-1.18, -0.61, 9.87, 1.87, 1.6, 12, repro,
2008-08-19,0.29, -0.31, 10.76, 1.8, 1.57, 11.76, repro,
2008-08-20,-1.34, -1.36, 9.11, 1.82, 1.57, 11.86, repro,
2008-08-21,0.95, -2.14, 9.89, 1.82, 1.57, 11.82, repro,
2008-08-22,-0.98, -1.39, 5.41, 1.84, 1.57, 11.9, repro,
