PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, JWLF
Station name, Jewell_Fjord    
Begin Date, 2008-07-17
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, JWLF.cwu.nam14.pos
Offset from source file, 0.26 mm North, -15.36 mm East, 26.08 mm Vertical
Reference position, 83.1116527899 North Latitude, -45.1198324828 East Longitude, 112.86139 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-07-17,0.00, 0.00, 0.00, 1.76, 1.53, 11.94, repro,
2008-07-18,1.00, -1.08, 1.38, 1.82, 1.65, 12.41, repro,
2008-07-19,-0.21, -1.96, 1.45, 1.83, 1.65, 12.35, repro,
2008-07-20,1.30, -1.74, -1.72, 1.8, 1.56, 12.15, repro,
2008-07-21,0.08, -0.23, -8.61, 1.77, 1.52, 11.96, repro,
2008-07-22,0.50, 0.81, -5.36, 1.76, 1.52, 11.91, repro,
2008-07-23,0.41, 1.72, -1.32, 1.79, 1.57, 12.14, repro,
2008-07-24,0.49, -1.35, 3.25, 1.74, 1.54, 11.88, repro,
2008-07-25,-0.08, -1.21, -6.43, 1.77, 1.53, 12.05, repro,
2008-07-26,-0.27, -1.15, -7.48, 1.81, 1.56, 12.22, repro,
2008-07-27,1.12, -1.32, -0.99, 1.86, 1.61, 12.25, repro,
2008-07-28,0.18, -0.74, -3.38, 1.8, 1.57, 12.32, repro,
2008-07-29,0.86, -1.67, -12.08, 1.81, 1.57, 12.26, repro,
2008-07-30,1.31, -1.44, -9.27, 1.9, 1.69, 12.32, repro,
2008-07-31,-1.10, -0.56, -3.83, 1.79, 1.55, 12.1, repro,
2008-08-01,-0.57, -1.64, -11.78, 1.77, 1.52, 11.92, repro,
2008-08-02,-2.61, -3.35, -15.96, 1.76, 1.53, 11.93, repro,
2008-08-03,-1.77, -1.91, -0.63, 1.8, 1.61, 12.29, repro,
2008-08-04,1.34, -2.37, -4.56, 1.82, 1.63, 11.98, repro,
2008-08-05,-0.36, -2.03, -14.45, 1.79, 1.55, 12.02, repro,
2008-08-06,-0.58, -1.30, -0.09, 1.78, 1.56, 12.07, repro,
2008-08-07,-3.11, -1.93, -9.01, 1.9, 1.65, 12.72, repro,
2008-08-08,-0.83, -1.11, -14.89, 1.85, 1.67, 12.93, repro,
2008-08-09,-0.64, -0.53, -6.07, 1.78, 1.58, 12.2, repro,
2008-08-10,-0.64, -2.13, -5.35, 1.78, 1.58, 12.23, repro,
2008-08-11,1.30, -4.10, -17.76, 1.78, 1.57, 12.11, repro,
2008-08-12,0.65, -2.40, -1.69, 1.89, 1.64, 12.25, repro,
2008-08-13,-0.21, -0.86, -0.72, 1.84, 1.64, 12.14, repro,
2008-08-14,-0.19, -1.87, -0.74, 1.83, 1.62, 12.31, repro,
2008-08-15,1.56, -0.94, 3.54, 1.84, 1.67, 12.13, repro,
2008-08-16,0.11, -1.84, 0.53, 1.77, 1.55, 12, repro,
2008-08-17,1.21, -0.30, 6.38, 2.37, 2.14, 15.49, repro,
2008-08-18,-0.70, -0.29, 7.23, 1.83, 1.62, 12.3, repro,
2008-08-19,0.45, -0.45, 2.76, 1.79, 1.56, 12.15, repro,
2008-08-20,0.02, 0.32, 3.93, 1.78, 1.57, 12.14, repro,
2008-08-21,0.85, -3.20, 1.00, 1.76, 1.56, 11.99, repro,
2008-08-22,0.86, -1.92, 8.19, 1.82, 1.6, 12.36, repro,
2008-08-23,-1.23, -1.97, 0.35, 1.79, 1.56, 12.15, repro,
2008-08-24,-1.22, -0.80, -1.15, 1.82, 1.57, 12.41, repro,
2008-08-25,0.62, -2.13, 3.78, 1.79, 1.57, 12.2, repro,
2008-08-26,-1.06, -1.88, -3.98, 1.77, 1.56, 12.08, repro,
2008-08-27,-1.00, -2.45, 0.37, 1.79, 1.59, 12.23, repro,
2008-08-28,-1.95, -2.19, -1.71, 1.89, 1.68, 12.95, repro,
2008-08-29,-2.28, -1.79, -2.68, 1.81, 1.6, 12.27, repro,
2008-08-30,-1.82, -0.43, -8.24, 1.79, 1.6, 12.32, repro,
2008-08-31,0.93, -1.39, 3.78, 1.8, 1.61, 12.42, repro,
2008-09-01,-0.80, -2.81, -3.08, 1.8, 1.6, 12.27, repro,
2008-09-02,-0.11, -3.86, 5.77, 1.79, 1.59, 12.22, repro,
2008-09-03,-0.78, -1.65, -0.98, 1.83, 1.65, 12.76, repro,
2008-09-04,-0.03, -2.78, 2.32, 1.89, 1.67, 13.09, repro,
2008-09-05,-1.06, -3.23, 0.21, 1.81, 1.62, 12.51, repro,
2008-09-06,1.61, -3.24, 2.54, 1.79, 1.6, 12.29, repro,
2008-09-07,4.16, -2.40, 5.45, 1.92, 1.74, 12.5, repro,
2008-09-08,0.66, -2.55, -2.80, 1.83, 1.64, 12.6, repro,
2008-09-09,-0.15, -1.29, -5.38, 1.79, 1.6, 12.3, repro,
2008-09-10,1.60, -2.24, -6.88, 1.82, 1.61, 12.6, repro,
2008-09-11,-0.27, -1.99, -0.47, 1.8, 1.61, 12.38, repro,
2008-09-12,2.25, -3.33, 4.69, 1.81, 1.61, 12.42, repro,
2008-09-13,1.69, -3.33, -5.51, 1.81, 1.62, 12.52, repro,
2008-09-14,1.46, -1.66, -2.65, 1.8, 1.59, 12.36, repro,
2008-09-15,4.46, -2.08, -5.12, 1.84, 1.64, 12.71, repro,
2008-09-16,0.43, -3.12, -3.41, 1.81, 1.63, 12.35, repro,
2008-09-17,3.25, -3.04, -4.87, 3.62, 2.98, 25.2, repro,
2008-09-18,3.68, -2.18, 1.13, 2.49, 2.12, 17.29, repro,
2008-09-19,2.46, -3.36, -3.27, 1.77, 1.55, 12.05, repro,
2008-09-20,4.68, -2.93, -7.59, 1.79, 1.55, 12.1, repro,
2008-09-21,3.05, -3.76, -14.54, 1.77, 1.56, 12.12, repro,
2008-09-22,1.17, -5.47, -10.94, 1.77, 1.55, 12.05, repro,
2008-09-23,2.19, -2.80, -8.24, 1.79, 1.56, 12.17, repro,
2008-09-24,2.10, -1.96, -6.48, 1.78, 1.55, 12.11, repro,
2008-09-25,3.23, -1.03, -10.86, 1.8, 1.55, 12.16, repro,
2008-09-26,1.97, -2.17, -10.56, 1.81, 1.59, 12.35, repro,
2008-09-27,0.27, -1.87, -6.00, 1.78, 1.57, 12.14, repro,
2008-09-28,-0.53, -1.56, -4.24, 1.79, 1.55, 12.26, repro,
2008-09-29,1.67, -2.33, -8.35, 1.83, 1.56, 12.4, repro,
2008-09-30,1.33, -2.77, -4.56, 1.77, 1.55, 12.01, repro,
2008-10-01,0.91, -4.49, -5.24, 1.77, 1.56, 12.15, repro,
2008-10-02,0.83, -4.34, -16.38, 1.8, 1.58, 12.19, repro,
2008-10-03,-2.45, -3.52, -6.49, 1.8, 1.56, 12.2, repro,
2008-10-04,1.38, -2.78, 4.92, 1.78, 1.56, 12.13, repro,
2008-10-05,0.60, -2.95, -3.23, 1.78, 1.55, 11.98, repro,
2008-10-06,1.56, -1.62, -8.31, 1.76, 1.54, 12, repro,
2008-10-07,2.50, -1.61, -10.69, 1.78, 1.56, 12.21, repro,
