PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, KAGZ
Station name, Kap_Agassiz     
Begin Date, 2007-08-30
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, KAGZ.cwu.nam14.pos
Offset from source file, -13.80 mm North, -14.65 mm East, 72.46 mm Vertical
Reference position, 79.1319583513 North Latitude, -65.8529558887 East Longitude, 86.59551 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-08-30,0.00, 0.00, 0.00, 1.93, 1.61, 10.86, repro,
2007-08-31,0.15, -0.77, 1.26, 1.87, 1.53, 10.8, repro,
2007-09-01,2.19, -1.01, 5.36, 1.9, 1.51, 10.85, repro,
2007-09-02,1.09, 0.13, 2.52, 1.92, 1.52, 11, repro,
2007-09-03,2.72, -2.49, 3.52, 1.9, 1.5, 10.88, repro,
2007-09-04,0.66, -1.85, 3.49, 1.9, 1.51, 10.88, repro,
2007-09-05,0.50, -1.13, 5.46, 1.86, 1.52, 10.77, repro,
2007-09-06,2.06, -0.75, 7.75, 1.89, 1.54, 11.02, repro,
2007-09-07,1.65, -2.58, 9.07, 1.89, 1.51, 10.82, repro,
2007-09-08,1.49, -2.05, 8.73, 1.93, 1.54, 11.04, repro,
2007-09-09,0.63, -1.20, 3.41, 1.92, 1.53, 11.07, repro,
2007-09-10,-0.06, -1.66, 8.74, 1.87, 1.5, 10.81, repro,
2007-09-11,1.09, -1.69, 5.84, 1.87, 1.52, 10.8, repro,
2007-09-12,2.06, -2.62, 9.98, 1.89, 1.51, 10.8, repro,
2007-09-13,1.65, -1.36, 8.61, 1.89, 1.5, 10.81, repro,
2007-09-14,0.79, -1.24, 6.88, 1.89, 1.51, 10.83, repro,
2007-09-15,0.35, -1.58, 5.15, 1.95, 1.52, 11.31, repro,
2007-09-16,1.56, -1.46, 3.52, 1.87, 1.53, 10.85, repro,
2007-09-17,1.42, -1.92, 14.96, 1.89, 1.54, 10.89, repro,
2007-09-18,2.49, -2.51, 10.86, 1.84, 1.47, 10.54, repro,
2007-09-19,0.84, -2.61, 9.10, 1.83, 1.46, 10.45, repro,
2007-09-20,1.80, -1.59, 17.95, 1.86, 1.46, 10.6, repro,
2007-09-21,2.59, -1.79, 11.92, 2.34, 1.82, 13.23, repro,
2007-09-22,0.78, -0.68, 6.06, 1.93, 1.51, 11, repro,
2007-09-24,2.30, -2.75, 0.06, 2.15, 1.68, 12.19, repro,
