PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, KBUG
Station name, Kge_Bugt        
Begin Date, 2007-08-28
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, KBUG.cwu.nam14.pos
Offset from source file, -1.05 mm North, -20.23 mm East, 83.87 mm Vertical
Reference position, 65.1436817838 North Latitude, -41.1575442467 East Longitude, 290.68715 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-08-28,0.00, 0.00, 0.00, 2.3, 1.62, 8.31, repro,
2007-08-29,0.87, -0.70, 3.19, 2.35, 1.66, 8.43, repro,
2007-08-30,0.21, 0.59, 5.13, 2.37, 1.69, 8.48, repro,
2007-08-31,-0.21, -0.80, 6.61, 2.34, 1.63, 8.59, repro,
2007-09-01,0.28, -1.02, 6.12, 2.43, 1.71, 8.95, repro,
2007-09-02,0.37, 0.88, 8.07, 2.61, 1.78, 9.13, repro,
2007-09-03,-0.04, -0.41, -0.29, 2.32, 1.64, 8.36, repro,
2007-09-04,-2.15, -1.35, 16.68, 2.3, 1.6, 8.27, repro,
2007-09-05,-0.63, -0.18, 9.14, 2.37, 1.67, 8.58, repro,
2007-09-06,-1.17, -0.52, 0.12, 2.5, 1.82, 9.54, repro,
2007-09-07,0.89, -0.11, 16.17, 2.42, 1.63, 8.55, repro,
2007-09-08,0.93, -2.39, 3.97, 2.38, 1.65, 8.57, repro,
2007-09-09,1.09, -0.80, 5.18, 2.29, 1.61, 8.33, repro,
2007-09-10,-1.60, -2.27, 10.87, 2.3, 1.63, 8.36, repro,
2007-09-11,1.41, -1.10, 8.14, 2.32, 1.62, 8.36, repro,
2007-09-12,2.06, -0.22, 5.81, 2.32, 1.61, 8.28, repro,
2007-09-13,2.46, -0.94, 4.13, 2.32, 1.61, 8.33, repro,
2007-09-14,2.46, 0.79, 12.09, 2.37, 1.66, 8.59, repro,
2007-09-15,1.79, -1.14, 10.62, 2.36, 1.66, 8.64, repro,
2007-09-16,1.46, -0.17, 4.13, 2.31, 1.64, 8.51, repro,
2007-09-17,-0.68, -0.88, 11.71, 2.41, 1.63, 8.51, repro,
2007-09-18,-1.24, -1.68, 13.30, 2.28, 1.59, 8.36, repro,
2007-09-19,1.22, -0.72, 15.82, 2.28, 1.6, 8.33, repro,
2007-09-20,2.37, -0.69, 13.89, 2.35, 1.64, 8.37, repro,
2007-09-21,2.71, -0.52, 11.06, 2.35, 1.66, 8.25, repro,
2007-09-22,1.92, 0.06, 14.74, 2.45, 1.67, 8.5, repro,
2007-09-23,1.75, 1.39, 5.29, 2.44, 1.65, 8.27, repro,
2007-09-24,1.57, -0.45, -5.04, 3.35, 2.19, 10.94, repro,
2007-09-25,0.64, 0.43, 2.88, 2.74, 1.83, 9.7, repro,
2007-09-26,0.30, -0.92, 8.97, 2.26, 1.55, 7.83, repro,
2007-09-27,1.56, 0.30, 14.92, 2.37, 1.63, 8.34, repro,
2007-09-28,0.30, -0.30, 15.18, 2.4, 1.66, 8.45, repro,
2007-09-29,0.00, 0.56, 4.95, 2.67, 1.84, 9.46, repro,
2007-09-30,1.39, -1.20, 12.27, 2.42, 1.64, 8.47, repro,
2007-10-01,-2.07, -1.94, 7.85, 2.34, 1.61, 8.22, repro,
2007-10-02,-1.96, -1.98, 11.94, 2.37, 1.64, 8.57, repro,
2007-10-03,0.48, -1.84, 12.12, 2.51, 1.68, 8.57, repro,
2007-10-04,1.78, -0.18, 3.32, 2.33, 1.57, 7.98, repro,
2007-10-05,2.00, -1.00, 7.71, 2.44, 1.7, 8.43, repro,
2007-10-06,1.46, -2.44, 1.31, 2.38, 1.67, 8.77, repro,
2007-10-07,4.38, -3.26, 3.35, 2.27, 1.6, 8.07, repro,
2007-10-08,1.52, -1.49, -2.25, 2.5, 1.67, 8.94, repro,
2007-10-09,2.80, 0.04, -1.43, 2.46, 1.7, 8.75, repro,
2007-10-10,3.61, -0.42, 5.62, 2.4, 1.66, 8.73, repro,
2007-10-11,1.74, -1.54, 4.30, 2.27, 1.57, 8.23, repro,
2007-10-12,3.20, -1.53, 14.26, 2.26, 1.58, 8.05, repro,
2007-10-13,0.46, -1.65, 9.99, 2.3, 1.56, 8.03, repro,
2007-10-14,-1.80, -1.00, 17.40, 2.3, 1.57, 8.05, repro,
2007-10-15,-0.07, -1.54, 15.58, 2.36, 1.62, 8.81, repro,
2007-10-16,-1.10, -1.49, 18.22, 2.26, 1.55, 7.89, repro,
2007-10-17,-0.41, 0.10, 11.15, 2.24, 1.55, 7.91, repro,
2007-10-18,-2.01, -1.29, 18.49, 2.46, 1.74, 8.85, repro,
2007-10-19,1.16, -2.58, 17.00, 2.55, 1.75, 9.09, repro,
2007-10-20,4.23, -0.10, 21.45, 2.32, 1.6, 8.09, repro,
2007-10-21,0.94, -0.03, 24.71, 2.26, 1.57, 7.91, repro,
2007-10-22,1.68, -0.45, 14.01, 2.33, 1.61, 8.15, repro,
2007-10-23,4.30, -0.62, 15.80, 2.31, 1.61, 8.15, repro,
2007-10-24,3.04, 1.41, 19.39, 2.35, 1.64, 8.68, repro,
2007-10-25,-0.15, 0.82, 13.49, 2.46, 1.71, 8.84, repro,
2007-10-26,1.26, 1.53, 10.58, 2.56, 1.81, 9.14, repro,
2007-10-27,2.91, 1.20, 18.00, 2.35, 1.65, 8.22, repro,
2007-10-28,2.36, -1.20, 16.26, 2.24, 1.59, 7.98, repro,
2007-10-29,4.03, 2.70, 12.09, 2.44, 1.68, 8.57, repro,
2007-10-30,1.18, 0.06, 10.85, 2.37, 1.65, 8.41, repro,
2007-10-31,1.38, 1.02, 7.70, 2.32, 1.61, 8.38, repro,
2007-11-01,4.21, 0.70, 4.10, 2.26, 1.55, 7.78, repro,
2007-11-02,2.75, -1.19, 3.97, 2.17, 1.53, 7.64, repro,
2007-11-03,3.24, -0.08, 15.29, 2.3, 1.6, 8.18, repro,
2007-11-04,0.85, -4.54, 11.05, 2.26, 1.53, 7.8, repro,
2007-11-05,3.82, -0.08, 10.38, 2.3, 1.6, 7.95, repro,
2007-11-06,1.94, -1.50, 7.40, 2.25, 1.56, 7.84, repro,
2007-11-07,1.83, -0.25, 1.90, 2.23, 1.56, 7.76, repro,
2007-11-08,1.57, 0.08, 6.96, 2.28, 1.57, 8.06, repro,
2007-11-09,3.25, 0.56, 12.69, 2.34, 1.58, 8.18, repro,
2007-11-10,2.73, -1.93, 4.27, 2.25, 1.53, 7.77, repro,
2007-11-11,4.65, -0.64, 10.39, 2.26, 1.57, 7.79, repro,
2007-11-12,3.96, 1.11, 17.46, 2.27, 1.59, 7.9, repro,
2007-11-13,2.29, -0.87, 9.50, 2.33, 1.61, 8.33, repro,
2007-11-14,3.56, -0.72, 10.86, 2.39, 1.61, 8.38, repro,
2007-11-15,3.34, -0.66, 17.49, 2.41, 1.69, 8.28, repro,
2007-11-16,1.68, -1.20, 15.97, 2.26, 1.57, 7.83, repro,
2007-11-17,3.84, 0.22, 14.83, 2.24, 1.56, 7.83, repro,
2007-11-18,2.79, -0.83, 6.07, 2.22, 1.58, 7.73, repro,
2007-11-19,1.87, -0.64, 15.41, 2.29, 1.57, 7.92, repro,
2007-11-20,-0.71, -3.81, 16.35, 2.69, 1.8, 9.15, repro,
2007-11-21,0.64, -0.31, 9.01, 2.41, 1.65, 8.34, repro,
2007-11-22,5.61, 1.33, 9.84, 2.54, 1.77, 8.87, repro,
2007-11-23,3.81, 1.32, 14.70, 2.47, 1.72, 8.68, repro,
2007-11-24,3.66, -0.48, 9.17, 2.44, 1.67, 8.35, repro,
2007-11-25,2.17, 1.03, 13.45, 2.37, 1.6, 8.17, repro,
2007-11-26,3.71, 0.49, 4.88, 2.35, 1.61, 8.03, repro,
2007-11-27,4.48, -1.29, 21.68, 2.31, 1.6, 8.09, repro,
2007-11-28,3.34, 0.99, 13.67, 2.37, 1.65, 8.21, repro,
2007-11-29,4.12, -0.98, 17.60, 2.24, 1.56, 7.79, repro,
2007-11-30,3.82, -0.38, 10.60, 2.39, 1.64, 8.24, repro,
2007-12-01,3.32, -0.60, 2.34, 2.41, 1.64, 8.46, repro,
2007-12-02,4.75, 0.37, 8.64, 2.25, 1.57, 8.04, repro,
2007-12-03,0.84, -0.76, 5.65, 2.29, 1.59, 7.78, repro,
2007-12-04,2.40, 0.52, 20.78, 2.27, 1.58, 7.9, repro,
2007-12-05,2.80, 0.12, 11.34, 2.46, 1.69, 8.58, repro,
2007-12-06,1.77, 0.24, 11.72, 2.37, 1.63, 8.16, repro,
2007-12-07,1.81, -1.61, 11.00, 2.44, 1.72, 8.69, repro,
2007-12-08,3.03, -0.85, 9.59, 2.3, 1.61, 7.98, repro,
2007-12-09,3.95, -0.32, 7.80, 2.39, 1.7, 8.25, repro,
2007-12-10,4.21, -1.91, 11.11, 2.44, 1.72, 8.54, repro,
2007-12-11,5.42, 5.41, 8.13, 2.51, 1.75, 8.96, repro,
2007-12-12,1.32, -0.99, 11.37, 2.44, 1.73, 8.65, repro,
2007-12-13,1.55, -1.16, 9.29, 2.33, 1.65, 8.1, repro,
2007-12-14,5.25, -0.34, 20.76, 2.31, 1.63, 7.95, repro,
