PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, KMJP
Station name, Kap_Morris_Jessu
Begin Date, 2008-07-16
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, KMJP.cwu.nam14.pos
Offset from source file, 1.11 mm North, -12.10 mm East, 18.14 mm Vertical
Reference position, 83.6432369152 North Latitude, -33.3770778953 East Longitude, 85.12477 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-07-16,0.00, 0.00, 0.00, 1.84, 1.58, 12.91, repro,
2008-07-17,0.97, 0.53, -2.31, 1.78, 1.59, 12.41, repro,
2008-07-18,1.93, -0.18, -4.24, 1.83, 1.61, 12.59, repro,
2008-07-19,0.58, 0.48, -6.43, 1.8, 1.59, 12.47, repro,
2008-07-20,1.59, -0.05, 3.32, 1.73, 1.54, 12.08, repro,
2008-07-21,0.09, 0.80, -1.26, 1.77, 1.55, 12.2, repro,
2008-07-22,-0.50, 1.05, -12.07, 1.76, 1.55, 12.24, repro,
2008-07-23,-0.23, 2.26, -6.79, 1.8, 1.58, 12.52, repro,
2008-07-24,0.96, -0.46, -7.13, 1.77, 1.57, 12.24, repro,
2008-07-25,0.36, 0.23, -4.70, 1.76, 1.6, 12.36, repro,
2008-07-26,-0.37, 1.22, -7.18, 1.78, 1.58, 12.54, repro,
2008-07-27,1.40, 0.29, -1.56, 1.84, 1.61, 12.34, repro,
2008-07-28,1.62, 0.49, -4.06, 1.8, 1.57, 12.54, repro,
2008-07-29,2.04, 0.17, -10.76, 1.8, 1.58, 12.46, repro,
2008-07-30,1.16, 0.84, -9.21, 1.89, 1.71, 12.49, repro,
2008-07-31,0.46, -0.29, -6.65, 1.75, 1.55, 12.18, repro,
2008-08-01,-0.25, -0.03, -12.86, 1.76, 1.54, 12.23, repro,
2008-08-02,-1.64, -0.94, -8.78, 1.78, 1.54, 12.23, repro,
2008-08-03,-1.11, -0.11, -7.07, 1.78, 1.61, 12.44, repro,
2008-08-04,1.78, -1.05, -4.94, 1.82, 1.62, 12.18, repro,
2008-08-05,0.42, 0.89, -10.02, 1.76, 1.58, 12.31, repro,
2008-08-06,-0.42, -1.03, -6.06, 1.8, 1.57, 12.5, repro,
2008-08-07,0.42, -1.26, -8.12, 1.83, 1.69, 12.78, repro,
2008-08-08,2.74, 0.07, 1.06, 1.81, 1.64, 12.64, repro,
2008-08-09,-1.45, -0.09, -14.86, 1.81, 1.59, 12.65, repro,
2008-08-10,-0.77, 0.31, -1.28, 1.79, 1.59, 12.71, repro,
2008-08-11,1.26, -2.05, -8.28, 1.8, 1.59, 12.61, repro,
2008-08-12,0.81, -0.60, -10.94, 1.87, 1.68, 12.73, repro,
2008-08-13,0.02, 0.37, -0.73, 1.85, 1.68, 12.52, repro,
2008-08-14,0.49, -0.50, 1.10, 1.77, 1.57, 12.39, repro,
2008-08-15,2.01, -0.45, -1.72, 1.87, 1.67, 12.48, repro,
2008-08-16,0.67, 0.10, -2.95, 1.77, 1.56, 12.35, repro,
2008-08-17,-0.17, 0.95, -7.46, 1.83, 1.63, 12.44, repro,
2008-08-18,-1.07, 0.20, -0.15, 1.81, 1.61, 12.4, repro,
2008-08-19,0.93, 0.97, 3.09, 1.79, 1.57, 12.53, repro,
2008-08-20,-0.84, 1.22, 5.47, 1.79, 1.58, 12.51, repro,
2008-08-21,1.00, -1.00, -2.27, 1.81, 1.57, 12.55, repro,
2008-08-22,-0.41, -0.54, -1.59, 1.79, 1.58, 12.45, repro,
2008-08-23,-0.30, -0.73, 5.02, 1.77, 1.59, 12.4, repro,
2008-08-24,-0.68, -0.47, 2.84, 1.79, 1.58, 12.53, repro,
2008-08-25,0.84, -0.48, 2.20, 1.84, 1.64, 12.98, repro,
2008-08-26,-0.84, -0.15, -7.81, 1.79, 1.56, 12.47, repro,
2008-08-27,-1.21, -1.03, -3.33, 1.83, 1.62, 12.81, repro,
2008-08-28,-2.48, -1.67, -8.44, 1.81, 1.62, 12.63, repro,
2008-08-29,-2.46, -1.75, -4.94, 1.78, 1.6, 12.36, repro,
2008-08-30,-2.55, -0.40, -10.48, 1.82, 1.67, 12.75, repro,
2008-08-31,-0.20, 0.00, -8.05, 1.82, 1.6, 12.75, repro,
2008-09-01,-0.82, -1.16, -1.62, 1.8, 1.6, 12.66, repro,
2008-09-02,-0.73, -2.16, 3.74, 1.8, 1.6, 12.53, repro,
2008-09-03,1.12, -1.17, -1.31, 1.83, 1.65, 12.95, repro,
2008-09-04,0.94, -1.74, 4.09, 1.89, 1.7, 13.32, repro,
2008-09-05,0.62, -1.44, 4.93, 1.81, 1.63, 12.78, repro,
2008-09-06,1.01, -0.16, -1.07, 1.81, 1.6, 12.75, repro,
2008-09-07,3.24, 0.74, -6.70, 1.91, 1.73, 12.66, repro,
2008-09-08,1.98, -0.42, 5.21, 1.82, 1.65, 12.79, repro,
2008-09-09,-0.99, -1.60, -6.58, 1.78, 1.59, 12.4, repro,
2008-09-10,2.01, -0.07, -2.44, 1.79, 1.6, 12.56, repro,
2008-09-11,-0.04, -0.46, -3.21, 1.8, 1.6, 12.62, repro,
2008-09-12,1.32, -1.38, -4.21, 1.8, 1.62, 12.66, repro,
2008-09-13,0.92, -0.19, -0.97, 2.23, 2.02, 15.9, repro,
2008-09-14,1.03, 0.96, -0.98, 1.81, 1.61, 12.72, repro,
2008-09-15,3.24, -0.36, -7.41, 1.79, 1.6, 12.46, repro,
2008-09-16,-0.15, -1.94, -4.07, 1.84, 1.7, 12.96, repro,
2008-09-17,1.28, -0.74, -5.22, 1.83, 1.65, 12.97, repro,
2008-09-18,-0.67, 0.29, -6.37, 1.78, 1.57, 12.46, repro,
2008-09-19,-1.41, -1.88, -2.97, 1.81, 1.59, 12.71, repro,
2008-09-20,1.66, -1.56, -5.40, 1.78, 1.58, 12.36, repro,
2008-09-21,0.93, -0.89, -9.69, 1.78, 1.56, 12.35, repro,
2008-09-22,1.11, -2.20, -6.95, 1.78, 1.58, 12.42, repro,
2008-09-23,0.13, -0.12, -22.55, 1.78, 1.56, 12.38, repro,
2008-09-24,0.10, -0.05, -14.87, 1.79, 1.57, 12.5, repro,
2008-09-25,2.40, 0.87, -4.90, 1.84, 1.58, 12.81, repro,
2008-09-26,0.81, 0.09, -20.54, 1.79, 1.56, 12.28, repro,
2008-09-27,-0.96, -0.07, -7.20, 1.76, 1.56, 12.23, repro,
2008-09-28,-1.44, -0.74, -9.90, 1.79, 1.55, 12.41, repro,
2008-09-29,0.15, -0.63, -15.26, 1.78, 1.58, 12.46, repro,
2008-09-30,0.72, -1.20, -12.46, 1.8, 1.57, 12.45, repro,
2008-10-01,-0.80, -1.08, -21.77, 1.79, 1.61, 12.58, repro,
2008-10-02,0.34, -1.03, -22.97, 1.78, 1.57, 12.26, repro,
2008-10-03,-1.34, -0.32, -9.54, 1.82, 1.58, 12.53, repro,
2008-10-04,-0.55, -1.18, -6.42, 1.79, 1.58, 12.37, repro,
2008-10-05,0.62, -1.77, -9.58, 1.78, 1.56, 12.44, repro,
2008-10-06,0.31, 0.53, -17.88, 1.78, 1.55, 12.35, repro,
2008-10-07,0.92, 0.64, -14.63, 1.75, 1.56, 12.29, repro,
2008-10-08,1.12, -0.48, -7.10, 1.79, 1.55, 12.32, repro,
2008-10-09,1.62, -0.03, -15.19, 1.72, 1.53, 11.96, repro,
2008-10-10,0.50, 0.34, -16.77, 1.76, 1.54, 12.31, repro,
2008-10-11,-0.56, 1.48, -2.51, 1.82, 1.6, 12.52, repro,
2008-10-12,-0.56, 0.85, -10.57, 1.75, 1.55, 12.16, repro,
2008-10-13,0.88, -0.17, -6.25, 1.76, 1.57, 12.37, repro,
2008-10-14,3.12, -0.54, -10.74, 1.75, 1.57, 12.14, repro,
2008-10-15,2.47, -1.04, -5.32, 1.81, 1.61, 12.82, repro,
2008-10-16,2.63, -0.94, -11.13, 1.81, 1.6, 12.86, repro,
2008-10-17,3.43, -0.51, -9.13, 1.75, 1.54, 12.26, repro,
2008-10-18,1.51, 0.20, -16.48, 1.74, 1.54, 12.11, repro,
2008-10-19,0.48, -1.55, -14.16, 1.73, 1.53, 11.99, repro,
2008-10-20,-0.40, -0.05, -9.90, 1.75, 1.53, 12.1, repro,
2008-10-21,0.18, 1.43, -0.65, 1.79, 1.55, 12.44, repro,
2008-10-22,-1.15, -0.47, -5.02, 1.77, 1.55, 12.47, repro,
2008-10-23,2.75, -0.40, -4.67, 1.75, 1.56, 12.22, repro,
2008-10-24,-1.37, -1.40, -5.83, 1.77, 1.53, 12.32, repro,
2008-10-25,-0.06, -2.16, 3.35, 2.41, 2.07, 16.57, repro,
2008-10-26,-0.55, -0.99, -9.99, 1.76, 1.56, 12.46, repro,
2008-10-27,-0.14, -1.34, -5.34, 1.77, 1.54, 12.41, repro,
2008-10-28,-0.95, -1.38, -8.64, 1.8, 1.6, 12.56, repro,
2008-10-29,0.67, -1.26, -7.30, 1.83, 1.6, 12.46, repro,
2008-10-30,0.43, -0.66, -16.79, 1.75, 1.53, 11.99, repro,
2008-10-31,2.51, 0.35, -4.19, 1.75, 1.55, 12.13, repro,
2008-11-01,-1.34, 1.24, -3.00, 1.78, 1.57, 12.39, repro,
2008-11-02,-2.89, -0.91, -4.47, 1.77, 1.56, 12.47, repro,
2008-11-03,-0.71, -1.41, -5.27, 1.78, 1.61, 12.42, repro,
2008-11-04,-1.27, -1.05, -10.48, 1.77, 1.55, 12.3, repro,
2008-11-05,-1.68, 0.57, -13.08, 1.76, 1.54, 12.25, repro,
2008-11-06,-0.10, -0.22, -7.84, 1.77, 1.57, 12.28, repro,
2008-11-07,0.25, -0.59, -11.16, 1.82, 1.61, 12.86, repro,
2008-11-08,0.58, -2.27, -0.23, 1.77, 1.55, 12.38, repro,
2008-11-09,-2.30, -1.87, -7.40, 1.76, 1.56, 12.36, repro,
2008-11-10,-0.79, -1.69, -4.49, 1.77, 1.55, 12.4, repro,
2008-11-11,-0.65, 0.24, -4.41, 1.8, 1.55, 12.55, repro,
2008-11-12,-0.29, -0.59, -3.34, 1.8, 1.55, 12.45, repro,
2008-11-13,-1.06, -0.22, -4.73, 1.83, 1.65, 13.01, repro,
2008-11-14,-1.27, -0.88, -6.09, 1.75, 1.57, 12.7, repro,
2008-11-15,0.20, 0.79, -13.52, 1.73, 1.5, 12.42, repro,
2008-11-16,-2.86, -0.75, -16.55, 1.74, 1.53, 12.54, repro,
2008-11-17,0.48, 0.80, -6.53, 1.73, 1.51, 12.53, repro,
2008-11-18,0.93, -0.55, -8.55, 1.78, 1.61, 13, repro,
2008-11-19,1.46, -2.04, -5.26, 1.73, 1.5, 12.42, repro,
2008-11-20,0.94, -2.67, -14.65, 1.82, 1.58, 13.33, repro,
2008-11-21,1.19, -0.63, -11.93, 1.79, 1.54, 12.99, repro,
2008-11-22,0.43, -1.86, 4.54, 1.74, 1.53, 12.59, repro,
2008-11-23,-0.54, -1.31, -14.09, 1.78, 1.53, 12.81, repro,
2008-11-24,0.07, -0.38, -10.13, 1.82, 1.56, 13.07, repro,
2008-11-25,0.61, -2.06, -1.81, 1.75, 1.55, 12.62, repro,
2008-11-26,-1.92, -1.45, -8.59, 1.74, 1.52, 12.51, repro,
2008-11-27,-2.87, -0.90, -10.24, 1.74, 1.53, 12.6, repro,
2008-11-28,-4.00, -1.07, -4.82, 1.77, 1.55, 12.81, repro,
2008-11-29,-2.78, -0.45, -7.24, 1.76, 1.54, 12.59, repro,
2008-11-30,-1.01, -2.03, -4.02, 1.74, 1.54, 12.52, repro,
2008-12-01,-0.11, -1.96, -9.42, 1.74, 1.52, 12.56, repro,
2008-12-02,-0.25, -1.26, -0.06, 6.49, 4.56, 44.69, repro,
2008-12-03,3.42, -1.20, -9.07, 1.78, 1.55, 12.87, repro,
2008-12-04,1.64, -1.60, -12.82, 1.78, 1.59, 12.92, repro,
2008-12-05,2.60, -1.84, -0.90, 1.76, 1.55, 12.74, repro,
2008-12-06,0.56, -2.55, 3.36, 1.78, 1.57, 12.85, repro,
2008-12-07,0.41, -2.23, 1.82, 1.77, 1.57, 12.86, repro,
2008-12-08,0.01, -1.99, -3.12, 1.72, 1.52, 12.38, repro,
2008-12-09,-0.35, -2.86, -7.47, 1.77, 1.54, 12.88, repro,
2008-12-10,3.31, -2.69, 0.21, 1.71, 1.49, 12.22, repro,
2008-12-11,3.11, -2.15, 0.75, 1.8, 1.54, 13.05, repro,
2008-12-12,0.06, -0.88, -10.80, 1.77, 1.56, 12.88, repro,
2008-12-13,0.46, -2.09, -11.13, 1.72, 1.52, 12.42, repro,
2008-12-14,-0.48, -2.04, -10.83, 1.7, 1.49, 12.26, repro,
2008-12-15,2.56, -2.12, -1.75, 1.71, 1.51, 12.39, repro,
2008-12-16,2.05, -0.73, -1.96, 1.7, 1.48, 12.21, repro,
2008-12-17,-0.14, 0.05, -7.27, 1.72, 1.49, 12.38, repro,
2008-12-18,2.37, -0.67, -9.20, 1.68, 1.48, 12.12, repro,
2008-12-19,0.12, -0.19, -6.16, 1.74, 1.53, 12.64, repro,
2008-12-20,0.48, 0.02, -12.33, 1.7, 1.48, 12.16, repro,
2008-12-21,0.71, 0.38, -7.85, 1.69, 1.48, 12.12, repro,
2008-12-22,1.64, 1.25, -13.87, 1.74, 1.49, 12.36, repro,
