PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, KMOR
Station name, Kap_Morton      
Begin Date, 2007-09-04
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, KMOR.cwu.nam14.pos
Offset from source file, -9.50 mm North, -10.52 mm East, 41.88 mm Vertical
Reference position, 81.2527145581 North Latitude, -63.5273968953 East Longitude, 203.29841 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-09-04,0.00, 0.00, 0.00, 1.8, 1.49, 11.49, repro,
2007-09-05,-1.29, -0.19, -4.03, 1.82, 1.52, 11.63, repro,
2007-09-06,-0.96, 0.26, -16.53, 1.82, 1.52, 11.67, repro,
2007-09-07,-0.41, -0.84, -2.51, 1.86, 1.56, 12, repro,
2007-09-08,-0.16, -0.19, -2.73, 1.89, 1.53, 11.94, repro,
2007-09-09,-0.54, 0.83, -5.34, 1.86, 1.53, 11.83, repro,
2007-09-10,-0.91, 0.62, -1.58, 1.8, 1.51, 11.53, repro,
2007-09-11,-0.94, 0.35, -7.97, 1.88, 1.6, 12.05, repro,
2007-09-12,-0.38, 0.00, -10.68, 1.84, 1.52, 11.74, repro,
2007-09-13,0.61, 0.00, -1.27, 1.84, 1.52, 11.76, repro,
2007-09-14,-1.27, -0.09, -8.87, 1.84, 1.51, 11.69, repro,
2007-09-15,-1.17, 0.70, -4.18, 1.87, 1.52, 11.85, repro,
2007-09-16,0.47, -0.24, -8.16, 1.86, 1.55, 11.85, repro,
2007-09-17,-0.79, -0.30, -5.95, 1.84, 1.54, 11.75, repro,
2007-09-18,-0.09, -1.52, -1.75, 1.81, 1.48, 11.5, repro,
2007-09-19,-0.74, -0.94, -3.52, 1.78, 1.46, 11.24, repro,
2007-09-20,-0.33, 0.62, -0.05, 1.79, 1.45, 11.27, repro,
2007-09-21,0.00, 0.25, -3.76, 1.76, 1.46, 11.15, repro,
2007-09-22,-1.96, 1.06, -12.04, 1.77, 1.48, 11.32, repro,
2007-09-23,0.44, 0.09, -3.51, 1.79, 1.48, 11.42, repro,
