PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, KSNB
Station name, Steenstrup_Nordr
Begin Date, 2007-08-21
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, KSNB.cwu.nam14.pos
Offset from source file, 7.83 mm North, -13.15 mm East, 81.26 mm Vertical
Reference position, 66.8632797131 North Latitude, -35.5763150762 East Longitude, 1720.90875 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-08-21,0.00, 0.00, 0.00, 2.33, 1.64, 8.63, repro,
2007-08-22,-3.50, -1.07, 9.86, 2.25, 1.59, 8.34, repro,
2007-08-23,-3.78, -2.42, 5.54, 2.33, 1.61, 8.53, repro,
2007-08-24,-1.33, -1.31, 8.31, 2.3, 1.63, 8.54, repro,
2007-08-25,-1.36, -1.44, 4.93, 2.35, 1.65, 8.69, repro,
2007-08-26,-0.74, -1.74, 3.58, 2.35, 1.66, 9.17, repro,
2007-08-27,-4.45, -2.81, 0.17, 2.58, 1.81, 9.57, repro,
2007-08-28,-0.92, -1.58, 1.05, 2.37, 1.64, 8.67, repro,
2007-08-29,0.76, -2.31, -1.76, 2.33, 1.64, 8.76, repro,
2007-08-30,-1.37, 0.29, 0.64, 2.42, 1.73, 8.83, repro,
2007-08-31,-2.18, -2.12, 10.11, 2.31, 1.63, 8.72, repro,
2007-09-01,-1.64, 0.10, 5.97, 2.42, 1.73, 9.41, repro,
2007-09-02,-0.29, -1.20, 2.45, 2.7, 1.9, 10.2, repro,
2007-09-03,-0.25, -0.35, 10.11, 2.31, 1.62, 8.49, repro,
2007-09-04,-1.42, -1.77, 15.07, 2.27, 1.58, 8.41, repro,
2007-09-05,-2.98, -1.20, 7.85, 2.39, 1.7, 8.85, repro,
2007-09-06,-1.48, -0.94, 6.57, 2.54, 1.79, 9.61, repro,
2007-09-07,-0.61, -2.44, 9.92, 2.3, 1.61, 8.6, repro,
2007-09-08,-0.85, -1.51, 11.68, 2.34, 1.65, 8.78, repro,
2007-09-09,-0.41, -1.82, 9.84, 2.3, 1.61, 8.69, repro,
2007-09-10,-2.68, -1.81, 10.63, 2.28, 1.61, 8.63, repro,
2007-09-11,-0.43, -2.24, 12.58, 2.3, 1.61, 8.53, repro,
2007-09-12,-0.15, -1.07, 10.57, 2.32, 1.64, 8.66, repro,
2007-09-13,-0.11, -1.13, 9.96, 2.36, 1.67, 8.73, repro,
2007-09-14,-0.24, -0.59, 11.10, 2.29, 1.66, 8.78, repro,
2007-09-15,-0.69, -1.06, 14.78, 2.34, 1.62, 8.69, repro,
2007-09-16,-0.07, -0.64, 5.53, 2.3, 1.62, 8.59, repro,
2007-09-17,0.75, -1.39, 14.93, 2.29, 1.59, 8.5, repro,
2007-09-18,-1.00, -0.67, 20.06, 2.25, 1.56, 8.43, repro,
2007-09-19,-1.45, -1.10, 18.98, 2.19, 1.55, 7.92, repro,
2007-09-20,0.96, -1.60, 18.85, 2.3, 1.62, 8.52, repro,
2007-09-21,0.92, -0.17, 9.90, 2.27, 1.6, 8.22, repro,
2007-09-22,0.30, -0.39, 7.57, 2.39, 1.67, 8.62, repro,
2007-09-23,0.59, 0.04, 9.71, 2.36, 1.59, 8.37, repro,
2007-09-24,3.32, 0.09, 6.74, 2.41, 1.7, 8.79, repro,
2007-09-25,0.35, -0.53, 3.82, 2.27, 1.6, 8.27, repro,
2007-09-26,-0.04, 0.15, 14.02, 2.23, 1.56, 8.07, repro,
2007-09-27,-0.62, 0.05, 13.02, 2.33, 1.64, 8.48, repro,
2007-09-28,-1.28, -0.18, 12.26, 2.32, 1.62, 8.36, repro,
2007-09-29,-1.30, -0.12, 9.21, 2.79, 1.9, 10.02, repro,
2007-09-30,-1.17, -0.82, 15.68, 2.37, 1.65, 8.51, repro,
2007-10-01,-0.63, -1.00, 15.99, 2.39, 1.68, 8.96, repro,
2007-10-02,-3.95, -1.92, 18.01, 2.3, 1.62, 8.69, repro,
2007-10-03,0.15, -0.94, 15.28, 2.44, 1.7, 8.61, repro,
2007-10-04,-0.55, -0.46, 7.60, 2.36, 1.66, 8.39, repro,
2007-10-05,0.62, -0.11, 8.16, 2.49, 1.66, 8.78, repro,
2007-10-06,0.71, -1.66, 9.74, 2.35, 1.65, 8.6, repro,
2007-10-07,1.37, -0.44, 5.51, 2.24, 1.57, 8.22, repro,
2007-10-08,-0.60, -0.07, 4.58, 2.48, 1.69, 9.72, repro,
2007-10-09,2.04, -1.25, -1.31, 2.4, 1.69, 8.93, repro,
2007-10-10,2.10, -0.62, 1.91, 2.38, 1.65, 9.01, repro,
2007-10-11,1.65, -2.46, 4.78, 2.26, 1.58, 8.54, repro,
2007-10-12,0.28, -0.83, 17.19, 2.24, 1.58, 8.24, repro,
2007-10-13,0.16, -0.29, 16.38, 2.25, 1.56, 8.21, repro,
2007-10-14,-0.15, -0.63, 13.00, 2.22, 1.56, 8.19, repro,
2007-10-15,-2.97, -1.38, 17.83, 2.26, 1.57, 8.23, repro,
2007-10-16,-1.25, -1.57, 10.20, 2.26, 1.6, 8.26, repro,
2007-10-17,-1.01, -1.81, 12.61, 2.24, 1.56, 8.17, repro,
2007-10-18,0.02, -1.28, 15.53, 2.49, 1.76, 9.33, repro,
2007-10-19,-0.11, -1.45, 21.01, 2.47, 1.75, 9.09, repro,
2007-10-20,2.90, 0.93, 13.73, 2.36, 1.63, 8.32, repro,
2007-10-21,-0.52, 0.76, 11.71, 2.26, 1.59, 8.24, repro,
2007-10-22,-2.39, 0.98, 14.33, 2.34, 1.64, 8.63, repro,
2007-10-23,-0.24, 1.34, 25.47, 2.27, 1.62, 8.38, repro,
2007-10-24,1.33, 1.10, 19.91, 2.34, 1.65, 8.79, repro,
2007-10-25,-0.31, 3.00, 19.44, 2.38, 1.71, 8.86, repro,
2007-10-26,2.61, 2.51, 20.14, 2.66, 1.8, 9.19, repro,
2007-10-27,2.32, 1.66, 11.58, 2.67, 1.8, 9.35, repro,
2007-10-28,3.26, 2.26, 12.19, 2.27, 1.6, 8.26, repro,
2007-10-29,2.45, 2.29, 15.03, 2.41, 1.69, 8.88, repro,
2007-10-30,0.37, 0.96, 15.76, 2.3, 1.64, 8.27, repro,
2007-10-31,0.13, 0.30, 11.16, 2.24, 1.58, 8.18, repro,
2007-11-01,3.32, 0.26, 7.37, 2.24, 1.6, 8.23, repro,
2007-11-02,2.69, -0.41, 10.21, 2.18, 1.54, 7.99, repro,
2007-11-03,2.83, 0.95, 12.38, 2.24, 1.58, 8.14, repro,
2007-11-04,-1.60, -2.16, 11.39, 2.22, 1.56, 7.97, repro,
2007-11-05,3.21, -1.37, 7.22, 2.17, 1.53, 7.88, repro,
2007-11-06,1.24, -1.56, 8.03, 2.16, 1.51, 7.86, repro,
2007-11-07,2.22, -1.25, 8.53, 2.24, 1.56, 8.09, repro,
2007-11-08,0.99, 0.16, 9.29, 2.23, 1.59, 8.3, repro,
2007-11-09,2.30, -0.77, 14.39, 2.32, 1.62, 8.66, repro,
2007-11-10,2.03, -1.99, 9.02, 2.2, 1.54, 7.94, repro,
2007-11-11,2.82, -0.55, 14.41, 2.28, 1.59, 8.07, repro,
2007-11-12,2.38, -0.85, 9.70, 2.2, 1.55, 7.96, repro,
2007-11-13,1.40, -2.46, 8.14, 2.31, 1.6, 8.29, repro,
2007-11-14,2.77, -0.84, 4.06, 2.31, 1.61, 8.29, repro,
2007-11-15,2.49, -1.63, 13.94, 2.41, 1.69, 8.64, repro,
2007-11-16,1.33, -1.42, 8.90, 2.25, 1.6, 8.12, repro,
2007-11-17,0.37, -0.72, 11.27, 2.19, 1.52, 7.87, repro,
2007-11-18,0.54, -0.93, 10.51, 2.23, 1.57, 8.15, repro,
2007-11-19,-1.52, 0.07, 9.76, 2.35, 1.65, 8.33, repro,
2007-11-20,0.93, -2.58, 10.47, 2.66, 1.86, 9.55, repro,
2007-11-21,0.37, -2.89, 6.71, 2.38, 1.67, 8.77, repro,
2007-11-22,3.73, 0.45, 14.32, 2.74, 1.77, 9.85, repro,
2007-11-23,2.22, -0.40, 15.12, 2.34, 1.64, 8.37, repro,
2007-11-24,0.66, -0.24, 10.24, 2.42, 1.72, 8.86, repro,
2007-11-25,0.69, -0.31, 9.08, 2.36, 1.69, 8.74, repro,
2007-11-26,0.51, 1.61, 10.88, 2.4, 1.67, 8.42, repro,
2007-11-27,0.79, -0.71, 9.97, 2.28, 1.6, 8.4, repro,
