PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, KUAQ
Station name, Kangerdlussuaq_G
Begin Date, 2009-08-07
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, KUAQ.cwu.nam14.pos
Offset from source file, -0.10 mm North, -20.30 mm East, 103.13 mm Vertical
Reference position, 68.5869987933 North Latitude, -33.0527457726 East Longitude, 865.02985 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2009-08-07,0.00, 0.00, 0.00, 2.37, 1.68, 8.97, repro,
2009-08-08,-0.52, -0.12, -0.05, 2.27, 1.57, 8.41, repro,
2009-08-09,1.54, -0.63, 4.69, 2.29, 1.61, 8.57, repro,
2009-08-10,0.22, -0.99, 5.74, 2.22, 1.56, 8.33, repro,
2009-08-11,2.25, -0.15, 5.26, 2.28, 1.59, 8.5, repro,
2009-08-12,1.22, -0.23, 2.65, 2.25, 1.56, 8.44, repro,
2009-08-13,1.21, 0.02, 1.51, 2.2, 1.53, 8.22, repro,
2009-08-14,2.63, -0.28, 7.32, 2.22, 1.57, 8.33, repro,
2009-08-15,2.74, -0.34, 7.23, 2.19, 1.57, 8.3, repro,
2009-08-16,3.37, -2.17, 5.33, 2.22, 1.59, 8.31, repro,
2009-08-17,2.21, -1.71, 9.87, 2.22, 1.57, 8.35, repro,
2009-08-18,4.57, -1.83, 11.72, 2.24, 1.53, 8.33, repro,
2009-08-19,2.86, -1.41, 10.36, 2.22, 1.58, 8.27, repro,
2009-08-20,4.50, 0.16, 4.35, 2.26, 1.59, 8.43, repro,
2009-08-21,3.43, 0.14, 13.89, 2.32, 1.63, 8.56, repro,
2009-08-22,2.99, 0.02, 8.93, 2.25, 1.59, 8.42, repro,
2009-08-23,2.39, -0.92, 5.85, 2.3, 1.62, 8.67, repro,
2009-08-24,1.72, -0.47, 9.19, 2.21, 1.57, 8.27, repro,
2009-08-25,3.76, -0.33, 5.18, 2.24, 1.61, 8.44, repro,
2009-08-26,1.59, -0.78, 11.08, 2.3, 1.65, 8.76, repro,
2009-08-27,2.73, -0.82, 7.12, 2.48, 1.81, 9.11, repro,
2009-08-28,3.28, -1.51, 5.68, 2.25, 1.59, 8.27, repro,
2009-08-29,2.37, -2.08, 6.92, 2.18, 1.55, 8.05, repro,
2009-08-30,2.56, -1.31, 3.76, 2.33, 1.64, 8.59, repro,
2009-08-31,2.09, -0.84, 5.97, 2.18, 1.57, 8.09, repro,
