PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, KULL
Station name, Kullorsuaq      
Begin Date, 2007-08-15
End Date, 2019-05-19
Release Date, 2020-06-20
Source file, KULL.cwu.igs14.pos
Offset from source file, 14.29 mm North, -57.67 mm East, 52.90 mm Vertical
Reference position, 74.5806247562 North Latitude, -57.2270584254 East Longitude, 94.03343 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-08-15,0.00, 0.00, 0.00, 2.18, 1.65, 10.37, repro,
2007-08-16,-1.16, -0.47, -9.79, 2.12, 1.61, 9.87, repro,
2007-08-17,-0.31, -1.28, -5.54, 2.1, 1.6, 9.7, repro,
2007-08-18,1.10, -0.64, -0.61, 2.11, 1.59, 9.85, repro,
2007-08-19,1.81, -1.87, 2.66, 2.19, 1.68, 10.48, repro,
2007-08-20,-0.26, -0.53, -5.04, 2.07, 1.56, 9.68, repro,
2007-08-21,1.77, -1.77, -3.18, 2.05, 1.57, 9.59, repro,
2007-08-22,-1.40, -0.75, -2.75, 2.07, 1.56, 9.66, repro,
2007-08-23,0.01, -2.79, -6.17, 2.02, 1.56, 9.56, repro,
2007-08-24,0.56, -1.33, 1.68, 2.09, 1.6, 9.79, repro,
2007-08-25,0.90, -1.22, -1.18, 2.08, 1.58, 9.78, repro,
2007-08-26,0.25, -1.49, -6.49, 2.17, 1.66, 10.37, repro,
2007-08-27,-1.81, -1.15, -15.26, 2.31, 1.72, 11.07, repro,
2007-08-28,0.15, -0.38, -9.56, 2.07, 1.57, 9.89, repro,
2007-08-29,1.35, -1.76, -0.34, 2.11, 1.61, 10.23, repro,
2007-08-30,-0.48, -0.61, -5.71, 2.14, 1.64, 9.87, repro,
2007-08-31,-0.28, -2.25, -2.39, 2.06, 1.57, 10.05, repro,
2007-09-01,0.49, -1.65, -7.41, 2.08, 1.57, 9.81, repro,
2007-09-02,0.62, -0.75, -2.91, 2.2, 1.65, 10.41, repro,
2007-09-03,2.22, -1.57, 2.50, 2.16, 1.61, 10.11, repro,
2007-09-04,3.27, -2.89, 14.20, 2.04, 1.57, 9.67, repro,
2007-09-05,2.03, -1.68, 9.00, 2.11, 1.58, 9.95, repro,
2007-09-06,1.56, -0.69, 1.70, 2.1, 1.6, 10.03, repro,
2007-09-07,0.56, -3.75, -0.04, 2.12, 1.6, 10.22, repro,
2007-09-08,1.69, -3.19, 3.40, 2.15, 1.6, 10.05, repro,
2007-09-09,-0.06, -1.23, 0.68, 2.1, 1.58, 9.86, repro,
2007-09-10,0.04, -2.28, 3.88, 2.04, 1.54, 9.62, repro,
2007-09-11,0.70, -2.42, 2.31, 2.06, 1.54, 9.74, repro,
2007-09-12,-0.40, -2.53, -9.61, 2.05, 1.56, 9.7, repro,
2007-09-13,2.86, -0.98, -2.01, 2.06, 1.55, 9.69, repro,
2007-09-14,1.88, -2.38, 3.98, 2.06, 1.55, 9.64, repro,
2007-09-15,0.83, -2.36, 2.65, 2.12, 1.57, 10.06, repro,
2007-09-16,2.02, -1.66, -0.83, 2.08, 1.56, 9.8, repro,
2007-09-17,0.24, -3.20, 9.05, 2.08, 1.58, 9.89, repro,
2007-09-18,1.90, -3.53, 4.60, 2.06, 1.56, 9.86, repro,
2007-09-19,0.28, -3.66, -1.37, 2.03, 1.54, 9.52, repro,
2007-09-20,0.91, -2.24, 4.41, 2.04, 1.54, 9.43, repro,
2007-09-21,1.76, -2.29, -1.63, 2.08, 1.53, 9.89, repro,
2007-09-22,-0.15, -1.99, -6.39, 2.06, 1.57, 9.83, repro,
2007-09-23,1.07, -2.06, -7.42, 2.25, 1.64, 10.46, repro,
2007-09-24,2.52, -1.63, -0.06, 2.21, 1.63, 10.24, repro,
2007-09-25,1.99, -1.29, -2.72, 2.1, 1.6, 9.85, repro,
2007-09-26,2.31, -4.07, 6.46, 1.99, 1.53, 9.29, repro,
2007-09-27,0.70, -3.28, -2.21, 2.09, 1.54, 9.65, repro,
2007-09-28,1.97, -3.89, 6.29, 2.16, 1.55, 10.1, repro,
2007-09-29,0.71, -3.02, 0.84, 2.06, 1.51, 9.56, repro,
2007-09-30,1.49, -2.86, 2.87, 2.11, 1.55, 9.82, repro,
