PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, KULU
Station name, Kulusuk_GPS     
Begin Date, 1996-07-25
End Date, 2019-08-13
Release Date, 2020-02-13
Source file, KULU.cwu.nam14.pos
Offset from source file, -6.35 mm North, -27.61 mm East, 69.00 mm Vertical
Reference position, 65.5793353842 North Latitude, -37.1493578847 East Longitude, 67.48358 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
1996-07-25,0.00, 0.00, 0.00, 3.08, 2.19, 9.93, repro,
1996-07-26,-1.07, -0.16, -0.64, 3.72, 2.64, 12.29, repro,
1996-07-27,0.16, -2.04, 11.45, 4.15, 2.93, 13.92, repro,
1996-07-28,-0.53, -0.65, 11.62, 3.05, 2.19, 10.03, repro,
1996-07-29,-5.19, -0.85, 5.00, 2.9, 2.07, 9.8, repro,
1996-07-30,-2.17, 1.10, 7.25, 2.78, 2.02, 9.09, repro,
1996-07-31,-1.30, -0.09, 11.13, 2.97, 2.13, 9.53, repro,
1996-08-01,1.19, 2.62, 7.79, 3.43, 2.36, 11.1, repro,
1996-08-02,1.37, 4.36, 5.62, 3.03, 2.17, 9.49, repro,
1996-08-03,-0.39, -1.23, -4.58, 3.1, 2.21, 10.13, repro,
1996-08-04,-2.14, 0.48, 0.36, 3.01, 2.21, 9.79, repro,
1996-08-05,-1.59, 0.67, 1.49, 3.08, 2.23, 10.29, repro,
1996-08-06,-4.41, -0.64, 5.89, 3.45, 2.49, 11.12, repro,
1996-08-07,-1.23, -0.74, -7.06, 3.1, 2.22, 10.02, repro,
1996-08-08,-3.56, 0.86, 3.91, 2.97, 2.16, 10.09, repro,
1996-08-09,-1.58, -0.03, 18.42, 3.01, 2.25, 9.4, repro,
1996-08-10,-1.35, 0.48, -1.95, 2.98, 2.25, 9.25, repro,
1996-08-11,-3.43, -1.88, -3.49, 3.1, 2.31, 9.55, repro,
1996-08-12,-3.22, -1.05, -5.04, 2.99, 2.25, 9.53, repro,
1996-08-13,-0.39, 0.71, 4.42, 2.97, 2.24, 9.26, repro,
1996-08-14,-1.13, 1.44, 15.78, 3.57, 2.58, 10.86, repro,
1996-08-15,-2.29, -0.91, 9.93, 4.73, 3.55, 16.92, repro,
1996-08-16,0.14, 0.03, -1.57, 3.01, 2.27, 9.24, repro,
1996-08-17,-4.76, 0.37, 7.98, 3.06, 2.3, 9.38, repro,
1996-08-18,-2.67, -0.68, 4.70, 3.06, 2.3, 9.07, repro,
1996-08-19,-1.77, 0.49, -1.49, 3.27, 2.51, 9.71, repro,
1996-08-20,-0.75, 0.77, 2.20, 3.21, 2.38, 9.65, repro,
1996-08-21,-0.43, 0.31, 0.73, 3.42, 2.54, 10.17, repro,
1996-08-22,0.02, 1.41, 2.23, 3.16, 2.39, 9.66, repro,
1996-08-23,-4.96, 1.37, 12.61, 3.15, 2.31, 9.49, repro,
1996-08-24,-1.31, -0.50, 1.83, 3.42, 2.46, 10.06, repro,
1996-08-25,-1.60, 0.01, -10.76, 3.24, 2.42, 10, repro,
1996-08-26,-1.52, -0.37, -2.22, 3.26, 2.46, 9.86, repro,
1996-08-27,-0.16, -2.90, 1.21, 3.19, 2.4, 10.2, repro,
1996-08-28,-3.38, -1.01, -11.43, 3.1, 2.31, 9.63, repro,
1996-08-29,-0.68, -0.31, 3.54, 3.72, 2.74, 11.35, repro,
1996-08-30,1.13, 0.06, 3.72, 3.35, 2.53, 10.74, repro,
1996-08-31,-0.75, -1.93, -1.04, 3.33, 2.41, 10.61, repro,
1996-09-01,-1.57, -0.88, -1.94, 3.1, 2.33, 9.48, repro,
1996-09-02,-2.65, -1.46, 4.85, 3.65, 2.67, 11.82, repro,
1996-09-03,0.32, 0.63, 1.75, 2.99, 2.19, 9.49, repro,
1996-09-04,-1.65, 5.02, -5.17, 3.16, 2.33, 9.5, repro,
1996-09-05,-0.02, -1.52, 1.65, 3.14, 2.45, 9.43, repro,
1996-09-06,-1.72, -3.94, -4.50, 3.05, 2.3, 9.6, repro,
1996-09-07,0.97, -3.91, 3.68, 3.48, 2.55, 10.05, repro,
1996-09-08,1.94, -0.39, -9.33, 3.08, 2.24, 9.22, repro,
1996-09-09,1.45, 0.18, -7.47, 3.46, 2.56, 9.89, repro,
1996-09-10,3.54, -5.11, 1.91, 3.57, 2.64, 10.75, repro,
1996-09-11,-1.76, -2.67, -1.83, 3.67, 2.69, 11.04, repro,
1996-09-12,-6.44, 5.68, -8.83, 4.94, 3.73, 12.64, repro,
1996-09-13,-1.22, -1.02, -15.91, 3.34, 2.46, 9.95, repro,
1996-09-14,-1.95, -0.99, -9.91, 3.02, 2.12, 9.39, repro,
1996-09-15,-2.10, -1.87, -9.23, 3.34, 2.41, 10.06, repro,
1996-09-16,-2.16, -0.63, 9.59, 3.56, 2.58, 10.74, repro,
1996-09-17,-2.76, -0.84, -1.28, 3.27, 2.44, 9.91, repro,
1996-09-18,2.05, -1.61, 0.70, 3.25, 2.4, 10.28, repro,
1996-09-19,-2.70, -3.74, 3.55, 3.41, 2.38, 10.82, repro,
1996-09-20,-3.57, -3.45, 1.10, 4.65, 2.98, 13.92, repro,
1996-09-21,1.59, -1.86, -5.21, 3.56, 2.52, 10.84, repro,
1996-09-22,3.03, -1.48, -1.82, 3.51, 2.52, 10.6, repro,
1996-09-23,1.85, -2.39, 14.34, 4.47, 3.05, 13.1, repro,
1996-09-24,-0.85, -1.29, -0.77, 3.28, 2.36, 9.72, repro,
1996-09-25,0.57, -2.90, -20.83, 2.9, 2.09, 8.95, repro,
1996-09-26,-0.94, -0.54, -14.25, 3.22, 2.33, 10.38, repro,
1996-09-27,-0.69, -0.96, -4.22, 3.04, 2.3, 9.5, repro,
1996-09-28,1.69, -0.91, 8.41, 3.04, 2.19, 9.62, repro,
1996-09-29,-0.99, -1.74, 10.93, 3.03, 2.25, 9.32, repro,
1996-09-30,1.77, -1.73, -3.39, 2.98, 2.25, 9, repro,
1996-10-01,-0.34, -2.74, -19.01, 5.22, 3.81, 16.44, repro,
1996-10-02,-0.59, 1.04, 11.93, 2.96, 2.28, 8.95, repro,
1996-10-03,2.15, -1.69, 8.97, 3.31, 2.4, 9.87, repro,
1996-10-04,-0.45, 0.60, 2.34, 3.24, 2.48, 9.76, repro,
1996-10-05,-0.87, -3.21, 7.17, 3.16, 2.42, 9.29, repro,
1996-10-06,1.33, -2.59, 8.10, 3, 2.29, 8.97, repro,
1996-10-07,0.50, 0.39, 8.42, 3.08, 2.33, 8.98, repro,
1996-10-08,2.10, -2.88, 15.39, 3.38, 2.43, 9.97, repro,
1996-10-09,-0.80, -2.06, 9.99, 3.59, 2.6, 10.81, repro,
1996-10-10,-1.46, -0.93, 7.47, 3.12, 2.29, 9.27, repro,
1996-10-11,2.48, -1.65, 3.27, 3.12, 2.35, 9.43, repro,
1996-10-12,2.43, -0.67, 8.62, 3.38, 2.46, 10.52, repro,
1996-10-13,-0.52, 0.74, 12.09, 3.55, 2.71, 11.2, repro,
1996-10-14,0.82, -0.25, 5.10, 3.13, 2.38, 9.73, repro,
1996-10-15,1.43, -1.54, -27.60, 3.36, 2.6, 10.09, repro,
1996-10-16,1.85, 1.33, -23.36, 3.23, 2.39, 9.95, repro,
1996-10-17,1.43, -0.27, -1.97, 3, 2.26, 9.03, repro,
1996-10-18,0.46, -0.71, -6.85, 3.28, 2.24, 10.7, repro,
1996-10-19,-2.55, 0.13, 3.16, 3.52, 2.51, 10.95, repro,
1996-10-20,1.35, 0.05, -0.09, 3.01, 2.12, 9.16, repro,
1996-10-21,-1.14, -1.18, 4.60, 3.14, 2.35, 9.6, repro,
1996-10-22,1.65, -1.02, 1.56, 3.36, 2.45, 10.51, repro,
1996-10-23,-0.16, 1.14, 10.79, 3.33, 2.38, 10.32, repro,
1996-10-24,-1.96, -0.06, -16.37, 2.97, 2.17, 9.68, repro,
1996-10-25,0.56, -1.01, -7.59, 2.94, 2.19, 8.95, repro,
1996-10-26,-0.93, -1.60, 4.07, 2.99, 2.25, 9.06, repro,
1996-10-27,0.34, 0.24, 3.21, 3.07, 2.3, 9.32, repro,
1996-10-28,0.46, 2.74, -5.10, 3.79, 2.9, 10.68, repro,
1996-10-29,0.85, 1.21, -7.40, 3.25, 2.39, 10.16, repro,
1996-10-30,-0.52, -1.38, -8.41, 3.5, 2.45, 10.52, repro,
1996-10-31,-1.06, -2.02, -2.98, 3.17, 2.35, 9.8, repro,
1996-11-01,0.02, -0.46, 3.51, 2.91, 2.18, 8.95, repro,
1996-11-02,0.57, -1.12, 7.72, 2.95, 2.2, 8.96, repro,
