PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, LEFN
Station name, Leffingwell_Nuna
Begin Date, 2008-07-04
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, LEFN.cwu.nam14.pos
Offset from source file, 0.38 mm North, -18.86 mm East, 51.84 mm Vertical
Reference position, 80.4566821034 North Latitude, -26.2934584609 East Longitude, 692.08156 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-07-04,0.00, 0.00, 0.00, 1.87, 1.57, 11.2, repro,
2008-07-05,1.88, 0.21, 12.27, 1.91, 1.59, 11.38, repro,
2008-07-06,1.77, -0.18, 0.90, 1.93, 1.6, 11.58, repro,
2008-07-07,-1.11, -0.78, 11.14, 2.01, 1.67, 12.33, repro,
2008-07-08,0.88, -1.72, 14.85, 1.91, 1.59, 11.49, repro,
2008-07-09,1.15, -0.66, 16.28, 1.88, 1.57, 11.31, repro,
2008-07-10,3.63, -1.56, 5.28, 1.95, 1.64, 11.78, repro,
2008-07-11,0.47, -2.43, 11.29, 1.94, 1.6, 11.69, repro,
2008-07-12,5.90, -2.59, 18.40, 1.91, 1.59, 11.6, repro,
2008-07-13,0.60, -0.58, 19.75, 1.94, 1.61, 11.64, repro,
2008-07-14,0.58, 0.74, 23.17, 1.95, 1.61, 11.64, repro,
2008-07-15,0.11, 0.32, 19.57, 1.93, 1.63, 11.56, repro,
2008-07-16,1.34, -1.25, 17.99, 1.93, 1.6, 11.52, repro,
2008-07-17,1.61, -2.07, 19.72, 1.98, 1.64, 11.98, repro,
2008-07-18,1.75, -2.19, 17.85, 1.97, 1.64, 11.8, repro,
2008-07-19,1.09, -1.68, 12.41, 1.96, 1.62, 11.69, repro,
2008-07-20,1.70, -1.15, 19.91, 1.9, 1.57, 11.25, repro,
2008-07-21,1.82, -1.16, 20.45, 1.91, 1.6, 11.39, repro,
2008-07-22,0.87, -0.88, 18.30, 1.91, 1.61, 11.63, repro,
2008-07-23,-0.25, -0.32, 12.84, 1.98, 1.63, 11.94, repro,
2008-07-24,0.91, -1.51, 13.09, 1.98, 1.64, 12.15, repro,
2008-07-25,1.55, -2.14, 20.19, 1.95, 1.61, 11.94, repro,
2008-07-26,0.56, -1.73, 16.14, 1.9, 1.57, 11.39, repro,
2008-07-27,2.47, -1.41, 18.44, 2, 1.66, 11.74, repro,
2008-07-28,1.93, -2.97, 9.15, 1.97, 1.61, 11.92, repro,
2008-07-29,2.20, -2.61, 7.02, 1.94, 1.6, 11.55, repro,
2008-07-30,1.85, -2.65, 8.22, 2.03, 1.71, 11.55, repro,
2008-07-31,0.23, -1.56, 13.54, 1.9, 1.59, 11.4, repro,
2008-08-01,0.70, -0.79, 10.42, 1.91, 1.58, 11.47, repro,
2008-08-02,-0.24, -2.26, 7.52, 1.9, 1.59, 11.47, repro,
2008-08-03,0.26, -3.45, 9.44, 1.93, 1.63, 11.68, repro,
2008-08-04,1.13, -2.64, 10.34, 2.03, 1.67, 11.9, repro,
2008-08-05,-0.42, -2.15, 15.39, 1.9, 1.57, 11.28, repro,
2008-08-06,0.01, -2.42, 23.84, 1.94, 1.58, 11.54, repro,
2008-08-07,0.85, -3.38, 25.91, 1.98, 1.68, 12.05, repro,
2008-08-08,0.17, -1.63, 7.28, 1.99, 1.66, 11.84, repro,
2008-08-09,0.15, -2.43, 0.78, 2.05, 1.66, 12.13, repro,
2008-08-10,0.33, -3.27, 15.63, 1.97, 1.64, 11.9, repro,
2008-08-11,3.36, -3.35, 21.96, 1.96, 1.64, 11.65, repro,
2008-08-12,2.88, -2.94, 24.01, 2.03, 1.7, 11.96, repro,
2008-08-13,1.29, -3.52, 24.14, 2.07, 1.72, 12.07, repro,
2008-08-14,0.84, -2.89, 24.39, 1.93, 1.59, 11.62, repro,
2008-08-15,1.65, -3.49, 24.35, 2.01, 1.7, 11.62, repro,
2008-08-16,0.73, -2.89, 23.03, 1.89, 1.59, 11.34, repro,
2008-08-17,0.29, -2.23, 25.91, 1.99, 1.65, 11.71, repro,
