PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, LYNS
Station name, Lyns            
Begin Date, 2007-08-30
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, LYNS.cwu.nam14.pos
Offset from source file, 2.95 mm North, -12.56 mm East, 42.53 mm Vertical
Reference position, 64.4304805005 North Latitude, -40.1980528059 East Longitude, 174.04571 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-08-30,0.00, 0.00, 0.00, 2.4, 1.66, 8.32, repro,
2007-08-31,0.17, -2.58, 0.64, 2.33, 1.61, 8.36, repro,
2007-09-01,3.08, -1.78, -7.03, 2.52, 1.75, 9.11, repro,
2007-09-02,2.02, -1.69, -2.20, 2.6, 1.72, 8.86, repro,
2007-09-03,4.84, -4.76, -4.18, 2.34, 1.63, 8.25, repro,
2007-09-04,1.82, -1.68, 6.91, 2.33, 1.6, 8.25, repro,
2007-09-05,-0.80, -0.89, 10.05, 2.43, 1.67, 8.56, repro,
2007-09-06,2.04, -3.14, 1.56, 2.49, 1.76, 8.96, repro,
2007-09-07,1.63, -3.81, 8.81, 2.41, 1.64, 8.42, repro,
2007-09-08,3.47, -4.43, -4.70, 2.39, 1.65, 8.42, repro,
2007-09-09,2.67, -3.45, 3.44, 2.32, 1.6, 8.29, repro,
2007-09-10,0.59, -4.11, 8.70, 2.3, 1.59, 8.08, repro,
2007-09-11,5.08, -3.69, 0.78, 2.31, 1.58, 8.08, repro,
2007-09-12,4.30, -3.38, 3.47, 2.35, 1.61, 8.24, repro,
2007-09-13,4.54, -2.83, -3.15, 2.33, 1.61, 8.23, repro,
2007-09-14,2.33, -2.86, 4.08, 2.37, 1.62, 8.29, repro,
2007-09-15,1.18, -2.55, 6.80, 2.42, 1.65, 8.51, repro,
2007-09-16,3.36, -2.22, 1.57, 2.34, 1.59, 8.22, repro,
2007-09-17,4.08, -2.74, 7.79, 2.31, 1.6, 8.15, repro,
2007-09-18,5.17, -2.92, 7.52, 2.3, 1.58, 8.07, repro,
2007-09-19,4.59, -3.60, 1.11, 2.27, 1.54, 7.74, repro,
2007-09-20,3.00, -3.71, 7.23, 2.44, 1.64, 8.34, repro,
2007-09-21,4.30, -2.98, 3.15, 2.36, 1.59, 8.16, repro,
2007-09-22,3.16, -3.42, 5.29, 2.4, 1.62, 8.2, repro,
2007-09-23,4.45, -2.33, -0.68, 2.36, 1.59, 8.13, repro,
2007-09-24,6.01, -2.19, -5.67, 2.38, 1.63, 8.19, repro,
2007-09-25,2.13, -2.76, -3.35, 2.33, 1.57, 7.92, repro,
2007-09-26,3.35, -3.05, 8.29, 2.28, 1.54, 7.75, repro,
2007-09-27,2.33, -3.13, 8.04, 2.42, 1.65, 8.25, repro,
2007-09-28,3.28, -2.71, 4.35, 2.49, 1.65, 8.45, repro,
2007-09-29,1.73, -3.14, 0.05, 2.61, 1.76, 8.98, repro,
2007-09-30,2.77, -3.85, 5.37, 2.39, 1.62, 8.02, repro,
2007-10-01,-1.02, -3.38, 10.99, 2.35, 1.59, 8, repro,
2007-10-02,0.11, -4.11, 14.74, 2.5, 1.7, 8.82, repro,
2007-10-03,3.68, -4.18, -0.32, 2.43, 1.62, 8.06, repro,
2007-10-04,2.80, -5.70, -9.21, 2.32, 1.58, 7.85, repro,
2007-10-05,2.98, -3.09, -1.61, 2.37, 1.64, 8.44, repro,
2007-10-06,2.25, -5.30, -2.08, 2.4, 1.62, 8.35, repro,
2007-10-07,4.39, -4.37, -2.84, 2.36, 1.59, 8.22, repro,
2007-10-08,2.74, -3.59, -3.01, 2.53, 1.68, 9.1, repro,
2007-10-09,4.62, -3.57, -10.48, 2.51, 1.73, 9.11, repro,
2007-10-10,2.88, -3.03, -2.45, 2.44, 1.66, 8.7, repro,
2007-10-11,2.34, -4.21, 3.50, 2.29, 1.57, 8.07, repro,
