PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, NNVN
Station name, North_Niviarsiat
Begin Date, 2007-08-15
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, NNVN.cwu.nam14.pos
Offset from source file, 4.31 mm North, -10.64 mm East, 45.34 mm Vertical
Reference position, 61.6318758352 North Latitude, -44.9010658249 East Longitude, 2134.60705 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-08-15,0.00, 0.00, 0.00, 2.59, 1.72, 8.53, repro,
2007-08-16,1.05, -0.03, 4.70, 2.44, 1.66, 8.04, repro,
2007-08-17,1.57, -0.82, -0.26, 2.37, 1.6, 7.66, repro,
2007-08-18,0.94, 1.06, 6.35, 2.36, 1.6, 7.91, repro,
2007-08-19,0.70, 0.06, 7.29, 2.37, 1.6, 7.89, repro,
2007-08-20,-1.33, 0.14, 7.87, 2.34, 1.57, 7.59, repro,
2007-08-21,3.77, 0.46, 3.50, 2.35, 1.59, 7.73, repro,
2007-08-22,-0.23, -0.40, 6.65, 2.31, 1.58, 7.62, repro,
2007-08-23,-1.80, -2.11, 5.67, 2.28, 1.54, 7.4, repro,
2007-08-24,0.78, 0.55, 9.56, 2.37, 1.62, 7.95, repro,
2007-08-25,1.27, 1.15, 4.48, 2.35, 1.61, 7.95, repro,
2007-08-26,2.20, -0.06, 4.94, 2.43, 1.66, 8.26, repro,
2007-08-27,0.83, -0.47, 1.49, 2.47, 1.69, 8.3, repro,
2007-08-28,2.44, 0.76, 2.48, 2.28, 1.59, 7.72, repro,
2007-08-29,0.34, 0.20, 1.16, 2.32, 1.59, 7.83, repro,
2007-08-30,-0.20, 2.16, 7.02, 2.36, 1.64, 7.92, repro,
2007-08-31,0.71, 1.26, 9.24, 2.36, 1.63, 8.05, repro,
2007-09-01,1.23, 1.39, 2.95, 2.38, 1.64, 8.11, repro,
2007-09-02,1.02, 0.74, 5.29, 2.41, 1.65, 8.19, repro,
2007-09-03,1.55, 1.72, 8.39, 2.31, 1.59, 7.81, repro,
2007-09-04,-0.42, 1.82, 10.22, 2.31, 1.59, 7.83, repro,
2007-09-05,0.25, 0.74, 2.64, 2.38, 1.64, 8.02, repro,
2007-09-06,0.23, -0.02, -0.06, 2.41, 1.68, 8.19, repro,
2007-09-07,1.71, -1.05, 3.87, 2.4, 1.63, 8.06, repro,
2007-09-08,1.83, -0.76, 7.91, 2.35, 1.62, 7.97, repro,
2007-09-09,1.86, -1.17, 1.59, 2.36, 1.61, 8.03, repro,
2007-09-10,-2.90, 9.29, 15.91, 2.34, 1.6, 7.93, repro,
2007-09-11,1.70, 2.63, 2.27, 2.33, 1.59, 7.83, repro,
2007-09-12,3.56, 0.54, 0.20, 2.32, 1.6, 7.85, repro,
2007-09-13,3.81, 0.04, -1.14, 2.31, 1.57, 7.79, repro,
2007-09-14,3.30, -1.08, -0.93, 2.31, 1.58, 7.77, repro,
2007-09-15,2.56, -0.37, 3.91, 2.45, 1.65, 8.26, repro,
2007-09-16,3.25, 0.43, 0.62, 2.42, 1.65, 8.08, repro,
2007-09-17,0.70, 1.13, 7.50, 2.32, 1.59, 7.8, repro,
2007-09-18,-0.25, 13.51, 20.54, 2.31, 1.55, 7.77, repro,
2007-09-19,1.96, 11.59, 17.62, 2.29, 1.53, 7.41, repro,
2007-09-20,4.08, 7.19, 17.95, 2.33, 1.56, 7.57, repro,
2007-09-21,4.11, 5.42, 9.74, 2.35, 1.59, 7.69, repro,
2007-09-22,3.09, 3.65, 7.55, 2.36, 1.58, 7.68, repro,
