PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, NRSK
Station name, Norske_Oye      
Begin Date, 2008-07-08
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, NRSK.cwu.nam14.pos
Offset from source file, -0.68 mm North, -12.71 mm East, 30.11 mm Vertical
Reference position, 79.1550278264 North Latitude, -17.7254152493 East Longitude, 347.99217 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-07-08,0.00, 0.00, 0.00, 1.94, 1.58, 10.85, repro,
2008-07-09,0.50, 1.34, 0.28, 1.97, 1.63, 11.12, repro,
2008-07-10,1.35, 0.44, -10.54, 1.99, 1.66, 11.28, repro,
2008-07-11,-1.01, 1.63, -7.49, 2, 1.64, 11.37, repro,
2008-07-12,1.15, 1.96, -6.16, 2.04, 1.68, 11.76, repro,
2008-07-13,-0.90, 2.77, -5.66, 2.03, 1.71, 11.7, repro,
2008-07-14,-1.50, 2.44, -10.07, 2.05, 1.72, 11.73, repro,
2008-07-15,-1.65, 2.96, -2.85, 2.09, 1.77, 12.06, repro,
2008-07-16,0.38, 0.95, -2.27, 2.03, 1.69, 11.32, repro,
2008-07-17,-0.61, 0.49, 1.23, 1.99, 1.67, 11.21, repro,
2008-07-18,1.08, 1.33, -2.72, 2, 1.64, 11.22, repro,
2008-07-19,-0.42, 0.49, -5.85, 2.02, 1.64, 11.27, repro,
2008-07-20,0.87, 1.93, 3.74, 1.94, 1.59, 10.87, repro,
2008-07-21,0.38, 2.51, -4.78, 2.01, 1.63, 11.31, repro,
2008-07-22,-0.55, 1.96, -3.58, 2.05, 1.72, 11.76, repro,
2008-07-23,-1.97, 2.74, -6.64, 2.05, 1.71, 11.8, repro,
2008-07-24,-0.01, 0.99, 1.84, 2.01, 1.66, 11.37, repro,
2008-07-25,-0.05, 0.47, 0.96, 2.01, 1.67, 11.28, repro,
2008-07-26,-1.76, 1.12, -12.42, 2.01, 1.62, 11.27, repro,
2008-07-27,0.45, 1.08, -6.29, 2.08, 1.74, 11.58, repro,
2008-07-28,-0.12, -0.07, -6.10, 2.02, 1.69, 11.33, repro,
2008-07-29,0.48, 0.99, -12.30, 2.06, 1.68, 11.37, repro,
2008-07-30,0.27, 1.47, -12.77, 2.11, 1.74, 11.12, repro,
2008-07-31,-1.85, 1.03, -13.47, 1.99, 1.67, 11.15, repro,
2008-08-01,-1.26, 1.13, -5.10, 2, 1.62, 11.1, repro,
2008-08-02,-1.64, 0.07, -9.17, 1.92, 1.6, 10.79, repro,
2008-08-03,0.87, 0.01, -6.55, 2.02, 1.68, 11.33, repro,
2008-08-04,0.62, 0.09, -1.26, 2.05, 1.68, 10.94, repro,
2008-08-05,-1.23, 1.08, -10.76, 1.99, 1.65, 11, repro,
2008-08-06,-2.52, 1.17, -8.13, 2.01, 1.63, 11.22, repro,
2008-08-07,-2.05, 0.13, -7.34, 2.07, 1.72, 11.56, repro,
2008-08-08,-0.36, 1.74, -4.17, 2.01, 1.69, 11.25, repro,
2008-08-09,-1.77, 0.02, 3.46, 2.22, 1.81, 12.5, repro,
2008-08-10,-1.26, 0.48, -1.29, 2.07, 1.71, 11.95, repro,
2008-08-11,-0.98, 1.40, -8.20, 2.08, 1.72, 11.83, repro,
2008-08-12,-1.12, -0.08, -5.18, 2.12, 1.77, 11.94, repro,
2008-08-13,-2.40, 0.94, 2.42, 2.08, 1.74, 11.23, repro,
2008-08-14,-1.10, 2.16, 8.26, 1.97, 1.62, 11.13, repro,
2008-08-15,-0.59, 1.45, 5.70, 2.11, 1.75, 11.44, repro,
2008-08-16,-2.02, 2.05, 0.42, 1.97, 1.6, 11.04, repro,
2008-08-17,-2.61, 2.69, 3.22, 2.03, 1.66, 11.17, repro,
2008-08-18,-3.43, 0.46, 4.28, 2.09, 1.73, 11.68, repro,
2008-08-19,-2.33, 1.77, 2.30, 2.11, 1.72, 12.03, repro,
2008-08-20,-3.07, 1.17, 9.42, 2.05, 1.7, 11.52, repro,
2008-08-21,-0.80, 0.31, -3.02, 2.05, 1.66, 11.3, repro,
2008-08-22,-2.93, 1.44, 3.56, 2.08, 1.66, 11.63, repro,
2008-08-23,-2.95, 1.04, -1.30, 1.97, 1.6, 11.03, repro,
2008-08-24,-3.48, 0.45, -1.30, 2, 1.64, 11.09, repro,
2008-08-25,-0.43, 0.32, -0.37, 1.96, 1.63, 11.04, repro,
2008-08-26,-3.94, 0.58, 0.57, 1.96, 1.61, 11.02, repro,
2008-08-27,-1.52, -0.60, 0.29, 2, 1.63, 11.21, repro,
2008-08-28,-4.09, -1.54, 0.29, 2.1, 1.74, 11.94, repro,
2008-08-29,-3.37, -1.34, -2.59, 1.99, 1.65, 11.18, repro,
2008-08-30,-2.82, -0.13, -1.19, 1.98, 1.65, 11.17, repro,
2008-08-31,-0.71, 1.33, 1.95, 2, 1.68, 11.39, repro,
2008-09-01,-1.87, -0.37, 3.50, 2, 1.66, 11.32, repro,
2008-09-02,0.77, -1.79, 2.14, 2.06, 1.65, 11.71, repro,
2008-09-03,-0.42, -2.40, -4.22, 2.05, 1.71, 11.76, repro,
2008-09-04,-1.16, -0.50, 6.96, 2.14, 1.76, 12.04, repro,
2008-09-05,-0.67, 0.03, 7.68, 2.12, 1.73, 11.87, repro,
2008-09-06,-1.70, 0.67, -1.04, 2.16, 1.74, 12.08, repro,
2008-09-07,0.96, 3.95, 1.14, 2.19, 1.84, 11.86, repro,
2008-09-08,-1.07, 1.09, 0.16, 2.14, 1.7, 12.16, repro,
2008-09-09,-2.17, 0.19, 3.26, 2, 1.68, 11.42, repro,
2008-09-10,0.51, 1.47, 0.96, 2.01, 1.64, 11.3, repro,
2008-09-11,-1.49, 0.69, -2.41, 2.01, 1.66, 11.24, repro,
2008-09-12,-0.86, 0.00, -1.68, 2.01, 1.67, 11.32, repro,
2008-09-13,-0.18, 0.27, 3.54, 1.99, 1.64, 11.18, repro,
2008-09-14,-1.42, 1.59, 0.40, 2, 1.66, 11.33, repro,
2008-09-15,0.41, 3.79, 4.72, 2.06, 1.66, 11.69, repro,
2008-09-16,-4.55, -1.06, 0.56, 2.08, 1.71, 11.77, repro,
2008-09-17,-2.73, -0.94, -2.00, 2.07, 1.72, 11.66, repro,
2008-09-18,-13.73, -2.07, -2.22, 1.98, 1.61, 11.17, repro,
2008-09-19,-27.49, -6.10, -8.55, 2.07, 1.71, 11.78, repro,
2008-09-20,-22.84, -7.00, 13.77, 1.99, 1.64, 11.24, repro,
2008-09-21,-31.33, -5.54, -0.27, 2.03, 1.64, 11.34, repro,
2008-09-22,-29.63, -8.58, 13.18, 2.03, 1.65, 11.47, repro,
2008-09-23,-30.60, -5.84, 21.63, 2.06, 1.7, 11.77, repro,
2008-09-24,-31.34, -7.33, 17.85, 2.04, 1.67, 11.6, repro,
2008-09-25,-31.73, -6.63, 11.30, 2, 1.64, 11.34, repro,
2008-09-26,-31.44, -10.92, 12.26, 2.04, 1.67, 11.57, repro,
2008-09-27,-35.20, -13.33, 23.49, 2.03, 1.66, 11.48, repro,
2008-09-28,-33.32, -14.90, 23.24, 2.04, 1.67, 11.7, repro,
2008-09-29,-31.67, -12.68, 11.06, 2.03, 1.69, 11.54, repro,
2008-09-30,-30.72, -14.48, 21.74, 2.06, 1.7, 11.56, repro,
2008-10-01,-31.27, -13.99, 18.82, 2.11, 1.79, 12.19, repro,
2008-10-02,-30.59, -14.81, 9.36, 2.33, 1.84, 13.06, repro,
2008-10-03,-30.47, -15.65, 27.80, 2.11, 1.68, 11.98, repro,
2008-10-04,-33.91, -19.75, 12.16, 2.28, 1.78, 13.06, repro,
2008-10-05,-30.10, -21.25, 24.25, 2.1, 1.71, 12.13, repro,
2008-10-06,-31.76, -17.89, 26.76, 2.81, 2.38, 15.39, repro,
2008-10-07,-28.11, -19.84, 24.94, 2.08, 1.68, 11.77, repro,
2008-10-08,-27.95, -23.30, 13.11, 2.09, 1.66, 11.68, repro,
2008-10-09,-8.60, -5.94, -10.38, 1.95, 1.59, 10.88, repro,
2008-10-10,-0.54, 2.71, -7.36, 1.92, 1.6, 10.87, repro,
2008-10-11,-3.68, 1.48, -11.31, 1.98, 1.62, 10.98, repro,
2008-10-12,-1.71, 1.65, -7.64, 1.99, 1.64, 11.24, repro,
2008-10-13,-0.59, 1.77, -3.46, 1.97, 1.62, 11.26, repro,
2008-10-14,0.03, 0.84, -16.78, 2, 1.64, 11.36, repro,
2008-10-15,-0.05, 1.08, -2.85, 1.99, 1.65, 11.21, repro,
2008-10-16,1.21, 1.69, -3.03, 2.01, 1.65, 11.45, repro,
2008-10-17,0.62, 1.67, -11.28, 1.96, 1.62, 11.07, repro,
2008-10-18,-1.61, 2.32, -14.10, 1.98, 1.62, 11.07, repro,
2008-10-19,-1.04, -0.20, -11.80, 1.99, 1.59, 11.2, repro,
2008-10-20,-3.36, 0.63, -5.42, 1.95, 1.62, 10.98, repro,
2008-10-21,-1.60, 2.80, -8.66, 1.96, 1.59, 11.02, repro,
2008-10-22,-2.28, 0.38, -1.30, 2, 1.63, 11.28, repro,
2008-10-23,0.57, 2.57, -6.17, 1.97, 1.62, 11.02, repro,
2008-10-24,-0.82, 0.56, -0.69, 1.96, 1.59, 10.97, repro,
2008-10-25,-1.75, 0.19, -6.88, 1.94, 1.58, 10.84, repro,
2008-10-26,-2.05, -0.41, -11.74, 1.95, 1.59, 10.98, repro,
2008-10-27,-0.40, 0.13, -6.62, 1.94, 1.61, 10.91, repro,
2008-10-28,-1.75, 0.36, 0.07, 2.02, 1.66, 11.37, repro,
2008-10-29,0.33, 1.73, 0.43, 2.07, 1.75, 11.67, repro,
2008-10-30,0.49, 1.83, -8.77, 2.09, 1.71, 12.04, repro,
2008-10-31,1.14, 3.18, -4.17, 2.08, 1.7, 11.7, repro,
2008-11-01,-2.31, 2.79, -6.55, 1.96, 1.64, 11.1, repro,
2008-11-02,-3.13, 2.64, -6.98, 1.93, 1.58, 10.81, repro,
2008-11-03,-0.97, 2.51, 1.78, 2, 1.67, 11.18, repro,
2008-11-04,-1.04, 3.22, -6.47, 1.95, 1.58, 10.98, repro,
2008-11-05,0.36, 2.06, -11.34, 1.98, 1.62, 11.09, repro,
2008-11-06,0.88, 2.77, -5.49, 2, 1.6, 11.32, repro,
2008-11-07,1.10, 2.40, -1.18, 1.98, 1.62, 11.22, repro,
2008-11-08,1.51, 1.47, -2.31, 2.03, 1.66, 11.47, repro,
2008-11-09,-0.72, 2.41, -1.23, 2.08, 1.75, 11.87, repro,
2008-11-10,-0.63, 1.51, -2.70, 2.01, 1.65, 11.24, repro,
2008-11-11,0.35, 1.73, -6.00, 2, 1.63, 11.2, repro,
2008-11-12,-0.80, 1.77, -4.48, 2.05, 1.7, 11.51, repro,
2008-11-13,-2.17, 2.98, -6.70, 2.06, 1.66, 11.78, repro,
2008-11-14,-2.08, 1.65, -7.48, 2.03, 1.7, 11.52, repro,
2008-11-15,-0.80, 3.99, -8.25, 2.01, 1.66, 11.3, repro,
2008-11-16,-2.39, 1.27, -3.07, 2, 1.63, 11.22, repro,
2008-11-17,-0.07, 2.58, -6.18, 2.02, 1.7, 11.65, repro,
2008-11-18,-0.48, 2.22, -6.83, 2.03, 1.67, 11.46, repro,
2008-11-19,0.40, 2.12, -8.58, 1.98, 1.6, 11.07, repro,
2008-11-20,0.30, 2.27, -9.63, 2.01, 1.66, 11.47, repro,
2008-11-21,0.48, 3.45, -5.60, 2.07, 1.67, 11.76, repro,
2008-11-22,-0.48, 0.27, -4.66, 2, 1.65, 11.24, repro,
2008-11-23,-2.22, 1.84, -8.10, 2.09, 1.67, 11.79, repro,
2008-11-24,-0.30, 2.19, -0.06, 2.11, 1.72, 11.96, repro,
2008-11-25,0.07, 1.17, 0.53, 2.14, 1.76, 12.33, repro,
2008-11-26,-0.11, 1.32, 0.30, 2.15, 1.82, 12.15, repro,
2008-11-27,-1.47, 0.31, -10.31, 2.01, 1.67, 11.3, repro,
2008-11-28,-2.19, 0.08, -0.25, 2.1, 1.68, 11.83, repro,
2008-11-29,-1.21, 1.44, -4.91, 2.01, 1.65, 11.38, repro,
2008-11-30,-1.26, -0.03, -3.85, 1.99, 1.65, 11.12, repro,
2008-12-01,-0.67, -0.05, -7.25, 2.01, 1.67, 11.17, repro,
2008-12-02,1.42, 1.54, -2.49, 2.05, 1.67, 11.57, repro,
2008-12-03,2.35, 2.70, -4.50, 2.05, 1.68, 11.67, repro,
2008-12-04,1.86, 2.13, 0.18, 2.13, 1.73, 11.99, repro,
2008-12-05,0.80, 1.50, -0.59, 2.02, 1.66, 11.49, repro,
2008-12-06,0.56, 1.43, 5.16, 2.18, 1.82, 12.53, repro,
2008-12-07,-0.83, -0.23, -3.74, 2.09, 1.73, 11.88, repro,
2008-12-08,0.31, -0.18, -3.08, 2.04, 1.64, 11.44, repro,
2008-12-09,0.52, -1.66, 1.82, 2.04, 1.65, 11.51, repro,
2008-12-10,1.67, -0.06, 10.15, 2, 1.63, 11.12, repro,
2008-12-11,0.93, 0.28, -1.24, 2.04, 1.66, 11.71, repro,
2008-12-12,-1.30, -0.62, -0.66, 2.09, 1.69, 11.77, repro,
2008-12-13,-1.19, -0.32, -8.40, 1.97, 1.63, 11.36, repro,
2008-12-14,-0.55, -0.39, -5.98, 1.94, 1.6, 10.75, repro,
2008-12-15,1.94, 0.24, -1.96, 1.97, 1.65, 11.12, repro,
2008-12-16,-0.93, 1.30, -5.42, 1.97, 1.66, 11.14, repro,
2008-12-17,-2.66, 2.41, 0.74, 2.03, 1.64, 11.5, repro,
2008-12-18,2.05, 0.09, 7.61, 1.96, 1.62, 10.92, repro,
2008-12-19,0.62, 0.02, 9.87, 2.02, 1.64, 11.15, repro,
2008-12-20,0.43, -0.97, 12.42, 1.92, 1.59, 10.8, repro,
2008-12-21,-0.26, -0.40, -0.29, 1.93, 1.61, 10.9, repro,
2008-12-22,0.96, 1.29, -4.60, 1.98, 1.65, 11.07, repro,
2008-12-23,0.38, -1.17, -7.92, 2.02, 1.68, 11.49, repro,
2008-12-24,1.21, 0.08, 1.83, 2.02, 1.65, 11.4, repro,
2008-12-25,0.77, 2.79, -5.20, 1.94, 1.63, 10.9, repro,
2008-12-26,-0.35, 0.85, -7.09, 1.92, 1.6, 10.8, repro,
2008-12-27,1.50, -0.58, -6.56, 1.94, 1.6, 10.93, repro,
2008-12-28,3.09, -0.28, -10.82, 1.96, 1.59, 10.92, repro,
2008-12-29,-0.37, 1.00, -8.61, 1.95, 1.6, 10.96, repro,
2008-12-30,-0.23, -0.07, -10.31, 1.95, 1.6, 10.97, repro,
2008-12-31,-1.99, 0.43, -14.76, 2, 1.64, 11.23, repro,
2009-01-01,-1.19, -1.55, -15.66, 2, 1.64, 11.32, repro,
2009-01-02,-0.33, -0.88, -5.90, 2.05, 1.65, 11.51, repro,
2009-01-03,-1.83, 0.29, -7.37, 1.97, 1.61, 11.03, repro,
2009-01-04,-3.16, -0.76, -2.91, 2.03, 1.64, 11.49, repro,
2009-01-05,-1.45, -0.36, -4.20, 2.06, 1.69, 11.62, repro,
2009-01-06,-0.46, 0.13, -10.76, 1.98, 1.64, 11.18, repro,
2009-01-07,0.87, 0.41, 1.13, 1.98, 1.63, 11.2, repro,
2009-01-08,0.66, 2.47, -3.00, 2.02, 1.63, 11.39, repro,
2009-01-09,0.43, 1.57, -7.51, 2.19, 1.74, 12.32, repro,
2009-01-10,0.37, 2.65, 0.88, 2, 1.63, 11.29, repro,
2009-01-11,-0.66, 2.30, 0.40, 1.99, 1.63, 11.17, repro,
2009-01-12,1.77, 1.81, -6.02, 2.31, 1.83, 12.81, repro,
2009-01-13,-0.37, 1.62, -5.17, 2.08, 1.67, 11.77, repro,
2009-01-14,2.10, 3.40, -4.79, 2.1, 1.68, 11.92, repro,
2009-01-15,-1.00, 4.51, -9.04, 2.05, 1.66, 11.45, repro,
2009-01-16,1.39, 2.90, -2.22, 2.03, 1.65, 11.28, repro,
2009-01-17,-0.71, 2.84, -6.63, 2.07, 1.71, 11.83, repro,
2009-01-18,0.90, 1.51, -3.56, 2.18, 1.78, 12.07, repro,
2009-01-19,1.44, 2.21, -7.04, 2.11, 1.73, 11.62, repro,
2009-01-20,0.29, 3.37, -6.88, 2.02, 1.67, 11.3, repro,
2009-01-21,3.87, 1.86, -3.72, 2.19, 1.79, 12.27, repro,
2009-01-22,4.90, 1.90, 0.32, 2.08, 1.69, 11.66, repro,
2009-01-23,2.09, 0.54, -3.30, 2.01, 1.63, 11.23, repro,
2009-01-24,1.89, -1.16, 1.93, 2.05, 1.66, 11.63, repro,
2009-01-25,-0.31, -0.54, 1.78, 2.06, 1.66, 11.54, repro,
2009-01-26,1.74, 1.35, 0.69, 2.02, 1.66, 11.63, repro,
