PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, PLPK
Station name, Pilappik        
Begin Date, 2007-08-12
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, PLPK.cwu.nam14.pos
Offset from source file, -3.77 mm North, -12.51 mm East, 67.18 mm Vertical
Reference position, 66.8977270212 North Latitude, -34.033459942 East Longitude, 122.30341 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-08-12,0.00, 0.00, 0.00, 2.24, 1.55, 8.02, repro,
2007-08-13,-0.09, 0.17, 5.58, 2.19, 1.54, 7.98, repro,
2007-08-14,0.80, 0.39, 1.03, 2.34, 1.66, 8.58, repro,
2007-08-15,-1.90, -1.17, 6.37, 2.45, 1.77, 9.32, repro,
2007-08-16,-0.15, -0.49, 5.80, 2.44, 1.7, 8.95, repro,
2007-08-17,0.12, -0.16, 6.59, 2.34, 1.63, 8.4, repro,
2007-08-18,-0.47, 1.26, 6.83, 2.29, 1.59, 8.62, repro,
2007-08-19,0.84, 0.47, 9.10, 2.29, 1.6, 8.61, repro,
2007-08-20,-0.57, 0.38, 7.69, 2.24, 1.58, 8.21, repro,
2007-08-21,1.74, 1.10, 5.84, 2.25, 1.59, 8.31, repro,
2007-08-22,-0.91, -0.57, 10.82, 2.24, 1.57, 8.37, repro,
2007-08-23,-2.38, -1.10, 2.71, 2.18, 1.53, 7.96, repro,
2007-08-24,0.14, 0.38, 10.53, 2.32, 1.62, 8.53, repro,
2007-08-25,1.57, -0.49, 5.06, 2.34, 1.68, 8.7, repro,
2007-08-26,0.41, -0.59, 3.83, 2.34, 1.66, 9.18, repro,
2007-08-27,-1.67, -1.89, 5.58, 2.58, 1.78, 9.46, repro,
2007-08-28,1.11, 0.49, 1.53, 2.3, 1.63, 8.53, repro,
2007-08-29,3.87, -0.67, 8.33, 2.36, 1.66, 8.86, repro,
2007-08-30,-1.99, 1.51, 7.47, 2.39, 1.68, 8.64, repro,
2007-08-31,-2.36, -0.54, 10.78, 2.3, 1.61, 8.63, repro,
2007-09-01,-1.39, 1.13, 5.84, 2.41, 1.7, 9.25, repro,
2007-09-02,-0.97, 0.91, 4.44, 2.55, 1.76, 9.42, repro,
2007-09-03,1.62, 0.93, 2.60, 2.33, 1.65, 8.67, repro,
2007-09-04,-0.76, -0.71, 11.73, 2.31, 1.58, 8.46, repro,
2007-09-05,-1.11, 0.19, 8.75, 2.34, 1.64, 8.56, repro,
2007-09-06,-1.70, -0.29, 6.12, 2.57, 1.8, 9.27, repro,
2007-09-07,-0.46, -0.90, 12.52, 2.29, 1.62, 8.65, repro,
2007-09-08,0.59, -1.21, 5.21, 2.36, 1.68, 8.86, repro,
2007-09-09,-1.31, 0.07, 4.90, 2.3, 1.59, 8.67, repro,
2007-09-10,-2.48, -0.61, 10.75, 2.29, 1.59, 8.47, repro,
2007-09-11,-1.81, -0.51, 12.05, 2.31, 1.61, 8.58, repro,
2007-09-12,0.44, 0.25, 6.15, 2.32, 1.63, 8.57, repro,
2007-09-13,0.54, -0.15, 7.48, 2.26, 1.59, 8.4, repro,
2007-09-14,-0.55, -0.64, 9.97, 2.34, 1.65, 8.89, repro,
2007-09-15,-1.02, -0.73, 10.96, 2.34, 1.61, 8.67, repro,
2007-09-16,-1.03, 0.91, 7.12, 2.34, 1.62, 8.65, repro,
2007-09-17,-2.40, 2.48, 14.54, 2.28, 1.61, 8.55, repro,
2007-09-18,-1.21, 0.63, 10.78, 2.25, 1.58, 8.39, repro,
2007-09-19,1.08, -1.09, 14.56, 2.2, 1.57, 7.96, repro,
2007-09-20,0.77, -0.27, 12.98, 2.34, 1.63, 8.62, repro,
2007-09-21,0.33, 0.25, 5.62, 2.28, 1.59, 8.27, repro,
2007-09-22,-0.58, -0.87, 8.35, 2.43, 1.71, 8.65, repro,
2007-09-23,-0.60, 0.58, 6.19, 2.31, 1.6, 8.3, repro,
2007-09-24,2.16, 1.01, 4.90, 2.38, 1.63, 8.49, repro,
2007-09-25,-2.48, 0.29, -0.38, 2.27, 1.58, 8.29, repro,
2007-09-26,-0.45, 0.14, 18.91, 2.28, 1.58, 8.49, repro,
2007-09-27,-2.35, 0.41, 9.12, 2.33, 1.63, 8.31, repro,
2007-09-28,-2.67, 0.65, 6.97, 2.33, 1.63, 8.54, repro,
2007-09-29,-0.86, -0.45, 7.11, 2.94, 1.93, 10.71, repro,
2007-09-30,-1.63, -0.79, 9.06, 2.38, 1.64, 8.55, repro,
2007-10-01,-1.40, -0.70, 9.28, 2.3, 1.59, 8.33, repro,
2007-10-02,-4.10, -1.56, 14.09, 2.31, 1.61, 8.7, repro,
2007-10-03,-2.24, 0.08, 23.24, 2.64, 1.8, 9.55, repro,
2007-10-04,-1.50, -1.42, 3.09, 2.25, 1.58, 8.15, repro,
2007-10-05,-1.03, -1.09, 3.37, 2.34, 1.64, 8.54, repro,
2007-10-06,-1.83, -1.96, 4.22, 2.35, 1.63, 8.85, repro,
2007-10-07,1.45, -1.39, 6.61, 2.23, 1.56, 8.13, repro,
2007-10-08,-1.33, -0.77, 5.36, 2.48, 1.69, 9.65, repro,
2007-10-09,1.54, -0.38, -3.79, 2.41, 1.71, 8.94, repro,
2007-10-10,0.39, -0.85, 4.90, 2.39, 1.65, 9.03, repro,
2007-10-11,-1.33, -1.76, 9.30, 2.26, 1.59, 8.58, repro,
2007-10-12,-0.34, -1.52, 9.09, 2.3, 1.62, 8.36, repro,
2007-10-13,-1.27, 0.08, 10.43, 2.23, 1.55, 8.17, repro,
2007-10-14,-2.90, -1.99, 14.40, 2.23, 1.58, 8.23, repro,
2007-10-15,-5.71, -1.00, 14.03, 2.24, 1.57, 8.2, repro,
2007-10-16,-3.19, -1.78, 10.68, 2.45, 1.72, 8.67, repro,
2007-10-17,-3.75, -1.64, 6.51, 2.24, 1.55, 8.22, repro,
2007-10-18,-1.96, -2.09, 15.45, 2.4, 1.68, 8.97, repro,
2007-10-19,-2.38, -1.13, 15.30, 2.51, 1.77, 9.27, repro,
2007-10-20,-0.52, -0.34, 14.65, 2.35, 1.68, 8.54, repro,
2007-10-21,-2.95, 0.15, 15.77, 2.24, 1.6, 8.18, repro,
2007-10-22,-3.04, 0.88, 14.94, 2.29, 1.61, 8.33, repro,
2007-10-23,2.83, 0.02, 20.90, 2.29, 1.63, 8.69, repro,
2007-10-24,-0.90, 1.58, 18.73, 2.32, 1.63, 8.72, repro,
2007-10-25,-2.07, 2.57, 17.47, 2.36, 1.68, 8.79, repro,
2007-10-26,0.23, 3.58, 13.11, 2.57, 1.78, 9.03, repro,
2007-10-27,-0.71, 1.36, 16.34, 2.32, 1.64, 8.51, repro,
2007-10-28,-0.01, 2.95, 10.31, 2.27, 1.58, 8.27, repro,
2007-10-29,-0.92, 2.29, 12.90, 2.34, 1.65, 8.63, repro,
2007-10-30,-1.14, 1.33, 9.89, 2.3, 1.63, 8.29, repro,
2007-10-31,-2.20, 0.92, 6.60, 2.23, 1.6, 8.17, repro,
2007-11-01,1.25, 0.97, 4.60, 2.25, 1.57, 8.13, repro,
2007-11-02,-0.72, 0.85, 5.98, 2.2, 1.55, 7.97, repro,
2007-11-03,1.76, 1.26, 7.89, 2.22, 1.57, 8.1, repro,
2007-11-04,2.34, -1.35, 1.06, 2.2, 1.55, 7.97, repro,
2007-11-05,1.12, 0.16, 0.88, 2.17, 1.52, 7.88, repro,
2007-11-06,-2.29, 1.13, 11.12, 2.22, 1.56, 8.08, repro,
2007-11-07,-0.15, -0.20, 9.01, 2.23, 1.55, 7.99, repro,
2007-11-08,-1.05, 0.69, 7.69, 2.22, 1.57, 8.17, repro,
2007-11-09,-0.64, 0.65, 9.74, 2.28, 1.6, 8.39, repro,
2007-11-10,-0.94, -0.67, 6.91, 2.18, 1.53, 7.93, repro,
2007-11-11,0.50, 0.69, 10.44, 2.24, 1.58, 8.14, repro,
2007-11-12,-0.58, 0.80, 10.66, 2.21, 1.57, 8.03, repro,
2007-11-13,-0.50, -0.73, 7.33, 2.29, 1.61, 8.19, repro,
2007-11-14,-1.18, 0.18, 10.19, 2.34, 1.65, 8.44, repro,
2007-11-15,0.07, 0.11, 12.85, 2.42, 1.71, 8.96, repro,
2007-11-16,-1.64, 0.50, 12.66, 2.27, 1.63, 8.3, repro,
2007-11-17,-1.05, 0.51, 7.05, 2.21, 1.53, 7.91, repro,
2007-11-18,-0.42, -2.39, 8.01, 2.23, 1.56, 8.04, repro,
2007-11-19,-0.41, 0.16, 7.94, 2.28, 1.61, 8.12, repro,
2007-11-20,-2.61, 0.09, 16.67, 2.67, 1.86, 9.42, repro,
2007-11-21,-4.09, -0.65, 10.74, 2.33, 1.68, 8.62, repro,
2007-11-22,-0.03, 1.92, 8.51, 2.57, 1.72, 9.26, repro,
2007-11-23,0.33, 1.90, 8.27, 2.35, 1.66, 8.39, repro,
2007-11-24,-1.62, 1.20, 8.71, 2.44, 1.69, 8.87, repro,
2007-11-25,-2.26, 2.01, 7.30, 2.29, 1.61, 8.46, repro,
2007-11-26,0.12, 3.26, 14.17, 2.31, 1.62, 8.21, repro,
2007-11-27,-1.39, 1.23, 12.94, 2.34, 1.65, 8.51, repro,
2007-11-28,-0.62, 1.94, 8.43, 2.33, 1.63, 8.55, repro,
2007-11-29,-1.00, 1.99, 7.19, 2.26, 1.6, 8.11, repro,
2007-11-30,-0.38, -0.47, 2.33, 2.36, 1.69, 8.62, repro,
2007-12-01,0.05, 0.43, -1.67, 2.32, 1.64, 8.55, repro,
2007-12-02,-0.83, 0.84, 3.74, 2.26, 1.6, 8.09, repro,
2007-12-03,-1.60, -0.14, 7.00, 2.33, 1.63, 8.11, repro,
2007-12-04,-1.78, 2.24, 15.10, 2.29, 1.6, 8.39, repro,
2007-12-05,-2.85, 2.84, 18.89, 2.34, 1.64, 8.61, repro,
2007-12-06,-0.06, 1.57, 11.21, 2.31, 1.63, 8.35, repro,
2007-12-07,-4.21, 0.87, 11.15, 2.38, 1.72, 8.79, repro,
2007-12-08,-1.45, 1.05, 9.44, 2.28, 1.6, 8.32, repro,
2007-12-09,-0.85, 1.57, 7.72, 2.41, 1.76, 9.07, repro,
2007-12-10,0.36, 1.19, 2.82, 2.4, 1.71, 8.82, repro,
2007-12-11,-1.23, 1.22, 12.31, 2.47, 1.74, 8.76, repro,
2007-12-12,-1.47, -0.37, 7.86, 2.5, 1.79, 9.13, repro,
