PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, QAAR
Station name, Quaarsuut       
Begin Date, 2007-08-29
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, QAAR.cwu.nam14.pos
Offset from source file, -3.21 mm North, -10.66 mm East, 38.61 mm Vertical
Reference position, 70.7404055014 North Latitude, -52.6883734313 East Longitude, 53.04463 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-08-29,0.00, 0.00, 0.00, 3.39, 2.35, 13.85, repro,
2007-08-30,-0.25, 2.07, -14.48, 2.27, 1.64, 9.37, repro,
2007-08-31,-1.80, 1.80, -12.33, 2.29, 1.61, 9.33, repro,
2007-09-01,-1.15, 3.39, -21.01, 2.33, 1.62, 9.54, repro,
2007-09-02,0.55, 3.01, -11.65, 2.53, 1.72, 10.17, repro,
2007-09-03,1.10, 1.65, -9.89, 2.48, 1.8, 10.69, repro,
2007-09-04,0.52, 1.87, -0.22, 2.25, 1.6, 9.45, repro,
2007-09-05,-1.21, 1.41, -11.99, 2.48, 1.77, 10.36, repro,
2007-09-06,-0.96, 1.99, -14.81, 2.3, 1.6, 9.52, repro,
2007-09-07,-0.35, 1.15, -12.12, 2.46, 1.7, 9.98, repro,
2007-09-08,0.79, 0.10, -7.06, 2.37, 1.71, 9.75, repro,
2007-09-09,-0.34, 1.62, -15.03, 2.22, 1.56, 9.13, repro,
2007-09-10,-0.19, 0.93, -2.94, 2.21, 1.57, 9.06, repro,
2007-09-11,0.86, 1.11, -7.84, 2.3, 1.67, 9.8, repro,
2007-09-12,5.70, 2.11, 7.39, 2.24, 1.56, 9.2, repro,
2007-09-13,1.40, 2.73, -7.97, 2.16, 1.54, 8.9, repro,
2007-09-14,-0.16, 1.94, -6.51, 2.2, 1.55, 9.02, repro,
2007-09-15,-0.57, 2.41, -7.66, 2.27, 1.59, 9.44, repro,
2007-09-16,2.30, 2.09, -5.93, 2.19, 1.55, 9, repro,
2007-09-17,0.71, -0.41, -3.77, 2.22, 1.56, 9.16, repro,
2007-09-18,0.87, 1.09, -1.91, 2.19, 1.52, 9.01, repro,
2007-09-19,-0.28, -0.08, -8.09, 2.14, 1.51, 8.71, repro,
2007-09-20,0.32, 0.99, -7.56, 2.17, 1.54, 8.74, repro,
2007-09-21,2.06, 0.57, -12.22, 2.23, 1.58, 9, repro,
2007-09-22,0.23, 1.14, -11.58, 2.4, 1.75, 9.53, repro,
2007-09-23,0.41, 1.70, -11.53, 2.43, 1.72, 9.82, repro,
2007-09-24,2.04, 1.35, -14.70, 2.42, 1.78, 9.83, repro,
2007-09-25,0.37, 2.53, -8.09, 2.28, 1.62, 9.01, repro,
2007-09-26,0.13, 0.20, -3.92, 2.14, 1.5, 8.66, repro,
2007-09-27,-0.13, 1.45, -11.72, 2.24, 1.57, 8.96, repro,
2007-09-28,0.47, -0.02, -6.71, 2.52, 1.69, 9.8, repro,
2007-09-29,0.51, 1.56, -7.54, 2.56, 1.81, 10.26, repro,
2007-09-30,-0.12, 0.20, -4.77, 2.39, 1.66, 9.88, repro,
2007-10-01,-0.10, 0.39, -9.72, 2.91, 1.93, 11.68, repro,
2007-10-02,-2.85, 0.27, -3.77, 2.28, 1.6, 9.31, repro,
2007-10-03,-0.21, 1.31, -14.99, 2.7, 1.84, 10.62, repro,
2007-10-04,0.01, 1.81, -16.31, 2.63, 1.79, 10.95, repro,
2007-10-05,1.77, 1.65, 1.71, 2.28, 1.59, 9.27, repro,
2007-10-06,-1.53, -0.90, -16.90, 2.22, 1.59, 8.97, repro,
2007-10-07,1.20, 0.34, -10.23, 2.22, 1.53, 8.99, repro,
2007-10-08,-1.04, 1.68, -18.68, 2.38, 1.6, 9.64, repro,
2007-10-09,1.23, 1.59, -17.57, 2.5, 1.72, 10.01, repro,
2007-10-10,1.55, 1.07, -7.20, 2.33, 1.71, 9.92, repro,
2007-10-11,-1.86, -0.50, -11.37, 2.2, 1.54, 8.98, repro,
2007-10-12,-0.31, -1.30, -10.51, 2.32, 1.63, 9.22, repro,
2007-10-13,0.90, 2.09, -6.73, 2.19, 1.51, 8.79, repro,
2007-10-14,-1.55, 1.38, -4.83, 2.36, 1.59, 9.55, repro,
2007-10-15,-3.70, 1.57, -11.06, 2.31, 1.63, 9.08, repro,
2007-10-16,0.28, 0.56, -4.10, 2.31, 1.61, 9.32, repro,
2007-10-17,-3.52, 0.26, -15.03, 2.19, 1.52, 8.85, repro,
2007-10-18,-1.01, -0.21, -6.73, 2.38, 1.63, 9.5, repro,
2007-10-19,1.30, -0.03, 5.84, 2.62, 1.9, 10.95, repro,
2007-10-20,1.57, 0.06, -2.21, 2.46, 1.69, 9.95, repro,
2007-10-21,-0.69, 0.89, -7.81, 2.25, 1.57, 9.16, repro,
2007-10-22,-1.30, 0.98, -3.49, 2.22, 1.58, 9.07, repro,
2007-10-23,2.07, -0.56, 2.63, 2.31, 1.63, 9.47, repro,
2007-10-24,1.46, 2.05, -2.74, 2.28, 1.6, 9.43, repro,
2007-10-25,-0.02, 2.35, -9.51, 2.37, 1.7, 9.69, repro,
2007-10-26,2.01, 1.05, -12.38, 2.62, 1.93, 10.87, repro,
2007-10-27,0.34, 0.96, -7.22, 2.35, 1.68, 9.6, repro,
2007-10-28,3.48, 1.59, -0.54, 2.34, 1.65, 9.53, repro,
2007-10-29,1.63, 2.17, -6.62, 2.4, 1.68, 9.84, repro,
2007-10-30,0.23, 1.66, -13.31, 2.32, 1.64, 9.49, repro,
2007-10-31,1.30, 0.95, -9.59, 2.2, 1.56, 9.03, repro,
2007-11-01,1.65, 1.32, -12.33, 2.26, 1.57, 8.95, repro,
2007-11-02,0.78, 0.35, -12.80, 2.16, 1.5, 8.67, repro,
2007-11-03,0.67, 0.80, -10.60, 2.18, 1.52, 8.72, repro,
2007-11-04,1.93, 0.97, -7.46, 2.2, 1.57, 8.99, repro,
2007-11-05,2.76, 0.36, -7.28, 2.15, 1.5, 8.62, repro,
2007-11-06,1.23, -0.60, -10.40, 2.23, 1.59, 8.94, repro,
2007-11-07,0.37, 0.03, -17.82, 2.13, 1.49, 8.46, repro,
2007-11-08,-1.19, 1.61, -19.98, 2.18, 1.53, 8.88, repro,
2007-11-09,-0.30, 1.58, -8.10, 2.24, 1.57, 8.97, repro,
2007-11-10,-2.40, 2.33, -14.84, 2.26, 1.57, 9.02, repro,
2007-11-11,-0.94, 1.06, -11.57, 2.17, 1.52, 8.75, repro,
2007-11-12,0.10, 1.54, -8.11, 2.13, 1.51, 8.53, repro,
2007-11-13,-0.05, -0.87, 0.75, 2.41, 1.73, 10.24, repro,
2007-11-14,0.15, 0.83, -8.72, 2.51, 1.82, 10.03, repro,
2007-11-15,-0.66, 0.37, -7.52, 2.58, 1.95, 10.44, repro,
2007-11-16,-2.98, 2.24, -7.38, 7.62, 4.34, 31.24, repro,
2007-11-21,-7.08, 0.52, -29.05, 3.63, 2.89, 15.56, repro,
2007-11-22,-8.81, -2.26, -28.13, 2.41, 1.68, 9.84, repro,
2007-11-23,2.08, 1.17, -5.83, 2.52, 1.79, 9.78, repro,
2007-11-24,-2.66, 0.86, -15.79, 2.55, 1.74, 10.08, repro,
2007-11-25,0.19, 2.04, -5.21, 2.6, 1.8, 10.32, repro,
2007-11-26,-0.73, 1.32, -4.32, 2.48, 1.78, 10.15, repro,
2007-11-27,-0.95, 0.82, -6.53, 2.29, 1.62, 9.25, repro,
2007-11-28,-1.21, 2.22, -12.94, 2.36, 1.65, 9.24, repro,
2007-11-29,-0.01, 0.38, -7.35, 2.33, 1.67, 9.26, repro,
2007-11-30,0.95, 0.33, -10.36, 2.34, 1.66, 9.35, repro,
2007-12-01,-0.15, 0.58, -19.84, 2.32, 1.63, 9.25, repro,
2007-12-02,0.91, 1.67, -17.48, 2.24, 1.58, 9.02, repro,
2007-12-03,-0.48, 0.15, -12.37, 2.25, 1.6, 9.02, repro,
2007-12-04,-0.97, 1.43, -7.12, 2.19, 1.55, 8.78, repro,
2007-12-05,0.91, 0.51, 0.52, 2.22, 1.56, 8.92, repro,
2007-12-06,-1.36, 0.29, -5.11, 4.67, 3.32, 17.22, repro,
2007-12-07,-0.26, -1.55, -8.82, 3.22, 2.29, 13.44, repro,
2007-12-08,-1.19, -0.65, -16.62, 2.25, 1.6, 9.05, repro,
2007-12-09,-0.11, -2.21, -6.37, 7.32, 5.38, 28.17, repro,
2007-12-11,-0.34, -0.36, -12.84, 4.36, 3.23, 19, repro,
2007-12-12,-1.73, 0.11, -20.45, 2.5, 1.86, 9.94, repro,
2007-12-13,-0.88, -0.04, -7.16, 2.54, 1.78, 10.36, repro,
2007-12-14,-0.77, 1.75, -5.25, 2.33, 1.67, 9.48, repro,
2007-12-15,0.10, -0.30, -2.11, 2.31, 1.65, 9.29, repro,
2007-12-16,-0.39, 0.65, -9.02, 2.31, 1.67, 9.45, repro,
2007-12-17,-0.37, 1.15, -15.12, 2.49, 1.81, 10.08, repro,
2007-12-18,1.75, -0.36, -10.29, 2.65, 1.92, 10.5, repro,
2007-12-19,-1.79, 0.64, -8.93, 2.49, 1.81, 10.28, repro,
2007-12-20,-3.47, -1.02, -18.60, 2.55, 1.86, 10.46, repro,
2007-12-21,0.10, -0.37, -12.60, 2.5, 1.86, 9.79, repro,
2007-12-22,-1.04, -1.42, -8.50, 2.35, 1.7, 9.65, repro,
2007-12-23,-1.87, 0.16, -5.08, 2.36, 1.7, 9.42, repro,
2007-12-24,-1.19, -0.83, -5.31, 2.24, 1.59, 9.03, repro,
2007-12-25,0.17, -0.01, 3.94, 2.24, 1.59, 9.02, repro,
2007-12-26,-1.10, -1.18, -6.05, 2.25, 1.56, 8.96, repro,
2007-12-27,-0.25, -0.26, -5.20, 2.28, 1.61, 9.1, repro,
2007-12-28,-3.22, -0.69, -9.59, 2.32, 1.61, 9.15, repro,
2007-12-29,-2.28, 0.33, -17.27, 2.23, 1.57, 8.86, repro,
2007-12-30,-1.80, -0.57, -13.06, 2.3, 1.6, 9.19, repro,
2007-12-31,1.20, -0.74, -14.43, 2.18, 1.55, 8.83, repro,
2008-01-01,1.53, -0.37, -9.62, 2.17, 1.55, 8.8, repro,
2008-01-02,1.42, 0.76, -10.35, 2.17, 1.54, 8.68, repro,
2008-01-03,-0.21, 1.41, -6.92, 2.13, 1.51, 8.66, repro,
