PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, RINK
Station name, Rinks_Isbr      
Begin Date, 2007-08-31
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, RINK.cwu.nam14.pos
Offset from source file, 7.64 mm North, 3.29 mm East, 50.84 mm Vertical
Reference position, 71.8484998328 North Latitude, -50.9939623024 East Longitude, 1337.86374 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-08-31,0.00, 0.00, 0.00, 2.34, 1.69, 9.92, repro,
2007-09-01,1.60, 0.62, -3.19, 2.22, 1.62, 9.42, repro,
2007-09-02,3.23, 1.46, -4.04, 2.41, 1.73, 10.25, repro,
2007-09-03,5.34, 0.76, -1.40, 2.52, 1.85, 11.29, repro,
2007-09-04,3.24, 0.27, 1.04, 2.2, 1.56, 9.34, repro,
2007-09-05,1.67, 0.40, -5.69, 2.35, 1.7, 9.99, repro,
2007-09-06,1.68, 0.81, -8.29, 2.29, 1.63, 9.63, repro,
2007-09-07,2.26, -1.24, 3.26, 2.34, 1.7, 9.91, repro,
2007-09-08,3.30, -0.39, -3.26, 2.28, 1.67, 9.86, repro,
2007-09-09,1.74, 1.17, -2.53, 2.2, 1.57, 9.29, repro,
2007-09-10,2.41, 0.86, 3.03, 2.21, 1.59, 9.22, repro,
2007-09-11,2.16, 0.22, -6.00, 2.23, 1.66, 9.57, repro,
2007-09-12,2.81, 0.37, -2.68, 2.15, 1.56, 9.25, repro,
2007-09-13,3.36, 1.07, -7.03, 2.15, 1.53, 9.06, repro,
2007-09-14,3.32, 0.29, -6.66, 2.17, 1.55, 9.1, repro,
2007-09-15,2.32, 1.35, -5.54, 2.23, 1.57, 9.5, repro,
2007-09-16,3.80, 0.39, -6.96, 2.17, 1.56, 9.2, repro,
2007-09-17,3.93, -0.35, -1.65, 2.19, 1.56, 9.17, repro,
2007-09-18,1.85, 0.26, 0.75, 2.15, 1.52, 9.09, repro,
2007-09-19,2.22, -1.42, 0.65, 2.11, 1.51, 8.79, repro,
2007-09-20,3.12, -0.33, 2.33, 2.15, 1.54, 8.86, repro,
2007-09-21,5.07, -0.31, -5.79, 2.22, 1.59, 9.06, repro,
2007-09-22,2.57, 0.73, -5.54, 2.28, 1.68, 9.95, repro,
2007-09-23,4.65, 1.13, -8.20, 2.4, 1.74, 10.12, repro,
2007-09-24,4.95, 0.77, -8.03, 2.38, 1.73, 9.86, repro,
2007-09-25,3.04, 1.92, -4.37, 2.3, 1.67, 9.4, repro,
2007-09-26,3.57, 0.12, 9.12, 2.1, 1.5, 8.76, repro,
2007-09-27,2.05, 0.82, -0.86, 2.14, 1.56, 8.94, repro,
2007-09-28,2.79, -0.57, -3.58, 2.36, 1.68, 10.04, repro,
2007-09-29,2.38, -0.79, -5.53, 2.47, 1.74, 10.6, repro,
2007-09-30,2.29, -0.26, -5.68, 2.39, 1.68, 10.1, repro,
2007-10-01,1.36, -1.46, -0.98, 2.36, 1.71, 9.89, repro,
2007-10-02,-0.69, -0.68, 6.64, 2.28, 1.64, 9.61, repro,
2007-10-03,1.46, 0.04, -1.88, 2.48, 1.83, 10.83, repro,
2007-10-04,1.47, 0.41, -11.68, 2.34, 1.64, 9.75, repro,
2007-10-05,1.90, 0.62, -12.86, 2.29, 1.61, 9.33, repro,
2007-10-06,0.81, 0.25, -7.13, 2.2, 1.6, 9.31, repro,
2007-10-07,4.19, 0.33, -6.77, 2.23, 1.58, 9.4, repro,
2007-10-08,1.14, 0.56, -16.89, 2.31, 1.62, 9.78, repro,
