PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, SCBY
Station name, Kap_Schoubye    
Begin Date, 2007-09-09
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, SCBY.cwu.nam14.pos
Offset from source file, -13.45 mm North, -10.28 mm East, 59.61 mm Vertical
Reference position, 80.2601326276 North Latitude, -59.5936167194 East Longitude, 544.37109 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-09-09,0.00, 0.00, 0.00, 2.02, 1.62, 12.23, repro,
2007-09-10,-1.05, 0.48, -0.98, 1.9, 1.55, 11.63, repro,
2007-09-11,0.74, -1.11, -2.80, 1.92, 1.55, 11.7, repro,
2007-09-12,0.74, -1.16, -2.59, 1.9, 1.55, 11.56, repro,
2007-09-13,0.42, -0.02, -1.18, 1.88, 1.55, 11.48, repro,
2007-09-14,-0.98, -0.22, -4.99, 1.94, 1.54, 11.67, repro,
2007-09-15,-0.19, -1.04, 0.34, 1.97, 1.57, 12.03, repro,
2007-09-16,1.04, -0.04, -9.10, 1.92, 1.54, 11.6, repro,
2007-09-17,0.86, -1.18, 10.53, 1.91, 1.54, 11.56, repro,
2007-09-18,1.31, -1.04, 3.60, 1.93, 1.52, 11.63, repro,
2007-09-19,-0.36, -1.37, -3.82, 1.9, 1.49, 11.33, repro,
2007-09-20,0.04, -0.24, -3.25, 1.87, 1.51, 11.19, repro,
2007-09-21,0.54, 0.09, -3.41, 1.88, 1.5, 11.33, repro,
2007-09-22,-0.86, 0.21, -2.87, 1.88, 1.54, 11.38, repro,
2007-09-23,1.04, -0.80, -8.01, 1.88, 1.52, 11.41, repro,
2007-09-24,0.90, -0.52, -4.58, 1.9, 1.58, 11.55, repro,
2007-09-25,0.78, 0.49, -4.33, 1.92, 1.56, 11.69, repro,
2007-09-26,0.89, -0.96, 5.49, 1.87, 1.51, 11.29, repro,
2007-09-27,0.49, -0.82, -3.10, 1.96, 1.61, 12, repro,
2007-09-28,-0.65, -1.42, -4.01, 1.9, 1.54, 11.31, repro,
2007-09-29,-0.85, 0.05, -8.15, 1.87, 1.5, 11.29, repro,
2007-09-30,-0.86, -0.55, -5.54, 1.87, 1.51, 11.6, repro,
2007-10-01,0.48, -1.25, 4.17, 1.9, 1.54, 11.49, repro,
2007-10-02,-1.18, -1.06, 4.85, 1.99, 1.57, 12.06, repro,
2007-10-03,-0.33, -1.54, -5.93, 1.93, 1.55, 11.68, repro,
2007-10-04,0.12, 0.05, -8.13, 1.93, 1.54, 11.67, repro,
2007-10-05,0.91, -0.94, -10.95, 2.88, 2.2, 17.19, repro,
2007-10-06,-0.60, -0.75, -6.33, 1.93, 1.56, 11.57, repro,
2007-10-07,0.16, -1.49, -8.07, 1.91, 1.52, 11.43, repro,
2007-10-08,-0.47, -0.07, -11.82, 1.98, 1.64, 12.29, repro,
2007-10-09,-1.04, -2.02, -13.12, 2.06, 1.63, 12.64, repro,
2007-10-10,0.07, -2.07, -10.11, 2.01, 1.63, 12.22, repro,
2007-10-11,-0.51, -1.81, -8.42, 1.91, 1.51, 11.56, repro,
2007-10-12,0.23, -2.25, -4.85, 1.95, 1.6, 11.8, repro,
2007-10-13,-0.24, -0.65, -7.11, 2.05, 1.7, 12.46, repro,
2007-10-14,-0.74, -1.24, 0.55, 2.01, 1.62, 12.24, repro,
2007-10-15,-2.21, -0.66, -1.62, 1.96, 1.59, 12.08, repro,
2007-10-16,-1.71, -2.13, -2.44, 1.92, 1.55, 11.72, repro,
2007-10-17,-0.39, -1.80, -7.01, 1.97, 1.58, 11.94, repro,
2007-10-18,-1.89, -3.12, -3.95, 1.99, 1.62, 12.04, repro,
2007-10-19,1.15, -2.09, 3.15, 1.94, 1.58, 11.81, repro,
2007-10-20,1.55, -1.30, -0.63, 1.92, 1.54, 11.69, repro,
2007-10-21,-0.96, -0.17, -6.51, 1.99, 1.57, 11.92, repro,
2007-10-22,-0.45, -0.21, -5.48, 2.03, 1.63, 12.18, repro,
2007-10-23,2.83, -3.00, 4.29, 1.97, 1.63, 12.17, repro,
2007-10-24,1.28, -1.24, -3.84, 2.03, 1.63, 12.35, repro,
2007-10-25,0.68, 0.03, -10.10, 2.06, 1.65, 12.59, repro,
2007-10-26,2.57, -0.93, -4.07, 1.99, 1.61, 11.97, repro,
2007-10-27,0.72, -0.37, -5.60, 2.02, 1.6, 12.24, repro,
2007-10-28,1.90, 0.18, -8.42, 1.96, 1.64, 11.98, repro,
2007-10-29,1.13, 0.37, -13.03, 2.02, 1.67, 12.25, repro,
2007-10-30,1.59, 0.27, -4.84, 1.95, 1.57, 11.88, repro,
2007-10-31,0.42, -0.48, -9.36, 1.97, 1.59, 12.03, repro,
