PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, SENU
Station name, Sermip_Nunataa  
Begin Date, 2008-05-17
End Date, 2019-11-15
Release Date, 2020-05-14
Source file, SENU.cwu.nam14.pos
Offset from source file, -5.85 mm North, -15.00 mm East, 66.27 mm Vertical
Reference position, 61.0695798492 North Latitude, -47.141314765 East Longitude, 666.97914 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-05-17,0.00, 0.00, 0.00, 2.37, 1.6, 7.63, repro,
2008-05-18,-0.87, -0.81, 1.65, 2.28, 1.58, 7.45, repro,
2008-05-19,0.73, -1.12, 2.09, 2.3, 1.58, 7.46, repro,
2008-05-20,0.22, -0.93, 0.36, 2.36, 1.64, 7.54, repro,
2008-05-21,0.32, -0.86, 3.90, 2.32, 1.6, 7.58, repro,
2008-05-22,0.00, -1.58, -3.77, 2.46, 1.72, 8.09, repro,
2008-05-23,0.28, 0.06, -1.36, 2.54, 1.73, 8.07, repro,
2008-05-24,0.04, 0.18, -6.37, 2.43, 1.67, 7.79, repro,
2008-05-25,-2.78, 2.74, 1.61, 2.39, 1.66, 7.62, repro,
2008-05-26,1.87, -0.29, 9.68, 2.39, 1.64, 7.71, repro,
2008-05-27,2.77, 0.10, -4.59, 2.34, 1.63, 7.61, repro,
2008-05-28,0.93, 0.18, -5.27, 4.11, 2.67, 11.79, repro,
2008-05-29,-0.54, 0.44, 0.66, 2.36, 1.63, 7.73, repro,
2008-05-30,2.79, 0.97, -0.97, 2.42, 1.65, 7.71, repro,
2008-05-31,4.39, -1.78, 4.49, 2.27, 1.58, 7.4, repro,
2008-06-01,3.35, -0.41, -2.33, 2.37, 1.63, 7.59, repro,
2008-06-02,0.97, 0.04, 1.02, 2.84, 1.88, 8.87, repro,
2008-06-03,3.51, 0.17, -1.55, 2.4, 1.66, 7.8, repro,
2008-06-04,2.91, 0.72, 4.73, 2.31, 1.6, 7.52, repro,
2008-06-05,1.62, -0.30, 2.02, 2.27, 1.57, 7.41, repro,
2008-06-06,0.75, 0.23, 3.98, 2.42, 1.68, 8.08, repro,
2008-06-07,-0.40, 0.95, 5.12, 2.53, 1.7, 8.06, repro,
2008-06-08,1.07, 0.52, 1.13, 2.46, 1.68, 7.92, repro,
2008-06-09,1.29, 1.34, 1.94, 2.37, 1.61, 7.64, repro,
2008-06-10,2.11, 0.06, 0.07, 2.28, 1.57, 7.43, repro,
2008-06-11,2.67, 0.54, -0.85, 2.28, 1.57, 7.42, repro,
2008-06-12,1.16, -0.19, 3.50, 2.35, 1.62, 7.62, repro,
2008-06-13,3.01, 0.49, -3.05, 2.31, 1.59, 7.54, repro,
2008-06-14,0.81, 0.38, -1.76, 2.49, 1.75, 8.19, repro,
2008-06-15,4.78, -0.34, -6.78, 2.53, 1.78, 8.48, repro,
2008-06-16,1.99, 0.23, 0.47, 2.37, 1.62, 7.61, repro,
2008-06-17,1.42, 0.44, -0.46, 2.36, 1.61, 7.6, repro,
2008-06-18,2.23, 0.26, -5.72, 2.38, 1.63, 7.67, repro,
2008-06-19,2.69, -1.00, -0.20, 2.36, 1.64, 7.72, repro,
2008-06-20,2.70, -1.60, -4.69, 2.48, 1.73, 7.98, repro,
2008-06-21,2.46, -1.62, 1.24, 2.33, 1.63, 7.52, repro,
2008-06-22,3.35, -0.68, -2.46, 2.29, 1.59, 7.42, repro,
2008-06-23,3.30, 0.08, -1.45, 2.3, 1.59, 7.48, repro,
2008-06-24,2.93, -0.06, -4.21, 2.32, 1.59, 7.54, repro,
2008-06-25,4.11, 0.13, -5.68, 3.34, 2.35, 10.72, repro,
2008-06-26,1.57, -1.44, -0.49, 2.47, 1.7, 7.85, repro,
2008-06-27,2.92, -1.05, 0.01, 2.36, 1.69, 7.97, repro,
2008-06-28,3.10, -1.62, -0.83, 2.29, 1.58, 7.45, repro,
2008-06-29,5.25, -2.14, -1.35, 2.39, 1.65, 7.71, repro,
2008-06-30,3.90, -1.54, -2.57, 2.34, 1.59, 7.53, repro,
2008-07-01,3.78, -0.19, 0.84, 2.31, 1.59, 7.52, repro,
2008-07-02,1.42, -1.75, 4.00, 2.29, 1.57, 7.43, repro,
2008-07-03,2.84, -2.46, -1.64, 2.29, 1.57, 7.43, repro,
2008-07-04,2.89, -1.75, 2.33, 2.29, 1.57, 7.41, repro,
2008-07-05,2.74, -1.29, -4.56, 2.31, 1.58, 7.49, repro,
2008-07-06,3.40, -0.99, -0.17, 2.32, 1.59, 7.55, repro,
2008-07-07,0.84, -0.91, 4.97, 2.3, 1.57, 7.48, repro,
2008-07-08,1.23, -2.27, 4.95, 2.28, 1.57, 7.45, repro,
2008-07-09,3.28, -2.85, 4.15, 2.28, 1.57, 7.43, repro,
2008-07-10,1.12, -2.89, 5.03, 2.33, 1.63, 7.8, repro,
2008-07-11,-1.54, -4.98, 3.19, 2.34, 1.64, 7.91, repro,
2008-07-12,-0.15, -3.72, 7.70, 2.49, 1.72, 8.19, repro,
2008-07-13,-0.58, -2.19, 10.23, 2.39, 1.67, 7.82, repro,
2008-07-14,-0.18, -2.31, 14.89, 2.3, 1.58, 7.51, repro,
2008-07-15,0.58, -2.33, 6.58, 2.29, 1.6, 7.59, repro,
2008-07-16,0.58, -2.81, 2.55, 2.43, 1.68, 7.86, repro,
2008-07-17,-1.43, -2.51, 9.39, 2.32, 1.59, 7.58, repro,
2008-07-18,2.49, -3.83, 7.47, 2.34, 1.62, 7.57, repro,
2008-07-19,0.49, -3.50, 9.79, 2.33, 1.61, 7.57, repro,
2008-07-20,1.26, -3.80, 7.86, 2.3, 1.6, 7.54, repro,
2008-07-21,0.84, -3.24, 9.66, 2.39, 1.63, 7.8, repro,
2008-07-22,-0.67, -0.50, 9.63, 2.36, 1.65, 7.84, repro,
2008-07-23,-0.85, -0.73, 10.81, 2.44, 1.66, 7.88, repro,
2008-07-24,1.00, -4.06, 15.91, 2.31, 1.59, 7.6, repro,
2008-07-25,0.97, -3.89, 15.67, 2.29, 1.58, 7.48, repro,
2008-07-26,1.02, -2.96, 12.95, 2.28, 1.58, 7.48, repro,
2008-07-27,0.21, -3.77, 13.28, 2.39, 1.67, 7.98, repro,
2008-07-28,1.03, -3.08, 12.82, 2.34, 1.62, 7.76, repro,
2008-07-29,2.36, -4.74, 8.02, 2.36, 1.6, 7.63, repro,
2008-07-30,2.16, -3.28, 11.96, 2.41, 1.67, 7.98, repro,
2008-07-31,0.40, -3.93, 11.01, 2.27, 1.58, 7.48, repro,
2008-08-01,-0.28, -3.54, 13.65, 2.28, 1.58, 7.49, repro,
2008-08-02,0.91, -3.51, 12.64, 2.29, 1.59, 7.76, repro,
2008-08-03,0.02, -4.88, 10.54, 2.36, 1.62, 7.7, repro,
2008-08-04,1.31, -4.37, 11.64, 2.31, 1.61, 7.53, repro,
2008-08-05,0.85, -3.89, 7.74, 2.28, 1.57, 7.46, repro,
2008-08-06,-0.40, -4.34, 14.01, 2.32, 1.61, 7.55, repro,
2008-08-07,0.44, -2.59, 15.29, 2.39, 1.68, 7.71, repro,
2008-08-08,0.36, -4.81, 15.27, 2.49, 1.68, 7.8, repro,
2008-08-09,-1.57, -5.05, 15.63, 2.53, 1.76, 8.16, repro,
2008-08-10,-2.09, -5.08, 14.12, 2.53, 1.78, 8.15, repro,
2008-08-11,-1.44, -5.59, 18.14, 2.34, 1.61, 7.63, repro,
2008-08-12,-1.12, -5.15, 18.42, 2.34, 1.63, 7.61, repro,
2008-08-13,-2.01, -4.31, 17.65, 3.5, 2.5, 10.77, repro,
2008-08-14,-3.16, -3.53, 24.69, 2.44, 1.69, 7.82, repro,
2008-08-15,-2.62, -4.13, 18.35, 2.35, 1.63, 7.59, repro,
2008-08-16,-2.78, -3.94, 23.38, 2.31, 1.6, 7.55, repro,
2008-08-17,-3.05, -2.99, 21.60, 2.37, 1.64, 7.67, repro,
2008-08-18,-1.77, -3.82, 21.06, 2.45, 1.71, 8, repro,
2008-08-19,-2.52, -3.02, 17.57, 2.42, 1.63, 7.73, repro,
2008-08-20,-3.52, -3.61, 22.77, 2.37, 1.64, 7.74, repro,
2008-08-21,-1.49, -4.93, 19.80, 2.32, 1.59, 7.52, repro,
2008-08-22,-1.88, -4.72, 26.60, 2.36, 1.63, 7.66, repro,
2008-08-23,-2.47, -3.39, 31.18, 2.33, 1.6, 7.62, repro,
2008-08-24,0.58, -5.45, 30.68, 2.41, 1.63, 7.77, repro,
2008-08-25,-0.05, -5.78, 24.28, 2.35, 1.61, 7.63, repro,
2008-08-26,-1.93, -5.05, 25.25, 2.34, 1.61, 7.64, repro,
2008-08-27,-2.02, -5.43, 23.20, 2.41, 1.64, 7.71, repro,
2008-08-28,-1.04, -6.09, 25.55, 2.44, 1.68, 8.01, repro,
2008-08-29,-0.34, -4.54, 29.10, 3.89, 2.45, 12.86, repro,
2008-08-30,0.09, -4.49, 21.54, 2.41, 1.65, 7.73, repro,
2008-08-31,1.14, -4.90, 17.10, 2.43, 1.64, 7.68, repro,
2008-09-01,1.89, -5.76, 26.16, 2.42, 1.64, 7.69, repro,
2008-09-02,0.90, -6.04, 17.93, 2.43, 1.63, 7.7, repro,
2008-09-03,0.23, -4.68, 28.62, 2.44, 1.65, 7.76, repro,
2008-09-04,1.77, -6.12, 30.25, 2.82, 1.91, 9.01, repro,
2008-09-05,0.23, -6.02, 23.61, 2.56, 1.69, 7.91, repro,
2008-09-06,-1.67, -4.69, 23.99, 2.44, 1.64, 7.65, repro,
2008-09-07,3.15, -5.06, 31.74, 2.51, 1.71, 7.89, repro,
2008-09-08,1.44, -5.88, 20.29, 2.45, 1.64, 7.69, repro,
2008-09-09,1.42, -5.92, 29.06, 2.5, 1.68, 7.86, repro,
2008-09-10,1.87, -5.97, 23.64, 2.48, 1.68, 7.86, repro,
