PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, SRMP
Station name, Sermip_Nuunataa 
Begin Date, 2007-08-14
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, SRMP.cwu.nam14.pos
Offset from source file, -16.10 mm North, -23.18 mm East, 104.43 mm Vertical
Reference position, 72.9106777229 North Latitude, -54.3937051677 East Longitude, 370.45278 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-08-14,0.00, 0.00, 0.00, 2.22, 1.63, 9.88, repro,
2007-08-15,-2.86, 0.14, -1.82, 2.27, 1.67, 10.17, repro,
2007-08-16,-0.61, -1.14, -0.60, 2.26, 1.62, 9.87, repro,
2007-08-17,-1.13, -0.73, 5.55, 2.19, 1.59, 9.37, repro,
2007-08-18,-0.34, -0.11, 4.34, 2.14, 1.56, 9.42, repro,
2007-08-19,-0.42, -0.90, 5.16, 2.19, 1.6, 9.67, repro,
2007-08-20,-0.94, 0.55, 5.03, 2.18, 1.59, 9.54, repro,
2007-08-21,0.09, -0.43, -0.05, 2.2, 1.6, 9.73, repro,
2007-08-22,-1.54, -0.69, 5.80, 2.13, 1.54, 9.35, repro,
2007-08-23,-0.78, -1.40, 7.96, 2.29, 1.68, 9.93, repro,
2007-08-24,-1.76, -0.03, 9.34, 2.13, 1.58, 9.35, repro,
2007-08-25,-0.16, -0.76, 4.64, 2.14, 1.57, 9.52, repro,
2007-08-26,0.29, 0.60, 2.41, 2.25, 1.7, 10.41, repro,
2007-08-27,-0.35, 0.01, 1.18, 2.48, 1.81, 10.95, repro,
2007-08-28,0.03, 0.05, 5.26, 2.17, 1.64, 9.84, repro,
2007-08-29,0.53, -1.16, 6.47, 2.3, 1.73, 10.33, repro,
2007-08-30,-1.04, 1.24, 3.90, 2.2, 1.68, 9.69, repro,
2007-08-31,-2.46, 0.40, 2.38, 2.19, 1.61, 10.14, repro,
2007-09-01,-0.34, 0.53, -0.95, 2.35, 1.7, 10.39, repro,
2007-09-02,0.12, 0.70, 5.68, 2.29, 1.61, 10.14, repro,
2007-09-03,0.81, -0.59, 11.47, 2.54, 1.76, 11.02, repro,
2007-09-04,-0.72, -1.33, 18.15, 2.17, 1.6, 9.78, repro,
2007-09-05,-1.61, 0.10, 5.48, 2.27, 1.69, 10.21, repro,
2007-09-06,-0.60, 0.36, 6.12, 2.25, 1.62, 10.21, repro,
2007-09-07,0.04, -2.01, 11.39, 2.26, 1.71, 10.14, repro,
2007-09-08,1.11, -1.07, 7.68, 2.2, 1.64, 9.73, repro,
2007-09-09,-1.16, 0.49, 9.98, 2.29, 1.64, 10.03, repro,
2007-09-10,-0.57, -0.36, 13.54, 2.19, 1.62, 9.68, repro,
2007-09-11,-0.44, -0.11, 11.16, 2.15, 1.58, 9.61, repro,
2007-09-12,0.86, -0.26, 7.71, 2.09, 1.55, 9.34, repro,
2007-09-13,0.60, 0.74, 5.92, 2.09, 1.53, 9.21, repro,
2007-09-14,-0.09, -0.57, 9.47, 2.1, 1.56, 9.3, repro,
