PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, TIMM
Station name, Timmiarmiut     
Begin Date, 2007-08-20
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, TIMM.cwu.nam14.pos
Offset from source file, 4.94 mm North, -6.06 mm East, 45.04 mm Vertical
Reference position, 62.5355424341 North Latitude, -42.2861504971 East Longitude, 313.28368 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-08-20,0.00, 0.00, 0.00, 2.32, 1.57, 7.66, repro,
2007-08-21,2.70, -0.92, -4.98, 2.33, 1.57, 7.72, repro,
2007-08-22,0.10, -1.06, 0.97, 2.32, 1.58, 7.77, repro,
2007-08-23,0.15, -2.00, 2.32, 2.27, 1.54, 7.48, repro,
2007-08-24,1.22, -0.31, 3.68, 2.37, 1.62, 8.03, repro,
2007-08-25,1.61, -0.57, 4.67, 2.39, 1.62, 8.1, repro,
2007-08-26,1.84, -0.98, 5.63, 2.39, 1.66, 8.29, repro,
2007-08-27,-0.15, -0.87, 2.65, 2.53, 1.74, 8.77, repro,
2007-08-28,1.74, -0.18, 0.80, 2.36, 1.63, 8.08, repro,
2007-08-29,3.23, -1.59, 3.31, 2.33, 1.61, 7.97, repro,
2007-08-30,0.75, 0.29, -6.49, 2.35, 1.63, 7.96, repro,
2007-08-31,-0.46, -0.64, 0.65, 2.37, 1.62, 8.12, repro,
2007-09-01,1.36, 0.84, 4.62, 2.42, 1.7, 8.33, repro,
2007-09-02,1.21, -0.30, -2.83, 2.47, 1.68, 8.44, repro,
2007-09-03,0.39, 0.44, 0.42, 2.33, 1.59, 7.99, repro,
2007-09-04,1.56, -0.72, 6.88, 2.32, 1.6, 8, repro,
2007-09-05,0.32, -0.37, 6.10, 2.3, 1.59, 7.89, repro,
2007-09-06,-2.40, 0.72, -0.81, 2.43, 1.68, 8.38, repro,
2007-09-07,1.56, -1.06, 6.36, 2.39, 1.63, 8.17, repro,
2007-09-08,2.88, -2.08, 2.51, 2.4, 1.63, 8.2, repro,
2007-09-09,0.67, -0.86, -1.97, 2.37, 1.62, 8.19, repro,
2007-09-10,0.49, -0.94, 1.79, 2.34, 1.6, 7.97, repro,
2007-09-11,2.18, -1.18, 3.97, 2.36, 1.61, 8.13, repro,
2007-09-12,2.41, -0.75, 3.46, 2.33, 1.59, 7.97, repro,
2007-09-13,3.66, -0.94, -0.43, 2.31, 1.59, 7.92, repro,
2007-09-14,2.87, 0.48, 4.35, 2.34, 1.59, 7.97, repro,
2007-09-15,0.94, -0.27, 8.11, 2.41, 1.65, 8.23, repro,
2007-09-16,1.63, 0.19, -2.36, 2.32, 1.58, 7.88, repro,
2007-09-17,1.41, -1.66, 12.73, 2.32, 1.59, 7.89, repro,
2007-09-18,0.97, -1.32, 8.24, 2.38, 1.62, 8.09, repro,
2007-09-19,2.60, -0.72, 10.33, 2.3, 1.54, 7.56, repro,
2007-09-20,4.35, -1.12, 7.14, 2.38, 1.58, 7.73, repro,
2007-09-21,3.67, 0.42, 4.40, 2.37, 1.61, 7.9, repro,
2007-09-22,1.52, -1.03, 2.22, 2.32, 1.57, 7.74, repro,
2007-09-23,3.64, 0.26, 2.56, 2.33, 1.59, 8.02, repro,
2007-09-24,4.92, 0.69, -1.79, 2.42, 1.65, 7.96, repro,
2007-09-25,-4.33, 0.91, 3.03, 2.37, 1.57, 7.72, repro,
2007-09-26,2.36, -0.42, 2.76, 2.29, 1.53, 7.55, repro,
2007-09-27,0.45, -0.36, 5.37, 2.46, 1.63, 7.87, repro,
2007-09-28,1.19, 0.18, 0.19, 2.42, 1.64, 8.1, repro,
2007-09-29,2.44, -0.24, 3.06, 2.54, 1.73, 8.46, repro,
2007-09-30,1.68, -0.54, 2.57, 2.44, 1.62, 8.15, repro,
2007-10-01,1.32, -0.75, 5.72, 2.37, 1.6, 8.07, repro,
2007-10-02,-0.81, -1.18, 9.84, 2.46, 1.67, 8.32, repro,
2007-10-03,2.59, -2.02, 6.40, 2.37, 1.6, 7.87, repro,
2007-10-04,3.07, -0.29, -4.01, 2.4, 1.62, 8.09, repro,
2007-10-05,2.52, -1.21, -1.98, 2.39, 1.65, 8.14, repro,
2007-10-06,1.85, -1.69, 0.81, 2.36, 1.59, 8.05, repro,
2007-10-07,4.39, -2.02, -4.86, 2.34, 1.58, 7.97, repro,
2007-10-08,1.59, -1.51, 2.58, 2.54, 1.69, 8.86, repro,
2007-10-09,2.45, -1.95, -5.08, 2.49, 1.72, 8.75, repro,
2007-10-10,2.08, -1.38, -0.06, 2.47, 1.68, 8.49, repro,
2007-10-11,2.42, -1.46, -0.36, 2.34, 1.57, 7.95, repro,
2007-10-12,2.32, -1.23, 5.63, 2.37, 1.6, 7.81, repro,
2007-10-13,0.99, 0.26, 3.49, 2.34, 1.55, 7.66, repro,
2007-10-14,1.11, -0.84, 7.74, 2.29, 1.55, 7.63, repro,
2007-10-15,-1.33, -1.23, 5.31, 2.36, 1.58, 8, repro,
2007-10-16,0.34, -1.31, 5.64, 2.31, 1.55, 7.67, repro,
2007-10-17,-0.54, -0.80, -0.40, 2.3, 1.55, 7.66, repro,
2007-10-18,0.21, -2.32, 1.28, 2.4, 1.62, 7.95, repro,
2007-10-19,2.60, -1.86, -5.16, 2.45, 1.65, 8.1, repro,
2007-10-20,4.91, -0.37, 1.35, 2.35, 1.58, 7.76, repro,
