PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, TREO
Station name, Trefoldighedens 
Begin Date, 2007-09-02
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, TREO.cwu.nam14.pos
Offset from source file, 2.43 mm North, -14.33 mm East, 51.77 mm Vertical
Reference position, 64.2770689724 North Latitude, -41.375076666 East Longitude, 121.92109 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-09-02,0.00, 0.00, 0.00, 2.48, 1.68, 8.69, repro,
2007-09-03,1.72, 3.20, -5.21, 2.35, 1.62, 8.23, repro,
2007-09-04,-0.46, -0.92, 11.85, 2.33, 1.62, 8.28, repro,
2007-09-05,-0.62, -1.09, 5.49, 2.35, 1.61, 8.14, repro,
2007-09-06,-0.21, -1.24, 7.12, 2.47, 1.77, 8.85, repro,
2007-09-07,1.41, -2.04, 5.61, 2.38, 1.63, 8.3, repro,
2007-09-08,1.27, -1.82, 2.27, 2.38, 1.66, 8.44, repro,
2007-09-09,0.43, -0.81, 3.08, 2.33, 1.62, 8.32, repro,
2007-09-10,0.24, -1.93, 6.86, 2.33, 1.61, 8.21, repro,
2007-09-11,1.22, -1.89, 2.91, 2.31, 1.58, 8.08, repro,
2007-09-12,2.85, -0.06, 1.69, 2.33, 1.6, 8.2, repro,
2007-09-13,2.00, -0.67, 1.30, 2.31, 1.6, 8.13, repro,
2007-09-14,0.54, -0.74, 6.63, 2.35, 1.62, 8.26, repro,
2007-09-15,0.15, -1.36, 3.82, 2.48, 1.69, 8.91, repro,
2007-09-16,0.95, -0.91, -0.57, 2.37, 1.62, 8.29, repro,
2007-09-17,0.29, 0.23, 11.12, 2.29, 1.59, 8.08, repro,
2007-09-18,1.58, 0.47, 13.01, 2.28, 1.56, 8.03, repro,
2007-09-19,1.34, -2.06, 6.99, 2.28, 1.56, 7.75, repro,
2007-09-20,1.86, -0.91, 13.10, 2.43, 1.64, 8.26, repro,
2007-09-21,2.32, -0.36, -5.05, 2.38, 1.61, 8.28, repro,
2007-09-22,1.79, 0.09, 3.07, 2.6, 1.72, 8.85, repro,
2007-09-23,2.40, 0.28, 3.20, 2.34, 1.57, 8.02, repro,
2007-09-24,4.22, -0.24, -1.15, 2.35, 1.58, 7.97, repro,
2007-09-25,0.23, 1.16, -2.62, 2.43, 1.66, 8.47, repro,
2007-09-26,2.28, -1.07, 3.16, 2.3, 1.55, 7.83, repro,
2007-09-27,0.94, -0.28, 1.29, 2.42, 1.65, 8.3, repro,
2007-09-28,0.89, -0.78, 2.53, 2.47, 1.66, 8.42, repro,
2007-09-29,0.93, -0.86, 3.45, 2.53, 1.72, 8.74, repro,
2007-09-30,-0.41, -1.40, 2.25, 2.42, 1.63, 8.08, repro,
2007-10-01,-0.17, 1.02, 4.66, 2.38, 1.61, 8.33, repro,
2007-10-02,-1.54, -1.73, 1.93, 2.42, 1.66, 8.51, repro,
2007-10-03,-0.45, -1.61, 0.02, 2.41, 1.61, 7.99, repro,
2007-10-04,0.90, -0.42, 0.72, 2.33, 1.59, 8.04, repro,
2007-10-05,0.10, -0.96, -3.29, 2.45, 1.69, 8.8, repro,
2007-10-06,0.43, -1.80, 0.06, 2.38, 1.61, 8.26, repro,
2007-10-07,1.82, -1.76, -4.97, 2.36, 1.61, 8.28, repro,
2007-10-08,0.72, -1.69, -1.39, 2.53, 1.66, 9.05, repro,
2007-10-09,2.00, -0.65, -12.31, 2.59, 1.81, 9.29, repro,
2007-10-10,2.62, -1.13, 2.58, 2.45, 1.67, 8.71, repro,
2007-10-11,1.38, -1.77, -2.73, 2.32, 1.58, 8.16, repro,
2007-10-12,3.52, -0.32, 5.37, 2.39, 1.63, 8.12, repro,
2007-10-13,0.90, 0.25, 0.47, 2.3, 1.55, 7.89, repro,
2007-10-14,1.68, -0.39, -1.55, 2.34, 1.56, 7.97, repro,
2007-10-15,-1.36, -3.01, 8.31, 2.34, 1.59, 8.24, repro,
2007-10-16,0.20, -0.92, 0.65, 2.28, 1.53, 7.71, repro,
2007-10-17,-1.41, -0.71, 6.97, 2.3, 1.56, 7.87, repro,
2007-10-18,2.70, -0.56, 5.52, 2.44, 1.69, 8.62, repro,
2007-10-19,0.72, 0.55, 1.80, 2.54, 1.77, 8.84, repro,
2007-10-20,2.78, 0.20, 14.00, 2.35, 1.6, 7.94, repro,
2007-10-21,0.55, 0.08, 5.66, 2.3, 1.57, 7.92, repro,
2007-10-22,-0.11, -0.19, 4.53, 2.33, 1.57, 7.88, repro,
2007-10-23,2.31, -0.91, 14.98, 2.36, 1.63, 8.59, repro,
2007-10-24,2.99, 1.37, 7.66, 2.34, 1.62, 8.3, repro,
2007-10-25,1.43, 2.99, 14.04, 2.47, 1.68, 8.63, repro,
2007-10-26,2.17, 1.38, 6.64, 2.49, 1.67, 8.42, repro,
2007-10-27,1.56, 0.65, 10.45, 2.35, 1.6, 8.03, repro,
2007-10-28,1.25, -5.04, -3.54, 2.31, 1.59, 7.95, repro,
2007-10-29,3.41, 0.88, 2.47, 2.39, 1.63, 8.15, repro,
2007-10-30,0.70, 0.97, -2.81, 2.4, 1.68, 8.49, repro,
2007-10-31,0.83, 0.65, 1.44, 2.31, 1.55, 7.85, repro,
2007-11-01,2.90, -0.02, -3.11, 2.32, 1.54, 7.79, repro,
2007-11-02,3.66, 0.05, -2.08, 2.3, 1.55, 8.08, repro,
2007-11-03,1.95, -0.69, 7.63, 2.27, 1.54, 7.64, repro,
2007-11-04,0.48, -1.17, -6.27, 2.25, 1.52, 7.6, repro,
2007-11-05,1.80, -0.54, -3.54, 2.25, 1.51, 7.61, repro,
2007-11-06,-0.35, -1.11, -4.18, 2.27, 1.52, 7.67, repro,
2007-11-07,4.16, 0.20, -0.69, 2.28, 1.53, 7.72, repro,
2007-11-08,0.66, 0.36, -1.18, 2.33, 1.56, 7.86, repro,
2007-11-09,1.57, -0.75, -0.38, 2.32, 1.56, 7.9, repro,
2007-11-10,0.51, -1.41, -2.49, 2.23, 1.52, 7.55, repro,
2007-11-11,1.85, -0.02, 1.47, 2.31, 1.57, 8.2, repro,
2007-11-12,2.16, -1.03, 5.75, 2.29, 1.54, 7.71, repro,
2007-11-13,2.09, -1.23, 1.94, 2.36, 1.58, 7.99, repro,
2007-11-14,1.35, -0.43, 5.75, 2.37, 1.62, 8, repro,
2007-11-15,0.50, -1.57, 5.84, 2.39, 1.62, 7.94, repro,
2007-11-16,-2.75, -0.88, 5.74, 2.31, 1.55, 7.73, repro,
2007-11-17,1.54, 0.03, 1.86, 2.28, 1.54, 7.74, repro,
2007-11-18,1.04, -0.58, 3.01, 2.28, 1.54, 7.7, repro,
2007-11-19,0.32, -0.82, 0.64, 2.31, 1.57, 7.87, repro,
2007-11-20,-2.20, -2.07, -1.88, 2.59, 1.72, 8.66, repro,
2007-11-21,-0.90, -0.97, 0.59, 2.39, 1.61, 8.02, repro,
2007-11-22,1.90, 0.98, 2.04, 2.65, 1.79, 9.05, repro,
2007-11-23,2.59, 0.82, 4.89, 2.49, 1.68, 8.25, repro,
2007-11-24,0.17, 0.87, -1.93, 2.49, 1.68, 8.33, repro,
2007-11-25,3.04, 0.63, 4.41, 2.37, 1.61, 7.98, repro,
2007-11-26,0.86, 2.37, -0.54, 2.41, 1.63, 7.96, repro,
2007-11-27,2.03, 0.65, 4.92, 2.37, 1.6, 7.97, repro,
2007-11-28,0.85, 1.49, 4.58, 2.38, 1.61, 8.13, repro,
2007-11-29,-2.25, 1.40, 9.06, 2.32, 1.57, 7.93, repro,
2007-11-30,0.68, 0.20, 2.59, 2.44, 1.68, 8.19, repro,
2007-12-01,1.64, -0.35, -6.42, 2.38, 1.62, 8.06, repro,
2007-12-02,3.50, 0.83, -4.26, 2.3, 1.57, 7.66, repro,
2007-12-03,1.96, -0.87, -0.15, 2.45, 1.68, 8.1, repro,
2007-12-04,-0.19, 0.83, 7.94, 2.36, 1.6, 8.13, repro,
2007-12-05,0.77, 1.29, 10.73, 2.42, 1.64, 8.19, repro,
2007-12-06,1.59, -0.25, 3.22, 2.36, 1.62, 7.9, repro,
2007-12-07,0.43, -0.42, 5.70, 2.39, 1.65, 7.99, repro,
2007-12-08,1.18, -0.63, -3.93, 2.37, 1.6, 7.95, repro,
2007-12-09,3.16, 0.82, -5.95, 2.47, 1.69, 8.25, repro,
2007-12-10,1.57, -0.09, 4.32, 2.49, 1.74, 8.46, repro,
2007-12-11,-3.15, 1.31, 7.88, 2.49, 1.73, 8.47, repro,
2007-12-12,0.18, -1.10, 1.00, 2.53, 1.78, 8.59, repro,
2007-12-13,-1.31, 1.60, -1.62, 2.43, 1.66, 8.13, repro,
2007-12-14,-0.93, -0.22, 7.10, 2.41, 1.64, 8.07, repro,
2007-12-15,1.00, 1.39, 3.54, 2.46, 1.7, 8.37, repro,
2007-12-16,-0.20, -0.41, 4.46, 2.36, 1.62, 7.98, repro,
2007-12-17,2.03, 2.89, -4.80, 2.5, 1.72, 8.4, repro,
2007-12-18,0.49, -1.82, 5.02, 2.48, 1.68, 8.15, repro,
2007-12-19,-0.54, 0.94, 2.14, 2.36, 1.64, 7.99, repro,
2007-12-20,0.41, -2.46, 2.11, 2.42, 1.68, 8.2, repro,
2007-12-21,0.48, -0.35, -0.89, 2.41, 1.66, 8.02, repro,
2007-12-22,0.46, -1.74, 2.64, 2.46, 1.71, 8.48, repro,
2007-12-23,-0.32, -1.44, 7.39, 2.33, 1.6, 7.81, repro,
2007-12-24,-0.51, -0.48, 9.79, 2.37, 1.6, 8.06, repro,
2007-12-25,-1.57, 0.06, 10.55, 2.37, 1.6, 8.08, repro,
2007-12-26,0.95, -0.41, 3.35, 2.3, 1.55, 7.8, repro,
2007-12-27,0.97, -0.84, 4.60, 2.37, 1.61, 7.99, repro,
2007-12-28,0.85, -1.96, 1.55, 2.39, 1.61, 7.9, repro,
2007-12-29,0.82, -1.00, -1.31, 2.37, 1.62, 7.82, repro,
2007-12-30,1.75, -0.75, 4.18, 2.36, 1.6, 7.93, repro,
2007-12-31,3.37, 1.50, 0.03, 2.31, 1.57, 7.81, repro,
2008-01-01,1.40, 0.05, -1.45, 2.31, 1.58, 7.85, repro,
2008-01-02,1.97, 0.95, -5.65, 2.26, 1.56, 7.68, repro,
2008-01-03,1.54, 0.38, 1.73, 2.23, 1.51, 7.58, repro,
2008-01-04,3.40, 0.79, 6.59, 2.23, 1.52, 7.59, repro,
2008-01-05,-0.68, 3.23, 6.35, 2.61, 1.82, 8.83, repro,
2008-01-06,0.40, 1.03, 4.02, 2.49, 1.64, 8.27, repro,
2008-01-07,-0.81, 1.50, 2.22, 2.41, 1.68, 8.57, repro,
2008-01-08,-0.96, 1.59, -4.88, 2.36, 1.62, 7.99, repro,
2008-01-09,-0.60, 1.77, 3.24, 2.29, 1.58, 7.84, repro,
2008-01-10,-1.75, 0.72, 1.43, 2.25, 1.55, 8.04, repro,
2008-01-11,-0.81, -1.68, 2.23, 2.25, 1.53, 7.77, repro,
2008-01-12,1.05, -1.60, -2.12, 2.31, 1.54, 7.76, repro,
2008-01-13,1.71, 0.59, -7.54, 2.33, 1.58, 8.03, repro,
2008-01-14,2.68, -1.05, 0.86, 2.49, 1.7, 8.56, repro,
2008-01-15,2.33, 0.14, 3.56, 2.37, 1.6, 7.95, repro,
2008-01-16,0.00, -0.76, 4.44, 2.52, 1.71, 8.41, repro,
2008-01-17,-2.06, 0.57, -0.92, 2.66, 1.8, 9.01, repro,
2008-01-18,2.91, -0.36, 1.18, 2.35, 1.59, 7.87, repro,
2008-01-19,3.28, 0.31, -5.10, 2.46, 1.61, 8.06, repro,
2008-01-20,3.64, 1.58, -8.62, 2.31, 1.55, 7.79, repro,
2008-01-21,1.42, 4.25, 0.41, 2.37, 1.6, 8.27, repro,
2008-01-22,-3.89, 0.11, 6.68, 2.42, 1.61, 7.93, repro,
2008-01-23,-1.62, 0.25, 8.67, 2.28, 1.53, 7.65, repro,
2008-01-24,4.02, 0.76, 2.85, 2.4, 1.61, 7.88, repro,
2008-01-25,3.04, -0.57, 2.83, 2.56, 1.69, 8.74, repro,
