PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, UTMG
Station name, Upper_Timmiarmii
Begin Date, 2007-08-20
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, UTMG.cwu.nam14.pos
Offset from source file, 10.43 mm North, -16.12 mm East, 60.07 mm Vertical
Reference position, 62.9272056690 North Latitude, -43.3064193446 East Longitude, 1471.12323 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-08-20,0.00, 0.00, 0.00, 2.33, 1.58, 7.75, repro,
2007-08-21,0.07, 1.09, -6.06, 2.32, 1.59, 7.83, repro,
2007-08-22,-2.85, 0.35, 3.53, 2.35, 1.58, 7.95, repro,
2007-08-23,-1.99, -1.25, -0.30, 2.27, 1.54, 7.52, repro,
2007-08-24,-2.79, -0.48, -1.01, 2.35, 1.62, 8.14, repro,
2007-08-25,2.15, 0.29, 1.60, 2.37, 1.63, 8.16, repro,
2007-08-26,1.59, -0.80, 0.77, 2.5, 1.74, 8.98, repro,
2007-08-27,-1.80, -1.24, 0.96, 2.62, 1.79, 8.92, repro,
2007-08-28,-0.67, 0.13, -6.02, 2.37, 1.63, 8.23, repro,
2007-08-29,-0.04, -2.09, -1.95, 2.34, 1.62, 8.08, repro,
2007-08-30,-0.85, -0.51, -11.80, 2.39, 1.66, 8.18, repro,
2007-08-31,-2.58, 0.24, 6.05, 2.4, 1.65, 8.25, repro,
2007-09-01,-0.70, 0.24, -5.39, 2.54, 1.73, 8.9, repro,
2007-09-02,-0.07, 1.16, 2.67, 2.45, 1.68, 8.47, repro,
2007-09-03,-1.33, 2.73, 3.66, 2.34, 1.58, 8.02, repro,
2007-09-04,-2.08, 0.52, 6.44, 2.31, 1.6, 8.02, repro,
2007-09-05,-1.77, 1.41, 1.08, 2.33, 1.61, 8.1, repro,
2007-09-06,-1.34, 0.70, -4.76, 2.39, 1.66, 8.42, repro,
2007-09-07,0.02, -0.73, -1.99, 2.4, 1.63, 8.25, repro,
2007-09-08,-0.45, -2.48, -1.50, 2.4, 1.64, 8.34, repro,
2007-09-09,-1.40, -0.62, -11.47, 2.33, 1.61, 8.08, repro,
2007-09-10,-0.19, -0.36, 5.93, 2.3, 1.59, 7.94, repro,
2007-09-11,0.21, -0.13, 1.05, 2.34, 1.59, 8.03, repro,
2007-09-12,1.94, -0.34, -3.34, 2.35, 1.6, 8.15, repro,
2007-09-13,0.39, -0.34, -5.53, 2.35, 1.6, 8.15, repro,
2007-09-14,0.01, 0.28, 1.02, 2.34, 1.59, 8.03, repro,
2007-09-15,0.35, 0.53, 3.96, 2.43, 1.66, 8.39, repro,
2007-09-16,0.57, 0.93, -2.59, 2.32, 1.59, 8.01, repro,
2007-09-17,-0.55, -0.86, 0.00, 2.34, 1.61, 8.08, repro,
2007-09-18,-0.79, -0.09, 0.67, 2.39, 1.63, 8.87, repro,
2007-09-19,0.89, -0.13, -0.03, 2.34, 1.57, 7.83, repro,
2007-09-20,1.37, 0.27, 9.87, 2.35, 1.58, 7.82, repro,
2007-09-21,0.28, 1.31, 0.48, 2.4, 1.66, 8.07, repro,
2007-09-22,0.10, -0.16, 2.40, 2.42, 1.61, 8.25, repro,
2007-09-23,0.87, 1.06, -1.36, 2.4, 1.61, 8.11, repro,
2007-09-24,2.51, 0.24, -11.89, 2.42, 1.62, 8.06, repro,
2007-09-25,-0.83, 1.64, -4.72, 2.34, 1.57, 7.86, repro,
2007-09-26,1.54, 0.21, 2.56, 2.28, 1.54, 7.59, repro,
2007-09-27,0.50, 1.16, 4.91, 2.48, 1.66, 8.15, repro,
2007-09-28,-0.96, 1.35, 5.52, 2.48, 1.65, 8.19, repro,
2007-09-29,-1.51, 0.43, 0.37, 2.6, 1.73, 8.7, repro,
2007-09-30,0.54, -0.45, 3.47, 2.44, 1.67, 8.77, repro,
2007-10-01,-1.34, 1.14, 3.66, 2.33, 1.58, 7.8, repro,
2007-10-02,-1.61, -1.93, 2.17, 2.43, 1.65, 8.29, repro,
2007-10-03,0.97, 2.27, 4.61, 2.41, 1.6, 7.98, repro,
2007-10-04,0.51, 2.13, -3.09, 2.45, 1.6, 8.19, repro,
2007-10-05,-1.30, -0.71, -5.90, 2.79, 1.9, 9.81, repro,
2007-10-06,0.51, -1.75, -4.14, 2.36, 1.6, 8.15, repro,
2007-10-07,2.94, -0.75, -5.94, 2.36, 1.59, 8.07, repro,
2007-10-08,0.20, -0.47, -2.07, 2.51, 1.66, 8.76, repro,
2007-10-09,-0.19, 0.90, -9.75, 2.51, 1.69, 8.56, repro,
2007-10-10,1.62, -0.41, -0.17, 2.5, 1.68, 8.59, repro,
2007-10-11,0.07, -1.26, -3.96, 2.34, 1.58, 8.01, repro,
2007-10-12,0.34, -1.18, 5.36, 2.38, 1.62, 7.98, repro,
2007-10-13,0.13, 0.99, 9.21, 2.32, 1.55, 7.72, repro,
2007-10-14,-0.28, 2.00, -2.42, 2.34, 1.56, 7.8, repro,
2007-10-15,-7.36, 3.11, 15.06, 2.38, 1.59, 8.04, repro,
2007-10-16,-0.40, -1.48, 3.03, 2.34, 1.56, 7.79, repro,
2007-10-17,-1.73, -0.26, -0.10, 2.34, 1.59, 8.08, repro,
2007-10-18,-1.14, -0.96, 7.76, 2.43, 1.66, 8.09, repro,
2007-10-19,1.06, -0.57, 5.14, 2.46, 1.67, 8.24, repro,
2007-10-20,2.65, 0.56, 7.51, 2.37, 1.6, 7.97, repro,
2007-10-21,-0.07, 2.78, 7.01, 2.35, 1.56, 7.81, repro,
