PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, VFDG
Station name, Vestfjord_Gletsc
Begin Date, 2009-08-09
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, VFDG.cwu.nam14.pos
Offset from source file, 4.90 mm North, -12.78 mm East, 47.58 mm Vertical
Reference position, 70.2999225096 North Latitude, -29.8176398157 East Longitude, 1293.52284 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2009-08-09,0.00, 0.00, 0.00, 2.37, 1.63, 9.49, repro,
2009-08-10,-1.31, -0.43, 7.92, 2.28, 1.61, 9.09, repro,
2009-08-11,0.63, 0.11, 10.34, 2.25, 1.61, 9.11, repro,
2009-08-12,-0.55, 0.72, 5.15, 2.28, 1.58, 9.07, repro,
2009-08-13,-1.34, -0.20, 2.90, 2.27, 1.56, 9, repro,
2009-08-14,-0.57, 0.04, 8.49, 2.28, 1.58, 9.05, repro,
2009-08-15,-0.25, 0.19, 11.16, 2.24, 1.58, 8.93, repro,
2009-08-16,1.93, -1.57, 8.66, 2.28, 1.59, 9.03, repro,
2009-08-17,1.11, 0.21, 15.14, 2.25, 1.57, 8.98, repro,
2009-08-18,2.69, -0.17, 17.97, 2.27, 1.55, 9, repro,
2009-08-19,0.35, -2.42, 11.15, 2.4, 1.66, 9.64, repro,
2009-08-20,1.25, -0.35, 12.48, 2.54, 1.66, 10.11, repro,
2009-08-21,1.96, 0.63, 22.06, 2.36, 1.65, 9.13, repro,
2009-08-22,1.37, 0.85, 11.88, 2.27, 1.63, 9.11, repro,
2009-08-23,-0.40, 0.47, 8.26, 2.33, 1.65, 9.26, repro,
2009-08-24,0.34, 0.13, 11.61, 2.31, 1.59, 9.11, repro,
2009-08-25,1.69, 0.51, 8.12, 2.33, 1.62, 9.27, repro,
2009-08-26,1.15, 0.32, 5.16, 2.31, 1.65, 9.11, repro,
2009-08-27,1.26, -0.73, 3.56, 2.44, 1.77, 9.32, repro,
2009-08-28,0.93, -1.12, 6.68, 2.19, 1.59, 8.55, repro,
2009-08-29,-0.02, -0.05, 9.78, 2.22, 1.57, 8.57, repro,
2009-08-30,-0.32, -2.42, 8.92, 2.37, 1.68, 9.3, repro,
2009-08-31,0.78, -0.87, 17.29, 2.33, 1.65, 9.14, repro,
2009-09-01,-0.71, 0.11, 20.13, 2.17, 1.58, 8.44, repro,
2009-09-02,-1.47, 0.31, 19.58, 2.35, 1.73, 9.11, repro,
2009-09-03,-1.01, -0.04, 19.13, 2.28, 1.63, 8.69, repro,
2009-09-04,-0.28, 0.02, 15.55, 2.24, 1.62, 8.75, repro,
2009-09-05,0.95, -0.04, 18.21, 2.22, 1.58, 8.75, repro,
2009-09-06,-1.37, -0.56, 21.11, 2.27, 1.6, 9, repro,
2009-09-07,-0.80, -0.08, 17.05, 2.19, 1.58, 8.63, repro,
2009-09-08,-3.45, 1.06, 18.36, 2.21, 1.59, 8.62, repro,
2009-09-09,-2.68, 2.53, 22.44, 2.46, 1.76, 9.71, repro,
2009-09-10,-1.44, 0.35, 8.01, 2.28, 1.61, 8.91, repro,
2009-09-11,-2.25, 0.40, 8.42, 2.37, 1.7, 9.28, repro,
2009-09-12,-3.68, -1.22, 13.32, 2.24, 1.59, 8.84, repro,
2009-09-13,-1.29, -2.73, 17.80, 2.38, 1.73, 9.42, repro,
2009-09-14,1.98, 0.56, 12.44, 2.28, 1.69, 8.97, repro,
2009-09-15,-0.67, 1.63, 5.36, 2.22, 1.62, 8.67, repro,
2009-09-16,0.62, 1.08, 11.06, 2.18, 1.58, 8.6, repro,
2009-09-17,-0.57, 1.13, 15.61, 2.21, 1.61, 8.7, repro,
2009-09-18,-2.30, 0.07, 18.20, 2.22, 1.64, 8.74, repro,
2009-09-19,0.14, 0.99, 21.39, 2.17, 1.6, 8.57, repro,
2009-09-20,-0.99, 1.18, 22.06, 2.2, 1.58, 8.6, repro,
2009-09-21,-0.85, 0.83, 23.45, 2.22, 1.61, 8.73, repro,
2009-09-22,-0.49, 0.28, 27.38, 2.27, 1.62, 9.01, repro,
2009-09-23,0.00, 0.69, 26.90, 2.33, 1.66, 9.33, repro,
2009-09-24,-5.22, 1.50, 17.82, 2.19, 1.58, 8.67, repro,
2009-09-25,-1.24, 0.00, 22.13, 2.27, 1.61, 9.04, repro,
2009-09-26,0.55, -0.09, 24.60, 2.22, 1.61, 8.79, repro,
2009-09-27,-1.35, -0.17, 18.82, 2.39, 1.73, 9.78, repro,
2009-09-28,-1.37, 0.91, 11.45, 2.35, 1.66, 9.37, repro,
2009-09-29,-2.28, -1.28, 15.64, 2.31, 1.62, 9.19, repro,
2009-09-30,-0.97, -0.34, 5.81, 2.29, 1.63, 9.02, repro,
2009-10-01,-1.52, 0.07, 8.09, 2.23, 1.6, 8.77, repro,
2009-10-02,-1.32, -0.59, 12.58, 2.24, 1.63, 8.77, repro,
