PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, WTHG
Station name, Walterhausen_Gle
Begin Date, 2009-08-14
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, WTHG.cwu.nam14.pos
Offset from source file, 1.37 mm North, -11.30 mm East, 19.52 mm Vertical
Reference position, 73.9551982021 North Latitude, -24.3089194855 East Longitude, 1109.89552 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2009-08-14,0.00, 0.00, 0.00, 2.07, 1.54, 9.19, repro,
2009-08-15,0.54, -0.44, -3.31, 2.08, 1.54, 9.26, repro,
2009-08-16,1.36, -0.24, -3.04, 2.08, 1.53, 9.22, repro,
2009-08-17,1.60, -0.59, 0.63, 2.09, 1.53, 9.29, repro,
2009-08-18,2.41, -0.45, 4.07, 2.1, 1.54, 9.33, repro,
2009-08-19,0.80, -1.04, 3.41, 2.08, 1.56, 9.28, repro,
2009-08-20,0.69, 0.80, 0.41, 2.16, 1.59, 9.51, repro,
2009-08-21,0.73, 1.54, 7.01, 2.19, 1.64, 9.62, repro,
2009-08-22,1.08, 1.61, 2.44, 2.15, 1.6, 9.57, repro,
2009-08-23,0.24, 1.46, -1.68, 2.11, 1.59, 9.41, repro,
2009-08-24,-0.78, 0.30, -2.24, 2.12, 1.58, 9.47, repro,
2009-08-25,0.38, 0.03, -0.50, 2.12, 1.59, 9.41, repro,
2009-08-26,-0.30, 0.23, -4.91, 2.15, 1.6, 9.62, repro,
2009-08-27,1.62, -0.50, -8.58, 2.23, 1.67, 9.96, repro,
2009-08-28,1.40, -0.46, -3.75, 2.11, 1.57, 9.21, repro,
2009-08-29,0.16, -0.20, -3.10, 2.08, 1.57, 9.15, repro,
2009-08-30,0.28, -1.03, 0.74, 2.13, 1.59, 9.4, repro,
2009-08-31,0.31, 1.06, 3.27, 2.09, 1.59, 9.39, repro,
2009-09-01,-1.94, 0.90, -0.06, 2.08, 1.56, 9.15, repro,
2009-09-02,-1.19, 0.98, 4.40, 2.22, 1.65, 9.63, repro,
2009-09-03,-1.09, 0.30, 3.64, 2.13, 1.6, 9.39, repro,
2009-09-04,-0.65, 1.33, 4.96, 2.15, 1.61, 9.46, repro,
2009-09-05,-0.86, 0.57, 5.48, 2.12, 1.57, 9.4, repro,
2009-09-06,-1.87, 0.68, 5.46, 2.1, 1.57, 9.33, repro,
2009-09-07,-1.04, 1.30, 0.89, 2.08, 1.56, 9.17, repro,
2009-09-08,-3.58, 1.74, 1.47, 2.08, 1.56, 9.16, repro,
2009-09-09,-3.68, 1.35, -0.48, 2.1, 1.57, 9.27, repro,
2009-09-10,-2.25, 1.94, -7.03, 2.11, 1.59, 9.38, repro,
2009-09-11,-3.22, 0.84, 3.04, 2.11, 1.59, 9.38, repro,
2009-09-12,-1.99, 0.82, -5.97, 2.08, 1.57, 9.2, repro,
2009-09-13,-0.38, 0.87, 1.06, 2.14, 1.65, 9.47, repro,
2009-09-14,-0.15, 1.65, -1.15, 2.12, 1.58, 9.35, repro,
2009-09-15,-3.32, 1.79, -8.38, 2.12, 1.63, 9.51, repro,
2009-09-16,-1.63, 2.24, -4.02, 2.09, 1.61, 9.46, repro,
2009-09-17,-0.43, 2.64, 1.69, 2.12, 1.6, 9.43, repro,
2009-09-18,-1.82, 1.44, 7.71, 2.12, 1.62, 9.36, repro,
2009-09-19,-0.03, 1.65, 8.54, 2.06, 1.56, 9.18, repro,
2009-09-20,-2.08, 2.29, 4.00, 2.07, 1.56, 9.22, repro,
2009-09-21,-1.61, 2.07, 6.67, 2.09, 1.59, 9.33, repro,
2009-09-22,-0.81, 0.83, 9.41, 2.18, 1.66, 9.76, repro,
2009-09-23,-1.30, 1.09, 8.79, 2.11, 1.59, 9.37, repro,
2009-09-24,-0.88, 2.33, 7.06, 2.04, 1.55, 9.15, repro,
2009-09-25,0.72, 0.58, 2.91, 2.07, 1.57, 9.26, repro,
2009-09-26,-0.12, 1.29, 12.57, 2.11, 1.61, 9.44, repro,
2009-09-27,-4.01, -0.68, 8.95, 2.23, 1.69, 10.19, repro,
2009-09-28,-1.99, 0.62, -5.22, 2.2, 1.67, 9.83, repro,
2009-09-29,-1.72, 0.57, -3.84, 2.11, 1.6, 9.47, repro,
2009-09-30,-0.68, 0.74, -4.30, 2.09, 1.56, 9.17, repro,
2009-10-01,-1.14, 1.15, -5.02, 2.06, 1.57, 9.2, repro,
2009-10-02,-0.41, 1.14, -1.76, 2.08, 1.56, 9.31, repro,
2009-10-03,1.32, 0.24, -7.99, 2.07, 1.57, 9.28, repro,
2009-10-04,2.63, -0.20, -4.23, 2.14, 1.59, 9.36, repro,
2009-10-05,-1.28, 0.47, -0.19, 2.07, 1.56, 9.25, repro,
2009-10-06,0.03, 1.78, -1.55, 2.03, 1.56, 9.11, repro,
2009-10-07,-0.53, 1.99, -8.74, 2.08, 1.57, 9.24, repro,
2009-10-08,-0.63, 2.79, -11.00, 2.14, 1.61, 9.58, repro,
2009-10-09,0.54, 2.54, -11.50, 2.14, 1.61, 9.46, repro,
2009-10-10,0.24, 2.78, -16.56, 2.15, 1.63, 9.54, repro,
2009-10-11,0.56, 2.84, -11.40, 2.1, 1.58, 9.34, repro,
2009-10-12,-1.38, 2.79, -7.26, 2.06, 1.58, 9.2, repro,
2009-10-13,-1.30, 2.04, -3.54, 2.1, 1.6, 9.25, repro,
2009-10-14,1.43, 3.93, -3.60, 2.08, 1.58, 9.23, repro,
2009-10-15,1.07, 2.56, -1.90, 2.14, 1.63, 9.53, repro,
2009-10-16,1.57, 4.40, -2.92, 2.13, 1.64, 9.5, repro,
2009-10-17,0.18, 2.74, -0.61, 2.11, 1.62, 9.36, repro,
2009-10-18,2.89, 4.05, -3.08, 2.14, 1.67, 9.59, repro,
2009-10-19,0.25, 2.22, -2.97, 2.17, 1.65, 9.48, repro,
2009-10-20,0.98, 1.06, -3.44, 2.11, 1.63, 9.45, repro,
2009-10-21,0.17, 2.43, -0.60, 2.12, 1.61, 9.46, repro,
2009-10-22,3.12, 1.79, -10.38, 2.37, 1.81, 10.72, repro,
2009-10-23,0.29, 1.45, -10.86, 2.17, 1.68, 9.7, repro,
2009-10-24,-0.51, 1.52, -5.89, 2.22, 1.72, 9.9, repro,
2009-10-25,-2.19, 0.34, -11.13, 2.32, 1.85, 10.58, repro,
2009-10-26,-0.23, 0.86, -3.56, 2.29, 1.73, 10.13, repro,
2009-10-27,-0.49, 0.35, -4.85, 2.21, 1.66, 9.78, repro,
2009-10-28,0.18, 1.60, -5.78, 2.15, 1.65, 9.71, repro,
2009-10-29,0.16, 2.57, -5.96, 2.26, 1.66, 9.67, repro,
2009-10-30,1.17, 2.73, -0.53, 2.53, 2, 11.38, repro,
2009-10-31,1.25, 1.28, 9.69, 2.31, 1.73, 10.5, repro,
2009-11-01,3.07, 0.93, 8.32, 2.29, 1.71, 10.27, repro,
2009-11-02,-1.00, 0.23, 12.35, 2.27, 1.72, 10.18, repro,
2009-11-03,-3.25, 0.37, 4.51, 2.24, 1.67, 10.09, repro,
2009-11-04,-0.36, 1.38, -2.34, 2.17, 1.66, 9.85, repro,
2009-11-05,0.57, 2.73, -5.18, 2.18, 1.69, 9.72, repro,
2009-11-06,0.25, 1.98, -3.50, 2.23, 1.73, 10.19, repro,
2009-11-07,0.10, 1.21, -1.84, 2.24, 1.74, 9.9, repro,
2009-11-08,-0.82, 0.66, -1.19, 2.32, 1.79, 10.55, repro,
2009-11-09,0.68, 2.19, -1.01, 2.28, 1.75, 10.07, repro,
2009-11-10,0.75, 1.27, 4.56, 2.26, 1.82, 10, repro,
2009-11-11,-0.84, 1.23, -3.36, 2.14, 1.64, 9.49, repro,
2009-11-12,0.30, -1.13, -2.42, 2.3, 1.77, 10.12, repro,
2009-11-13,0.24, -0.82, -1.99, 2.24, 1.69, 9.92, repro,
2009-11-14,0.18, -0.22, 0.20, 2.33, 1.8, 10.53, repro,
2009-11-15,-0.85, 0.05, -1.52, 2.27, 1.77, 10.46, repro,
2009-11-16,-0.08, 2.72, 1.06, 2.15, 1.68, 9.5, repro,
2009-11-17,0.23, 2.19, -4.20, 2.21, 1.68, 9.76, repro,
2009-11-18,0.23, 0.13, -5.74, 2.23, 1.71, 9.88, repro,
2009-11-19,1.39, 1.34, -1.60, 2.2, 1.71, 10.08, repro,
2009-11-20,0.76, -0.66, 0.85, 2.2, 1.69, 9.72, repro,
2009-11-21,0.35, 0.45, -4.58, 2.54, 1.95, 11.21, repro,
2009-11-22,-1.34, -1.15, -3.51, 2.18, 1.7, 9.67, repro,
2009-11-23,-0.20, -1.13, -6.46, 2.08, 1.58, 9.27, repro,
2009-11-24,-0.11, -0.24, -4.96, 2.24, 1.68, 10.01, repro,
2009-11-25,0.10, 1.83, -2.69, 2.25, 1.67, 9.89, repro,
2009-11-26,0.45, 0.83, 0.71, 2.26, 1.7, 9.98, repro,
2009-11-27,-2.42, 0.17, -3.74, 2.13, 1.63, 9.4, repro,
2009-11-28,0.91, -0.56, -3.32, 2.12, 1.64, 9.48, repro,
2009-11-29,2.71, -0.33, -3.87, 2.13, 1.6, 9.51, repro,
2009-11-30,-0.88, 0.22, -4.04, 2.09, 1.57, 9.24, repro,
2009-12-01,0.38, 0.20, -1.56, 2.07, 1.57, 9.25, repro,
2009-12-02,-1.43, 1.12, -6.99, 2.08, 1.58, 9.27, repro,
2009-12-03,-1.31, 0.62, -6.85, 2.06, 1.59, 9.34, repro,
2009-12-04,0.68, 0.62, -3.22, 2.09, 1.64, 9.36, repro,
2009-12-05,0.56, 0.63, -5.31, 2.08, 1.58, 9.3, repro,
2009-12-06,2.53, 2.16, -2.91, 2.11, 1.61, 9.41, repro,
2009-12-07,0.69, 3.63, -12.40, 2.17, 1.67, 9.67, repro,
2009-12-08,0.10, 2.59, -6.27, 2.06, 1.58, 9.21, repro,
2009-12-09,-0.55, 3.17, -14.86, 2.14, 1.63, 9.59, repro,
2009-12-10,-0.48, 3.34, -14.87, 2.08, 1.58, 9.27, repro,
2009-12-11,2.32, 2.60, -13.70, 2.12, 1.63, 9.45, repro,
2009-12-12,4.28, 2.91, -12.86, 2.11, 1.63, 9.34, repro,
2009-12-13,3.63, -0.15, -12.85, 2.12, 1.61, 9.38, repro,
2009-12-14,3.14, 2.00, -16.29, 2.07, 1.58, 9.33, repro,
2009-12-15,2.98, 0.44, -10.93, 2.07, 1.58, 9.26, repro,
2009-12-16,2.61, 1.58, -3.80, 2.13, 1.61, 9.53, repro,
2009-12-17,-0.25, 2.24, -9.68, 2.08, 1.6, 9.25, repro,
2009-12-18,2.29, 2.34, -17.34, 2.08, 1.59, 9.25, repro,
2009-12-19,-0.28, 1.65, -13.29, 2.13, 1.65, 9.46, repro,
2009-12-20,-0.23, 0.13, -12.53, 2.23, 1.72, 10.02, repro,
2009-12-21,-1.54, 1.86, -12.27, 2.14, 1.65, 9.53, repro,
2009-12-22,-0.64, 2.30, -8.94, 2.16, 1.63, 9.65, repro,
2009-12-23,0.79, 1.05, -9.25, 2.12, 1.59, 9.38, repro,
2009-12-24,-1.22, 0.83, -11.54, 2.1, 1.55, 9.25, repro,
2009-12-25,0.54, 1.24, -9.29, 2.14, 1.63, 9.56, repro,
2009-12-26,2.77, 2.03, -8.50, 2.15, 1.62, 9.75, repro,
