PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, YMER
Station name, Ymer_Nunatak    
Begin Date, 2009-08-19
End Date, 2020-06-24
Release Date, 2020-06-25
Source file, YMER.cwu.nam14.pos
Offset from source file, -2.22 mm North, -13.92 mm East, 12.55 mm Vertical
Reference position, 77.4328942519 North Latitude, -24.3263255288 East Longitude, 1070.07744 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2009-08-19,0.00, 0.00, 0.00, 1.95, 1.54, 10.28, repro,
2009-08-20,1.20, 0.75, -9.75, 2.11, 1.6, 11.36, repro,
2009-08-21,2.11, 1.60, 0.81, 2.03, 1.6, 10.65, repro,
2009-08-22,1.65, 1.75, 5.62, 2.05, 1.65, 10.92, repro,
2009-08-23,1.15, 2.04, 4.69, 1.99, 1.6, 10.52, repro,
2009-08-24,-1.55, 1.47, -2.17, 1.97, 1.56, 10.25, repro,
2009-08-25,0.77, 1.20, 0.26, 2.02, 1.62, 10.65, repro,
2009-08-26,-1.60, 0.58, -8.45, 2.01, 1.57, 10.53, repro,
2009-08-27,0.86, 0.23, -5.04, 2.01, 1.59, 10.54, repro,
2009-08-28,0.51, -0.13, -2.20, 1.97, 1.57, 10.23, repro,
2009-08-29,-0.84, 0.83, 1.36, 1.96, 1.56, 10.14, repro,
2009-08-30,-0.75, -0.16, -0.18, 1.97, 1.6, 10.3, repro,
2009-08-31,0.11, 1.68, 0.22, 2.01, 1.59, 10.44, repro,
2009-09-01,-1.87, 1.87, 5.28, 1.98, 1.57, 10.31, repro,
2009-09-02,-1.95, 1.40, 3.24, 2.04, 1.65, 10.57, repro,
2009-09-03,-0.24, 1.64, 8.23, 1.96, 1.55, 10.15, repro,
2009-09-04,0.43, 1.85, 2.40, 2.03, 1.63, 10.64, repro,
2009-09-05,0.45, 2.03, 6.48, 1.99, 1.57, 10.34, repro,
2009-09-06,-1.43, 2.02, 3.02, 2, 1.6, 10.6, repro,
2009-09-07,-0.31, 1.91, 5.12, 1.97, 1.55, 10.19, repro,
2009-09-08,-3.40, 2.99, -1.37, 1.96, 1.55, 10.2, repro,
2009-09-09,-4.10, 3.05, 1.26, 1.94, 1.57, 10.08, repro,
2009-09-10,-1.53, 3.16, -7.83, 1.98, 1.57, 10.35, repro,
2009-09-11,-2.36, 3.08, -0.96, 1.99, 1.58, 10.48, repro,
2009-09-12,-0.72, 2.37, -1.33, 1.99, 1.58, 10.42, repro,
2009-09-13,-0.56, 0.86, -2.35, 1.99, 1.61, 10.41, repro,
2009-09-14,-0.32, 2.34, -6.81, 1.97, 1.56, 10.3, repro,
2009-09-15,-1.67, 2.62, -9.96, 1.97, 1.58, 10.28, repro,
2009-09-16,-0.75, 2.56, -5.07, 1.97, 1.59, 10.39, repro,
2009-09-17,-1.32, 3.03, -3.75, 2.02, 1.62, 10.64, repro,
2009-09-18,-2.00, 2.24, 1.86, 2, 1.59, 10.27, repro,
2009-09-19,-0.85, 2.97, 1.55, 1.98, 1.55, 10.28, repro,
2009-09-20,-1.40, 3.07, 3.45, 2, 1.56, 10.38, repro,
