PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, KULL
Station name, Kullorsuaq      
Begin Date, 2007-08-15
End Date, 2019-05-19
Release Date, 2019-11-21
Source file, KULL.cwu.nam14.pos
Offset from source file, -12.67 mm North, -15.97 mm East, 57.22 mm Vertical
Reference position, 74.5806247459 North Latitude, -57.2270584709 East Longitude, 94.03823 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-08-15,0.00, 0.00, 0.00, 2.17, 1.63, 10.35, repro,
2007-08-16,-1.20, -0.40, -9.86, 2.11, 1.59, 9.85, repro,
2007-08-17,-0.38, -1.15, -5.59, 2.09, 1.58, 9.68, repro,
2007-08-18,0.99, -0.50, -0.62, 2.1, 1.57, 9.83, repro,
2007-08-19,1.65, -1.67, 2.67, 2.17, 1.66, 10.46, repro,
2007-08-20,-0.42, -0.27, -5.08, 2.06, 1.54, 9.66, repro,
2007-08-21,1.57, -1.45, -3.22, 2.04, 1.55, 9.57, repro,
2007-08-22,-1.63, -0.38, -2.78, 2.06, 1.54, 9.64, repro,
2007-08-23,-0.23, -2.37, -6.20, 2.01, 1.54, 9.54, repro,
2007-08-24,0.28, -0.88, 1.66, 2.08, 1.58, 9.77, repro,
2007-08-25,0.58, -0.70, -1.20, 2.06, 1.56, 9.76, repro,
2007-08-26,-0.09, -0.93, -6.51, 2.16, 1.64, 10.35, repro,
2007-08-27,-2.16, -0.53, -15.32, 2.3, 1.71, 11.06, repro,
2007-08-28,-0.26, 0.32, -9.65, 2.06, 1.55, 9.87, repro,
2007-08-29,0.91, -1.02, -0.44, 2.1, 1.59, 10.21, repro,
2007-08-30,-0.89, 0.16, -5.77, 2.13, 1.62, 9.85, repro,
2007-08-31,-0.75, -1.41, -2.49, 2.05, 1.56, 10.04, repro,
2007-09-01,-0.03, -0.78, -7.46, 2.07, 1.55, 9.79, repro,
2007-09-02,0.08, 0.17, -2.98, 2.19, 1.64, 10.4, repro,
2007-09-03,2.22, -0.69, 1.98, 2.15, 1.59, 10.09, repro,
2007-09-04,2.68, -1.89, 14.17, 2.03, 1.55, 9.65, repro,
2007-09-05,1.40, -0.63, 8.98, 2.1, 1.56, 9.94, repro,
2007-09-06,0.89, 0.42, 1.65, 2.09, 1.58, 10.01, repro,
2007-09-07,-0.14, -2.58, -0.11, 2.11, 1.58, 10.2, repro,
2007-09-08,0.99, -2.01, 3.37, 2.14, 1.58, 10.03, repro,
2007-09-09,-0.78, 0.03, 0.62, 2.09, 1.57, 9.85, repro,
2007-09-10,-0.72, -1.01, 3.86, 2.03, 1.53, 9.61, repro,
2007-09-11,-0.11, -1.06, 2.24, 2.05, 1.53, 9.73, repro,
2007-09-12,-1.25, -1.10, -9.71, 2.04, 1.54, 9.68, repro,
2007-09-13,2.01, 0.49, -2.11, 2.05, 1.54, 9.68, repro,
2007-09-14,0.99, -0.88, 3.93, 2.05, 1.53, 9.62, repro,
2007-09-15,-0.09, -0.83, 2.63, 2.11, 1.56, 10.05, repro,
2007-09-16,1.06, -0.08, -0.83, 2.07, 1.54, 9.78, repro,
2007-09-17,-0.73, -1.59, 9.05, 2.07, 1.56, 9.87, repro,
2007-09-18,0.88, -1.85, 4.57, 2.05, 1.54, 9.84, repro,
2007-09-19,-0.77, -1.94, -1.37, 2.02, 1.52, 9.5, repro,
2007-09-20,-0.18, -0.45, 4.39, 2.03, 1.52, 9.41, repro,
2007-09-21,0.65, -0.47, -1.62, 2.07, 1.52, 9.88, repro,
2007-09-22,-1.29, -0.10, -6.41, 2.05, 1.55, 9.81, repro,
2007-09-23,-0.10, -0.14, -7.41, 2.24, 1.63, 10.45, repro,
2007-09-24,1.32, 0.36, -0.11, 2.2, 1.62, 10.23, repro,
2007-09-25,0.77, 0.73, -2.75, 2.09, 1.59, 9.84, repro,
2007-09-26,1.05, -2.00, 6.45, 1.98, 1.51, 9.27, repro,
2007-09-27,-0.40, -1.18, -2.45, 2.08, 1.53, 9.64, repro,
2007-09-28,0.65, -1.69, 6.26, 2.15, 1.53, 10.09, repro,
2007-09-29,-0.43, -0.81, 0.56, 2.05, 1.5, 9.55, repro,
2007-09-30,0.10, -0.59, 2.87, 2.1, 1.54, 9.81, repro,
2007-10-01,0.02, -1.68, 0.32, 2.07, 1.53, 9.63, repro,
2007-10-02,-3.33, -1.73, 5.80, 2.19, 1.61, 10.48, repro,
2007-10-03,0.22, -2.30, -0.93, 2.14, 1.58, 9.84, repro,
2007-10-04,-0.68, -0.16, -3.66, 2.1, 1.56, 9.99, repro,
2007-10-05,-0.08, -1.15, -11.63, 2.05, 1.52, 9.63, repro,
2007-10-06,0.12, 0.03, -2.36, 2.06, 1.52, 9.55, repro,
2007-10-07,1.31, -0.86, -2.26, 2.12, 1.55, 10.07, repro,
2007-10-08,-0.11, 0.17, -7.50, 2.23, 1.62, 10.56, repro,
2007-10-09,0.94, -0.35, -3.84, 2.21, 1.64, 10.44, repro,
2007-10-10,0.86, -1.04, -1.69, 2.17, 1.64, 10.43, repro,
2007-10-11,-1.00, -1.96, -5.44, 2.06, 1.54, 9.75, repro,
2007-10-12,-0.26, -2.15, 0.07, 2.18, 1.67, 10.28, repro,
2007-10-13,-0.98, -0.45, -0.18, 2.05, 1.58, 9.9, repro,
2007-10-14,0.45, -1.47, 9.29, 2.04, 1.53, 9.57, repro,
2007-10-15,-1.42, -0.41, 8.65, 2.16, 1.65, 10.42, repro,
2007-10-16,-1.36, -0.85, -5.08, 2.04, 1.52, 9.55, repro,
2007-10-17,-1.40, -0.58, -3.34, 2.02, 1.54, 9.54, repro,
2007-10-18,-2.05, -2.68, 0.12, 2.21, 1.66, 10.39, repro,
2007-10-19,0.17, -2.29, 10.40, 2.16, 1.58, 10.17, repro,
2007-10-20,2.61, -2.21, 8.21, 2.09, 1.57, 9.93, repro,
2007-10-21,-0.66, -1.04, 0.27, 2.07, 1.54, 9.68, repro,
2007-10-22,-1.07, -0.84, 2.12, 2.08, 1.57, 9.77, repro,
2007-10-23,1.60, -1.95, 5.92, 2.09, 1.57, 9.92, repro,
2007-10-24,1.06, -0.51, 4.66, 2.08, 1.57, 9.87, repro,
2007-10-25,0.50, 1.09, 2.18, 2.18, 1.62, 10.21, repro,
