Serial Number:20854393 --

Date Time - GMT -03:00,"Diff Press, (kPa)","Diff Press - Max, (kPa)","Diff Press - Min, (kPa)","Diff Press - Avg, (kPa)","Diff Press - StdDev, (kPa)","Abs Press, (kPa)","Abs Press - Max, (kPa)","Abs Press - Min, (kPa)","Abs Press - Avg, (kPa)","Abs Press - StdDev, (kPa)","Temp, (*C)","Temp - Max, (*C)","Temp - Min, (*C)","Temp - Avg, (*C)","Temp - StdDev, (*C)","Water Level, (m)","Baro Press, (kPa)","Reference Water Level, (m)","Water Density, (kg/m3)",Host Connect,EOF,
2020-10-13 13:26:45,13.790,13.790,13.790,13.790,0.000,114.588,114.588,114.588,114.588,0.000,1.67,1.67,1.67,1.67,0.00,1.0000,100.798, , , , ,
2020-10-13 13:26:46, , , , , , , , , , , , , , , , , ,1.0000,"1,009.996", , ,
2020-10-13 13:27:45,13.790,13.790,13.790,13.790,0.000,114.667,114.687,114.605,114.648,0.035,1.77,1.77,1.77,1.77,0.00,1.0073,100.878, , , , ,
2020-10-13 13:28:45,13.790,13.790,13.790,13.790,0.000,114.768,114.768,114.698,114.722,0.031,1.77,1.77,1.77,1.77,0.00,1.0183,100.978, , , , ,
2020-10-13 13:29:45,13.790,13.790,13.790,13.790,0.000,114.911,114.911,114.822,114.853,0.039,1.77,1.77,1.77,1.77,0.00,1.0335,101.122, , , , ,
2020-10-13 13:30:45,13.790,13.790,13.790,13.790,0.000,115.019,115.019,114.915,114.961,0.043,1.77,1.77,1.77,1.77,0.00,1.0451,101.230, , , , ,
2020-10-13 13:31:45,13.790,13.790,13.790,13.790,0.000,115.085,115.085,115.016,115.039,0.031,1.77,1.77,1.77,1.77,0.00,1.0500,101.296, , , , ,
2020-10-13 13:32:45,13.790,13.790,13.790,13.790,0.000,115.147,115.178,115.112,115.136,0.027,1.77,1.77,1.77,1.77,0.00,1.0571,101.358, , , , ,
2020-10-13 13:33:45,13.790,13.790,13.790,13.790,0.000,115.230,115.232,115.199,115.217,0.015,1.67,1.77,1.67,1.77,0.11,1.0674,101.440, , , , ,
2020-10-13 13:34:45,13.790,13.790,13.790,13.790,0.000,115.296,115.337,115.230,115.272,0.046,1.67,1.77,1.67,1.67,0.00,1.0737,101.506, , , , ,
2020-10-13 13:35:45,13.790,13.790,13.790,13.790,0.000,115.437,115.437,115.327,115.373,0.054,1.77,1.77,1.67,1.67,0.00,1.0881,101.648, , , , ,
2020-10-13 13:36:45,13.790,13.790,13.790,13.790,0.000,115.527,115.546,115.443,115.503,0.043,1.77,1.77,1.67,1.77,0.00,1.0966,101.737, , , , ,
2020-10-13 13:37:45,13.790,13.790,13.790,13.790,0.000,115.635,115.635,115.573,115.608,0.027,1.77,1.77,1.77,1.77,0.00,1.1084,101.845, , , , ,
2020-10-13 13:38:45,13.790,13.790,13.790,13.790,0.000,115.743,115.759,115.685,115.720,0.035,1.77,1.77,1.77,1.77,0.00,1.1193,101.954, , , , ,
2020-10-13 13:39:45,13.790,13.790,13.790,13.790,0.000,115.825,115.825,115.747,115.774,0.035,1.77,1.77,1.77,1.77,0.00,1.1281,102.035, , , , ,
2020-10-13 13:40:45,13.790,13.790,13.790,13.790,0.000,115.900,115.902,115.803,115.844,0.043,1.67,1.77,1.67,1.77,0.00,1.1350,102.110, , , , ,
2020-10-13 13:41:45,13.790,13.790,13.790,13.790,0.000,116.026,116.026,115.911,115.972,0.058,1.77,1.77,1.67,1.77,0.00,1.1488,102.237, , , , ,
2020-10-13 13:42:45,13.790,13.790,13.790,13.790,0.000,116.127,116.146,116.080,116.115,0.027,1.77,1.77,1.77,1.77,0.00,1.1569,102.337, , , , ,
2020-10-13 13:43:45,13.790,13.790,13.790,13.790,0.000,116.221,116.247,116.144,116.193,0.047,1.67,1.77,1.67,1.77,0.00,1.1670,102.432, , , , ,
2020-10-13 13:44:45,13.790,13.790,13.790,13.790,0.000,116.275,116.303,116.237,116.275,0.027,1.67,1.67,1.67,1.67,0.00,1.1720,102.486, , , , ,
2020-10-13 13:45:45,13.790,13.790,13.790,13.790,0.000,116.384,116.384,116.306,116.345,0.035,1.67,1.67,1.67,1.67,0.00,1.1823,102.594, , , , ,
2020-10-13 13:46:45,13.790,13.790,13.790,13.790,0.000,116.526,116.526,116.438,116.469,0.039,1.77,1.77,1.67,1.67,0.00,1.1973,102.737, , , , ,
2020-10-13 13:47:45,13.790,13.790,13.790,13.790,0.000,116.604,116.604,116.527,116.578,0.035,1.77,1.77,1.67,1.67,0.11,1.2062,102.814, , , , ,
2020-10-13 13:48:45,13.790,13.790,13.790,13.790,0.000,116.729,116.732,116.698,116.708,0.016,1.67,1.77,1.67,1.77,0.00,1.2178,102.940, , , , ,
2020-10-13 13:49:45,13.790,13.790,13.790,13.790,0.000,116.829,116.829,116.768,116.790,0.027,1.77,1.77,1.67,1.77,0.00,1.2269,103.039, , , , ,
2020-10-13 13:50:45,13.790,13.790,13.790,13.790,0.000,116.907,116.910,116.814,116.875,0.043,1.67,1.77,1.67,1.77,0.00,1.2352,103.118, , , , ,
2020-10-13 13:51:45,13.790,13.790,13.790,13.790,0.000,117.022,117.022,116.865,116.964,0.066,1.77,1.77,1.67,1.77,0.00,1.2458,103.233, , , , ,
2020-10-13 13:52:45,13.790,13.790,13.790,13.790,0.000,117.150,117.150,117.015,117.085,0.062,1.77,1.77,1.77,1.77,0.00,1.2605,103.361, , , , ,
2020-10-13 13:53:45,13.790,13.790,13.790,13.790,0.000,117.271,117.271,117.166,117.224,0.043,1.77,1.77,1.77,1.77,0.00,1.2729,103.481, , , , ,
2020-10-13 13:54:45,13.790,13.790,13.790,13.790,0.000,117.344,117.344,117.271,117.306,0.031,1.77,1.77,1.77,1.77,0.00,1.2785,103.555, , , , ,
2020-10-13 13:55:45,13.790,13.790,13.790,13.790,0.000,117.418,117.426,117.383,117.414,0.019,1.77,1.77,1.77,1.77,0.00,1.2851,103.629, , , , ,
2020-10-13 13:56:45,13.790,13.790,13.790,13.790,0.000,117.449,117.465,117.445,117.457,0.008,1.77,1.77,1.77,1.77,0.00,1.2879,103.660, , , , ,
2020-10-13 13:57:45,13.790,13.790,13.790,13.790,0.000,117.620,117.620,117.515,117.573,0.047,1.77,1.77,1.77,1.77,0.00,1.3057,103.830, , , , ,
2020-10-13 13:58:45,13.790,13.790,13.790,13.790,0.000,117.779,117.779,117.713,117.740,0.031,1.77,1.77,1.77,1.77,0.00,1.3221,103.990, , , , ,
2020-10-13 13:59:45,13.790,13.790,13.790,13.790,0.000,117.868,117.868,117.810,117.837,0.027,1.77,1.77,1.77,1.77,0.00,1.3312,104.079, , , , ,
2020-10-13 14:00:45,13.790,13.790,13.790,13.790,0.000,117.962,117.981,117.892,117.931,0.043,1.77,1.77,1.77,1.77,0.00,1.3398,104.172, , , , ,
2020-10-13 14:01:45,13.790,13.790,13.790,13.790,0.000,117.950,117.989,117.950,117.973,0.016,1.77,1.77,1.77,1.77,0.00,1.3390,104.160, , , , ,
2020-10-13 14:02:45,13.790,13.790,13.790,13.790,0.000,118.152,118.152,118.008,118.094,0.066,1.77,1.77,1.77,1.77,0.00,1.3590,104.362, , , , ,
2020-10-13 14:03:45,13.790,13.790,13.790,13.790,0.000,118.327,118.327,118.171,118.257,0.062,1.77,1.77,1.77,1.77,0.00,1.3763,104.537, , , , ,
2020-10-13 14:04:45,13.790,13.790,13.790,13.790,0.000,118.424,118.424,118.354,118.389,0.035,1.77,1.77,1.77,1.77,0.00,1.3861,104.634, , , , ,
2020-10-13 14:05:45,13.790,13.790,13.790,13.790,0.000,118.505,118.529,118.428,118.490,0.043,1.77,1.77,1.77,1.77,0.00,1.3938,104.716, , , , ,
