Time (UTC),prs(m)
9/19/20 18:57,-3.186
9/19/20 19:02,-3.113
9/19/20 19:07,-3.041
9/19/20 19:12,-2.964
9/19/20 19:17,-2.891
9/19/20 19:22,-2.804
9/19/20 19:27,-2.73
9/19/20 19:32,-2.635
9/19/20 19:37,-2.551
9/19/20 19:42,-2.469
9/19/20 19:47,-2.377
9/19/20 19:52,-2.288
9/19/20 19:57,-2.192
9/19/20 20:02,-2.096
9/19/20 20:07,-1.996
9/19/20 20:12,-1.895
9/19/20 20:17,-1.79
9/19/20 20:22,-1.688
9/19/20 20:27,-1.585
9/19/20 20:32,-1.48
9/19/20 20:37,-1.379
9/19/20 20:42,-1.278
9/19/20 20:47,-1.178
9/19/20 20:52,-1.083
9/19/20 20:57,-0.983
9/19/20 21:02,-0.883
9/19/20 21:07,-0.788
9/19/20 21:12,-0.693
9/19/20 21:17,-0.604
9/19/20 21:22,-0.511
9/19/20 21:27,-0.415
9/19/20 21:32,-0.329
9/19/20 21:37,-0.238
9/19/20 21:42,-0.155
9/19/20 21:47,-0.067
9/19/20 21:52,0.01
9/19/20 21:57,0.087
9/19/20 22:02,0.16
9/19/20 22:07,0.225
9/19/20 22:12,0.296
9/19/20 22:17,0.357
9/19/20 22:22,0.417
9/19/20 22:27,0.48
9/19/20 22:32,0.529
9/19/20 22:37,0.58
9/19/20 22:42,0.627
9/19/20 22:47,0.665
9/19/20 22:52,0.712
9/19/20 22:57,0.741
9/19/20 23:02,0.77
9/19/20 23:07,0.8
9/19/20 23:12,0.82
9/19/20 23:17,0.838
9/19/20 23:22,0.851
9/19/20 23:27,0.862
9/19/20 23:32,0.87
9/19/20 23:37,0.868
9/19/20 23:42,0.866
9/19/20 23:47,0.858
9/19/20 23:52,0.848
9/19/20 23:57,0.829
9/20/20 0:02,0.809
9/20/20 0:07,0.788
9/20/20 0:12,0.761
9/20/20 0:17,0.727
9/20/20 0:22,0.691
9/20/20 0:27,0.648
9/20/20 0:32,0.609
9/20/20 0:37,0.56
9/20/20 0:42,0.504
9/20/20 0:47,0.45
9/20/20 0:52,0.388
9/20/20 0:57,0.33
9/20/20 1:02,0.263
9/20/20 1:07,0.196
9/20/20 1:12,0.129
9/20/20 1:17,0.052
9/20/20 1:22,-0.024
9/20/20 1:27,-0.103
9/20/20 1:32,-0.178
9/20/20 1:37,-0.263
9/20/20 1:42,-0.348
9/20/20 1:47,-0.436
9/20/20 1:52,-0.528
9/20/20 1:57,-0.622
9/20/20 2:02,-0.711
9/20/20 2:07,-0.799
9/20/20 2:12,-0.897
9/20/20 2:17,-0.994
9/20/20 2:22,-1.088
9/20/20 2:27,-1.183
9/20/20 2:32,-1.285
9/20/20 2:37,-1.385
9/20/20 2:42,-1.485
9/20/20 2:47,-1.585
9/20/20 2:52,-1.684
9/20/20 2:57,-1.785
