,SITE,LAT,LON,Height,TREND_Vertical
0,AB44,59.52803911,-135.22829744,304.0995,17.253095332742678
1,AB48,56.24505997,-134.64700034,5.331,6.7268628069289305
2,AB50,58.41677591,-134.54530025,51.4695,18.060248560867397
3,ALRT,82.49429384,-62.34046271,78.1199,6.760630252026253
4,ANC2,61.17522442,-149.98344307,57.883,2.5025890250163254
5,CHUR,58.75907776,-94.08872764,-19.3604,11.073490613564486
6,EYAC,60.54870384,-145.74985747,146.0126,1.4669583528510919
7,JNU1,58.36257477,-134.58570662,15.645999999999999,18.253452679560148
8,KEN5,60.67507812,-151.35018263,56.324,22.92428818839936
9,NUUK,64.18355313,-51.73116095,109.368,9.209672800139352
10,QAQ1,60.71526339,-46.04776278,110.415,4.037658785036031
11,QIKI,67.55933914,-64.03366532,13.2571,4.129329129610005
12,RESO,74.69082044,-94.89369122,19.9461,6.354160707546685
13,SCOR,70.48533354,-21.95033614,128.494,4.528758234443254
14,TBON,61.17971547,-149.78514271,93.169,4.664444115413779
15,THU1,76.53733733,-68.78801297,55.0232,3.6143691943465215
16,THU2,76.53704754,-68.82503642,36.1078,7.047589825588852
17,THU3,76.53704754,-68.82503642,36.1042,7.609211450484718
